Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Calothrix_parasitica_NIES-267.gbff,Calothrix_sp_336-3_336-3.gbff,Calothrix_sp_NIES-3974_NIES-3974.gbff,Calothrix_sp_NIES-4071_NIES-4071.gbff,Calothrix_sp_NIES-4105_NIES-4105.gbff,Calothrix_sp_PCC_6303_PCC_6303.gbff,Calothrix_sp_PCC_7716_PCC_7716.gbff
38_ABC_transporter_perm...faa,,,,,,,,,,,,,,1,1,0,0,0,0,0
40_NYN_domain-containin...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
46_PAS_domain_S-box_pro...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
47_response_regulator.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
48_circadian_clock_KaiB...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
49_kaiC.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
50_response_regulator.faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
53_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
68_recombination_mediat...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
70_DUF1636_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
71_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,1,1,1,0
73_metalloregulator_Ars...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
74_cation_transporter.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
75_DUF4011_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
79_heavy_metal_transloc...faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
80_precorrin-8X_methylm...faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
81_CHAP_domain-containi...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
82_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
83_metallophosphatase.faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
84_metallophosphatase_f...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
85_GTPase-_G3E_family_p...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
93_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
95_ankyrin_repeat_domai...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
98_HIT_family_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
99_acyl-CoA_desaturase.faa,,,,,,,,,,,,,,1,0,0,0,0,1,0
101_reverse_transcriptas...faa,,,,,,,,,,,,,,1,0,0,0,0,1,1
102_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
104_DUF6220_domain-conta...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
106_transcriptional_regu...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
107_type_II_toxin-antito...faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
110_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
111_type_II_toxin-antito...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
112_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
113_MotA-TolQ-ExbB_proto...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
114_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
115_pstS.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
116_pstC.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
117_pstA.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
120_WecB-TagA-CpsF_famil...faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
121_glycosyltransferase_...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
123_glycosyltransferase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
124_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,1,1
125_glycosyltransferase_...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
127_O-antigen_ligase_fam...faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
130_glycosyltransferase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
132_choice-of-anchor_I_f...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
133_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
134_FAD-dependent_monoox...faa,,,,,,,,,,,,,,1,0,0,1,1,1,1
135_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,0,0,1,0
137_MarR_family_transcri...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
138_mechanosensitive_ion...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
139_sodium-calcium_antip...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
140_response_regulator.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
141_response_regulator.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
142_DUF3754_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
143_ABC_transporter_ATP-...faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
144_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
145_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
146_esterase-like_activi...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
147_alkaline_phosphatase.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
149_FAD-binding_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
150_cytochrome_P450.faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
152_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
153_serine_hydrolase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
154_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
155_DUF4114_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
156_SGNH-GDSL_hydrolase_...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
157_DUF4114_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
158_peptidylprolyl_isome...faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
160_HlyD_family_efflux_t...faa,,,,,,,,,,,,,,1,1,0,0,0,1,1
161_VWA_domain-containin...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
162_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
163_NYN_domain-containin...faa,,,,,,,,,,,,,,1,0,0,0,0,1,1
186_class_I_SAM-dependen...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
187_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
188_NUDIX_hydrolase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
189_agmatinase_family_pr...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
191_zinc-dependent_pepti...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
192_DUF262_domain-contai...faa,,,,,,,,,,,,,,1,0,0,0,0,1,0
194_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
196_aldo-keto_reductase.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
197_FAD-dependent_monoox...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
198_alkene_reductase.faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
200_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
201_aminoglycoside_phosp...faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
202_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
203_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
204_aldo-keto_reductase.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
205_KTSC_domain-containi...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
208_cadherin-like_domain...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
209_HAD_family_hydrolase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
210_msrA.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
211_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
213_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
214_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
215_pstS.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
217_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
218_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
219_calcium-binding_prot...faa,,,,,,,,,,,,,,1,1,0,0,0,1,0
220_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
222_AAA_family_ATPase.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1
224_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
225_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
235_TIGR04283_family_ars...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
236_rhodanese-like_domai...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
237_PEP-CTERM_sorting_do...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
240_SDR_family_NAD-P--de...faa,,,,,,,,,,,,,,1,1,0,0,0,1,1
241_SDR_family_NAD-P--de...faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
242_TetR-AcrR_family_tra...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
243_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
244_HD_domain-containing...faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
245_ggt.faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
249_mechanosensitive_ion...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
251_M4_family_metallopep...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
252_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
254_RNA-binding_S4_domai...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
255_DNA_photolyase_famil...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
256_alpha-beta_hydrolase.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1
261_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
262_S-layer_family_prote...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
263_S-layer_family_prote...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
270_HAMP_domain-containi...faa,,,,,,,,,,,,,,1,1,0,0,0,0,0
271_DUF1838_domain-conta...faa,,,,,,,,,,,,,,1,1,0,0,0,0,0
272_EAL_domain-containin...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
275_type_II_toxin-antito...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
276_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
277_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
278_nucleotidyltransfera...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
279_class_I_SAM-dependen...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
280_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1
281_tautomerase_family_p...faa,,,,,,,,,,,,,,1,0,0,1,1,1,0
282_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
283_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
288_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
289_O-antigen_ligase_fam...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
290_lipopolysaccharide_b...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
291_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
292_glycosyltransferase_...faa,,,,,,,,,,,,,,1,0,0,0,0,1,1
293_N-acetylglucosaminyl...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
294_glycosyltransferase.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
295_glycosyltransferase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
296_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
297_WecB-TagA-CpsF_famil...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
299_transferase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
302_metallophosphoestera...faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
303_phytanoyl-CoA_dioxyg...faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
305_GFA_family_protein.faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
309_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
313_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
314_AhpC-TSA_family_prot...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
315_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
316_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
318_PLP-dependent_aminot...faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
319_pyridoxine_5--phosph...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
320_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
321_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
322_PhzF_family_phenazin...faa,,,,,,,,,,,,,,1,0,0,0,0,1,1
324_aminotransferase_cla...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
325_aminotransferase_cla...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
337_beta-phosphoglucomut...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
338_glycoside_hydrolase_...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
340_pentapeptide_repeat-...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
345_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
346_RNA_2--phosphotransf...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
353_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
354_class_I_SAM-dependen...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
355_redoxin_domain-conta...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
356_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
357_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
361_DUF5615_family_PIN-l...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
362_site-specific_DNA-me...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
364_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
372_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
375_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
376_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
377_Crp-Fnr_family_trans...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
379_MFS_transporter.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
380_efflux_RND_transport...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
388_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
396_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
398_ABC_transporter_ATP-...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
399_ABC_transporter_perm...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
400_GH3_auxin-responsive...faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
401_cupin-like_domain-co...faa,,,,,,,,,,,,,,1,1,0,0,0,0,1
402_aspartyl-asparaginyl...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
403_CapA_family_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
404_MFS_transporter.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1
405_class_I_SAM-dependen...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
406_fatty_acid_desaturas...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
407_aromatic_ring-hydrox...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
408_aminotransferase_cla...faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
409_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
410_NAD-dependent_epimer...faa,,,,,,,,,,,,,,1,0,0,1,1,1,1
411_sterol_desaturase_fa...faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
412_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
413_ChaN_family_lipoprot...faa,,,,,,,,,,,,,,1,0,0,1,1,1,1
414_alcohol_dehydrogenas...faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
420_glycosyltransferase_...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
421_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
422_glycosyl_transferase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
423_NAD-dependent_epimer...faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
424_glycosyltransferase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
425_MBOAT_family_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
426_class_I_SAM-dependen...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
427_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
428_methyltransferase_do...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
429_ABC_transporter_perm...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
430_ABC_transporter_ATP-...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
431_class_I_SAM-dependen...faa,,,,,,,,,,,,,,1,0,0,1,1,1,0
432_polysaccharide_pyruv...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
433_methyltransferase_do...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
434_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
435_KpsF-GutQ_family_sug...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
436_kdsB.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
437_3-deoxy-8-phosphooct...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
438_HAD-IIIA_family_hydr...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
439_methyltransferase_do...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
443_glycosyltransferase.faa,,,,,,,,,,,,,,1,1,0,0,0,0,0
446_CAP_domain-containin...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
453_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
461_Uma2_family_endonucl...faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
465_SDR_family_oxidoredu...faa,,,,,,,,,,,,,,1,1,0,0,0,0,0
466_RtcB_family_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
467_HipA_domain-containi...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
468_HIRAN_domain-contain...faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
477_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
479_GH3_auxin-responsive...faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
480_acyl_transferase.faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
481_sterol_desaturase_fa...faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
483_-2Fe-2S--binding_pro...faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
484_aromatic_ring-hydrox...faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
485_P-aminobenzoate_N-ox...faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
487_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
488_aromatic_ring-hydrox...faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
489_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
490_HAMP_domain-containi...faa,,,,,,,,,,,,,,1,0,0,0,0,1,1
495_NACHT_domain-contain...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
496_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
497_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
498_type_IV_pilin-like_G...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
500_mmsA.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
501_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
512_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
513_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
515_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
516_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
517_DUF3137_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
518_transposase.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
522_SIMPL_domain-contain...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
523_endonuclease-exonucl...faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
524_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
526_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
528_VOC_family_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
529_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
536_XisI_protein.faa,,,,,,,,,,,,,,1,1,0,1,1,0,0
538_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
540_NAD-P--FAD-dependent...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
543_pentapeptide_repeat-...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
544_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
546_pentapeptide_repeat-...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
547_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
548_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
549_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,1,1,0,0
550_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
551_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
553_pentapeptide_repeat-...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
568_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
571_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
572_nuclear_transport_fa...faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
573_DUF3598_family_prote...faa,,,,,,,,,,,,,,1,0,0,1,1,1,1
575_site-2_protease_fami...faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
577_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
578_LD-carboxypeptidase.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
579_diaminopimelate_epim...faa,,,,,,,,,,,,,,1,1,0,1,1,0,1
582_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
599_nuclear_transport_fa...faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
600_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
610_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,0,0,1,1
612_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
613_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
620_mraW.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
622_DUF3291_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
623_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
624_antibiotic_biosynthe...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1
625_glutathione_S-transf...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
626_response_regulator_t...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
627_HAMP_domain-containi...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
631_ferrochelatase.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1
632_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
633_MFS_transporter.faa,,,,,,,,,,,,,,1,1,0,0,0,0,0
634_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
637_NF038122_family_meta...faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
638_filamentous_hemagglu...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
639_DUF928_domain-contai...faa,,,,,,,,,,,,,,1,0,0,1,1,1,1
642_MFS_transporter.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
646_HAMP_domain-containi...faa,,,,,,,,,,,,,,1,1,0,0,0,0,1
648_UDP-N-acetylglucosam...faa,,,,,,,,,,,,,,1,1,0,1,1,1,0
649_glycosyl_transferase.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
650_AAA_family_ATPase.faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
