Orthogroup	NIES-267	336-3
OG0000016	WP_096654031.1	WP_082127290.1
OG0000017	WP_096660654.1	WP_035153749.1
OG0000017	WP_096657162.1	WP_035153827.1
OG0000022	WP_096659691.1	WP_052754520.1
OG0000022	WP_096661102.1	WP_238178450.1
OG0000023	WP_096660121.1, WP_096661107.1, WP_096660108.1	WP_035149526.1
OG0000023	WP_096660125.1	WP_201782628.1
OG0000024	WP_096657601.1, WP_096657196.1	WP_035155824.1, WP_035154163.1, WP_035158174.1, WP_035154450.1, WP_035152505.1, WP_046814677.1
OG0000025	WP_096661677.1	WP_035155892.1, WP_082127234.1
OG0000025	WP_096658512.1, WP_096660093.1	WP_035156425.1
OG0000025	WP_096657986.1	WP_035157448.1
OG0000026	WP_096661719.1, WP_096652347.1	WP_035150464.1
OG0000026	WP_096658606.1, WP_096658601.1	WP_035154541.1
OG0000027	WP_096658132.1, WP_096661239.1	WP_035156324.1
OG0000028	WP_096652741.1	WP_035149761.1
OG0000028	WP_096660026.1	WP_035153572.1
OG0000029	WP_096653813.1	WP_052754364.1
OG0000029	WP_096656774.1, WP_096656773.1	WP_046814731.1, WP_035151030.1
OG0000031	WP_096656751.1, WP_096652469.1, WP_096661178.1, WP_096660766.1	WP_035149492.1
OG0000031	WP_096658172.1	WP_035157544.1
OG0000032	WP_096659363.1	WP_035150481.1, WP_035154698.1, WP_035152988.1
OG0000032	WP_096658447.1	WP_035154887.1
OG0000033	WP_096658556.1, WP_096657134.1, WP_096657665.1, WP_096657667.1, WP_096657666.1, WP_096659679.1	WP_082127367.1
OG0000035	WP_096655613.1	WP_035156698.1
OG0000035	WP_096653492.1	WP_035150519.1
OG0000036	WP_096661436.1	WP_046814873.1
OG0000037	WP_096655191.1	WP_035154651.1, WP_035158215.1
OG0000037	WP_096655735.1	WP_144415991.1
OG0000037	WP_096660173.1	WP_035152872.1
OG0000038	WP_096654948.1, WP_096660240.1	WP_035158138.1
OG0000039	WP_096661485.1	WP_035151242.1
OG0000041	WP_096656191.1, WP_096653546.1	WP_035149561.1
OG0000042	WP_096655773.1	WP_238178558.1
OG0000042	WP_096657061.1	WP_035150760.1
OG0000043	WP_096652188.1	WP_035155361.1, WP_035155289.1, WP_035152572.1, WP_035159500.1
OG0000044	WP_096660060.1	WP_035153674.1
OG0000044	WP_096658177.1, WP_096657442.1, WP_096658299.1, WP_096659889.1, WP_096658176.1	WP_035154543.1
OG0000045	WP_096657107.1	WP_035158023.1
OG0000046	WP_096657189.1, WP_096657220.1, WP_096657376.1	WP_238178519.1
OG0000047	WP_096659956.1	WP_035150185.1, WP_035150179.1
OG0000048	WP_096660895.1	WP_035151117.1
OG0000048	WP_096661291.1	WP_035150264.1
OG0000049	WP_096659840.1	WP_046814807.1
OG0000049	WP_096659131.1	WP_035150949.1
OG0000049	WP_096658206.1	WP_168163493.1
OG0000050	WP_096657974.1	WP_082127255.1, WP_035154646.1
OG0000051	WP_096660648.1	WP_035156582.1
OG0000052	WP_096652475.1	WP_035148992.1
OG0000052	WP_096661483.1	WP_035151240.1
OG0000053	WP_096660120.1, WP_096656011.1, WP_096660107.1	WP_035150200.1
OG0000054	WP_096654013.1	WP_035151456.1
OG0000054	WP_096659976.1	WP_035152967.1
OG0000057	WP_096659434.1	WP_052754395.1
OG0000057	WP_096658936.1	WP_035152844.1
OG0000059	WP_096658123.1	WP_035156446.1
OG0000059	WP_096654212.1	WP_035150710.1
OG0000059	WP_096656432.1	WP_035148922.1
OG0000060	WP_096652471.1	WP_035149321.1
OG0000060	WP_096661486.1	WP_035151245.1
OG0000062	WP_096655439.1	WP_035150001.1
OG0000063	WP_096659607.1, WP_096654627.1, WP_096654625.1	WP_035153783.1
OG0000064	WP_096659195.1	WP_035154594.1
OG0000064	WP_096658398.1	WP_035156922.1
OG0000065	WP_096656802.1	WP_035157313.1
OG0000066	WP_096657598.1	WP_035149937.1, WP_035148920.1
OG0000067	WP_096653265.1	WP_035150688.1
OG0000067	WP_096655480.1	WP_052754487.1, WP_035149708.1
OG0000067	WP_096656459.1	WP_238178349.1
OG0000067	WP_096653285.1	WP_035150689.1
OG0000068	WP_096657151.1, WP_096658603.1	WP_035153600.1
OG0000069	WP_096658881.1	WP_035152728.1
OG0000072	WP_096660182.1	WP_035157023.1, WP_035150478.1
OG0000073	WP_096655875.1, WP_096655868.1	WP_035154411.1
OG0000073	WP_096660052.1	WP_035153422.1
OG0000074	WP_096660868.1, WP_096661319.1, WP_096659818.1, WP_096659820.1, WP_096653517.1	WP_052754390.1
OG0000075	WP_096655940.1, WP_096656219.1, WP_096653209.1, WP_096659751.1, WP_096658281.1	WP_238178536.1
OG0000076	WP_096653932.1	WP_035155848.1
OG0000076	WP_096653664.1, WP_096653660.1, WP_096653662.1, WP_096656854.1	WP_035149136.1
OG0000077	WP_096657418.1, WP_096661511.1	WP_035149506.1
OG0000077	WP_096657286.1	WP_082127475.1
OG0000078	WP_096656165.1	WP_035149954.1
OG0000078	WP_096660375.1	WP_035153264.1
OG0000079	WP_096655917.1	WP_035150669.1
OG0000080	WP_096656443.1	WP_035153239.1
OG0000080	WP_096659013.1	WP_035154658.1, WP_035151153.1
OG0000081	WP_096661563.1	WP_035152370.1
OG0000082	WP_096656422.1	WP_201782641.1
OG0000082	WP_096654111.1	WP_035152238.1
OG0000083	WP_096659747.1	WP_035152605.1
OG0000083	WP_096658331.1	WP_082127363.1
OG0000084	WP_096660492.1	WP_035153058.1, WP_035157763.1, WP_035157520.1
OG0000085	WP_096656789.1	WP_035153284.1
OG0000086	WP_096652877.1	WP_035155787.1
OG0000086	WP_096658312.1	WP_035153465.1
OG0000087	WP_096654478.1	WP_035154367.1
OG0000088	WP_096660002.1, WP_096660000.1	WP_035157009.1
OG0000088	WP_096660004.1	WP_035157012.1
OG0000091	WP_096655404.1	WP_035148963.1
OG0000092	WP_096657568.1	WP_035149005.1
OG0000094	WP_096657013.1	WP_035150681.1
OG0000095	WP_096656284.1	WP_035150985.1
OG0000096	WP_096658202.1	WP_035151000.1, WP_082127304.1
OG0000097	WP_096659786.1	WP_035155760.1, WP_052754507.1, WP_035155826.1, WP_035151292.1, WP_035154381.1, WP_035159250.1
OG0000098	WP_096655601.1, WP_096655602.1, WP_096655600.1	WP_035151405.1
OG0000099	WP_096660421.1	WP_035153732.1
OG0000099	WP_096652393.1	WP_035158040.1
OG0000100	WP_096652378.1	WP_035155005.1, WP_035153872.1
OG0000101	WP_096655900.1	WP_035154607.1
OG0000102	WP_096658540.1, WP_096658550.1, WP_096658539.1, WP_096658583.1, WP_096658581.1, WP_096658547.1, WP_096658546.1	WP_035155478.1
OG0000103	WP_096656066.1, WP_096655482.1, WP_096655698.1	WP_035156385.1
OG0000104	WP_096654343.1	WP_035156463.1
OG0000105	WP_096655117.1, WP_096656775.1, WP_096653807.1, WP_096657047.1	WP_035157647.1
OG0000106	WP_096652533.1	WP_046815063.1
OG0000108	WP_096661661.1	WP_238178553.1
OG0000113	WP_096656098.1	WP_035149694.1
OG0000113	WP_096657737.1, WP_096658278.1, WP_096660841.1	WP_035154492.1
OG0000114	WP_096653982.1	WP_035149828.1
OG0000115	WP_096653484.1, WP_096658839.1	WP_144415962.1
OG0000116	WP_096659345.1	WP_035154121.1
OG0000117	WP_096657746.1, WP_096659171.1	WP_035150309.1
OG0000118	WP_096652293.1	WP_082127397.1, WP_035153754.1, WP_082127279.1
OG0000118	WP_096652879.1	WP_035150560.1
OG0000120	WP_096657502.1, WP_096657212.1, WP_096658781.1, WP_096657385.1	WP_035151973.1
OG0000121	WP_096657299.1	WP_035152024.1
OG0000122	WP_096654977.1, WP_096654967.1	WP_035152324.1, WP_035153693.1, WP_035153894.1, WP_035153886.1
OG0000123	WP_096660972.1	WP_035152576.1
OG0000124	WP_096660214.1	WP_035153186.1
OG0000125	WP_096658147.1, WP_096659768.1, WP_096659770.1, WP_096659329.1, WP_096659891.1	WP_035153391.1
OG0000126	WP_096658573.1	WP_035154162.1
OG0000127	WP_096654647.1, WP_096654645.1	WP_035158269.1
OG0000127	WP_096655870.1, WP_096655877.1	WP_035154415.1
OG0000128	WP_096655974.1	WP_035154869.1
OG0000129	WP_096654989.1	WP_035158140.1
OG0000129	WP_096659720.1	WP_035155060.1
OG0000130	WP_015122646.1	WP_035155062.1
OG0000130	WP_096654361.1	WP_035156030.1
OG0000131	WP_096653733.1	WP_035155567.1
OG0000132	WP_096656293.1	WP_035156053.1
OG0000132	WP_096660923.1, WP_096661096.1	WP_035156132.1
OG0000133	WP_096661680.1, WP_096655898.1	WP_035157032.1
OG0000134	WP_096654089.1	WP_035157104.1
OG0000135	WP_096654323.1, WP_096656903.1, WP_096653462.1, WP_096656810.1	WP_052754340.1
OG0000135	WP_096658143.1, WP_096660397.1	WP_035157565.1
OG0000136	WP_096661535.1, WP_096657444.1	WP_046815075.1
OG0000136	WP_096661501.1	WP_238178468.1
OG0000136	WP_096658687.1, WP_096657527.1, WP_096657295.1	WP_238178469.1
OG0000143	WP_096656311.1	WP_035148954.1
OG0000144	WP_096656097.1	WP_035149691.1
OG0000144	WP_096660842.1, WP_096658279.1	WP_035154490.1
OG0000145	WP_096661512.1	WP_035149857.1
OG0000146	WP_096655028.1	WP_238178549.1
OG0000146	WP_096655022.1	WP_035149977.1
OG0000147	WP_096652424.1	WP_035150325.1
OG0000148	WP_096654001.1	WP_035150527.1
OG0000149	WP_096660883.1	WP_035151196.1, WP_035151195.1
OG0000149	WP_096660881.1	WP_035151197.1
OG0000150	WP_096652549.1	WP_035151317.1
OG0000151	WP_096657541.1	WP_238178472.1
OG0000151	WP_096657354.1	WP_035151908.1
OG0000151	WP_096657435.1	WP_035158776.1, WP_035151648.1
OG0000152	WP_096658775.1, WP_096657312.1, WP_096657504.1, WP_096657388.1	WP_035151980.1
OG0000153	WP_096654969.1, WP_096654979.1	WP_035152326.1, WP_035153692.1, WP_035153892.1
OG0000154	WP_096660264.1, WP_096655958.1, WP_096653743.1, WP_096652324.1, WP_096657542.1	WP_035152465.1
OG0000155	WP_096654975.1	WP_035153896.1, WP_035153694.1, WP_035158986.1
OG0000155	WP_096654965.1	WP_035153898.1, WP_035153696.1
OG0000157	WP_096658183.1	WP_035154188.1
OG0000157	WP_096654482.1, WP_096655316.1	WP_238178389.1, WP_082127374.1
OG0000158	WP_096654476.1	WP_035154368.1
OG0000159	WP_096657152.1, WP_096656640.1	WP_256388864.1, WP_046814723.1
OG0000159	WP_096653739.1	WP_256388870.1, WP_035155480.1, WP_046814686.1, WP_035156635.1
OG0000160	WP_096652467.1, WP_096660067.1	WP_035156214.1
OG0000161	WP_096658105.1	WP_035156474.1
OG0000162	WP_096661301.1	WP_035159299.1
OG0000163	WP_096661225.1, WP_096657887.1	WP_035159330.1
OG0000164	WP_096660268.1	WP_046814697.1
OG0000164	WP_096654269.1	WP_238178357.1
OG0000165	WP_096659619.1	WP_052754461.1
OG0000166	WP_096655032.1	WP_238178417.1
OG0000166	WP_096654271.1	WP_082127347.1
OG0000167	WP_096657536.1, WP_096658667.1, WP_096657287.1, WP_096661365.1, WP_096657484.1	WP_238178455.1, WP_238178470.1
OG0000168	WP_096654793.1	WP_256388866.1
OG0000176	WP_096660706.1	WP_035148903.1
OG0000176	WP_096658304.1	WP_035153450.1
OG0000177	WP_096653964.1	WP_035149974.1
OG0000178	WP_096653930.1	WP_035150072.1
OG0000180	WP_096655675.1	WP_035150451.1
OG0000180	WP_096655905.1	WP_238178533.1
OG0000181	WP_096652246.1	WP_035158135.1, WP_035150568.1
OG0000182	WP_096655881.1	WP_035150570.1
OG0000182	WP_096656468.1	WP_035154485.1
OG0000183	WP_096657059.1	WP_035152191.1
OG0000184	WP_096657139.1	WP_035151238.1
OG0000185	WP_096652395.1, WP_096652737.1, WP_096655972.1, WP_096659664.1	WP_035154853.1
OG0000186	WP_096655973.1	WP_035154873.1
OG0000186	WP_096660968.1	WP_035151527.1
OG0000187	WP_096661387.1, WP_096657384.1, WP_096657501.1, WP_096657213.1, WP_096657314.1, WP_096658783.1	WP_035151970.1
OG0000188	WP_096657663.1	WP_035157558.1
OG0000188	WP_096656347.1	WP_035153623.1
OG0000189	WP_096654621.1	WP_035153785.1, WP_052754443.1, WP_035158161.1
OG0000190	WP_096658432.1	WP_035153989.1
OG0000190	WP_096661262.1	WP_035159035.1
OG0000191	WP_096652519.1	WP_035156226.1
OG0000191	WP_096657063.1	WP_035154311.1
OG0000192	WP_096654835.1, WP_096655885.1, WP_096654837.1	WP_035154423.1
OG0000193	WP_096656552.1	WP_035155142.1
OG0000193	WP_096656553.1, WP_096656554.1	WP_035155140.1
OG0000194	WP_096654940.1	WP_035155345.1
OG0000195	WP_096660243.1, WP_096656125.1	WP_035155586.1
OG0000196	WP_096657664.1	WP_035156157.1
OG0000196	WP_096657674.1	WP_035156154.1
OG0000197	WP_096656803.1, WP_096660819.1	WP_035157311.1
OG0000198	WP_096653628.1	WP_035158024.1
OG0000199	WP_096657242.1, WP_096652937.1, WP_096657241.1	WP_035158137.1
OG0000200	WP_096653630.1	WP_035158413.1
OG0000201	WP_096657414.1	WP_035158762.1
OG0000201	WP_096658699.1, WP_096657305.1, WP_096657518.1	WP_238178467.1
OG0000202	WP_096661426.1, WP_096661660.1, WP_096661620.1	WP_035159851.1
OG0000203	WP_096660596.1	WP_046814732.1
OG0000204	WP_096656283.1	WP_046814911.1
OG0000206	WP_096654390.1	WP_052754503.1
OG0000207	WP_096661728.1	WP_256388803.1
OG0000215	WP_096658324.1, WP_096658348.1, WP_096654665.1	WP_035149182.1
OG0000216	WP_096659855.1	WP_035151145.1
OG0000216	WP_096661320.1	WP_035149190.1
OG0000217	WP_096655374.1	WP_035156431.1
OG0000218	WP_096660906.1	WP_035149618.1
OG0000219	WP_096656743.1	WP_035149676.1
OG0000221	WP_096653986.1	WP_035149831.1
OG0000222	WP_096653874.1, WP_096657562.1, WP_096657563.1, WP_096653946.1	WP_035150080.1
OG0000223	WP_096654661.1	WP_046814742.1
OG0000223	WP_096657155.1, WP_096656639.1	WP_168163423.1, WP_035150289.1
OG0000224	WP_096659980.1	WP_035151005.1
OG0000225	WP_096660874.1	WP_035151227.1
OG0000225	WP_096660873.1	WP_035151223.1
OG0000226	WP_096659849.1	WP_035151609.1, WP_046814768.1
OG0000227	WP_096658016.1	WP_035151674.1, WP_046814778.1
OG0000228	WP_096657383.1, WP_096657500.1, WP_096657214.1, WP_096658785.1, WP_096661550.1	WP_035151966.1
OG0000229	WP_096656914.1	WP_035152254.1, WP_035152207.1
OG0000231	WP_096659784.1	WP_035153103.1
OG0000232	WP_096656835.1	WP_035153569.1
OG0000233	WP_096657136.1	WP_035153631.1
OG0000235	WP_096656057.1	WP_035154014.1
OG0000236	WP_096656355.1	WP_035154616.1
OG0000237	WP_096652731.1, WP_096657127.1	WP_035154679.1
OG0000239	WP_096657789.1	WP_035155774.1
OG0000240	WP_096658358.1	WP_035156391.1
OG0000241	WP_096658116.1	WP_035156448.1
OG0000241	WP_096658115.1	WP_035156449.1
OG0000241	WP_096655113.1, WP_096653835.1	WP_238178383.1
OG0000242	WP_096657968.1	WP_082127449.1
OG0000242	WP_096655986.1	WP_035156842.1
OG0000243	WP_096652436.1	WP_052754399.1, WP_046814889.1
OG0000243	WP_096657870.1	WP_035157939.1
OG0000244	WP_096652284.1, WP_096661206.1	WP_035158786.1
OG0000245	WP_096661407.1, WP_096661675.1	WP_035159822.1
OG0000246	WP_096655984.1, WP_096655582.1	WP_046814841.1
OG0000247	WP_096658683.1, WP_096657293.1, WP_096657529.1, WP_096661517.1, WP_096661533.1	WP_052754421.1
OG0000248	WP_096657566.1, WP_096653870.1, WP_096661027.1	WP_082127248.1
OG0000262	WP_096655804.1, WP_096658330.1	WP_035148910.1
OG0000263	WP_096657492.1	WP_035149049.1
OG0000263	WP_096655747.1	WP_046814698.1
OG0000263	WP_096658018.1	WP_238178537.1
OG0000264	WP_096656685.1	WP_035149072.1
OG0000265	WP_096657275.1, WP_096654613.1, WP_096658536.1	WP_035158004.1
OG0000266	WP_096654797.1	WP_035149508.1
OG0000267	WP_096656500.1	WP_035149731.1
OG0000268	WP_096655733.1	WP_035149836.1
OG0000269	WP_096660764.1	WP_035157644.1
OG0000269	WP_096655734.1	WP_035149841.1
OG0000270	WP_096655159.1	WP_035150782.1
OG0000270	WP_096655075.1	WP_035149903.1
OG0000272	WP_096652206.1	WP_035149994.1
OG0000273	WP_096658727.1	WP_035150267.1
OG0000274	WP_096658725.1	WP_035150269.1
OG0000276	WP_096655187.1	WP_035150766.1
OG0000276	WP_096656166.1	WP_035151492.1
OG0000278	WP_096660566.1	WP_035151068.1
OG0000279	WP_096652409.1	WP_035151512.1
OG0000281	WP_096661554.1, WP_096661562.1	WP_035152038.1
OG0000282	WP_096656652.1, WP_096660898.1	WP_035151131.1
OG0000283	WP_096656194.1	WP_035154578.1, WP_035151403.1
OG0000285	WP_096657243.1	WP_035151998.1
OG0000285	WP_096656886.1	WP_035155543.1
OG0000286	WP_096661725.1	WP_168163444.1
OG0000287	WP_096656089.1	WP_035153243.1
OG0000288	WP_096652925.1	WP_035153583.1
OG0000289	WP_096656466.1	WP_035154488.1
OG0000290	WP_096657121.1, WP_096654714.1	WP_035154532.1
OG0000291	WP_096654079.1, WP_096657932.1	WP_035154538.1
OG0000292	WP_096656897.1	WP_035154597.1
OG0000294	WP_096656331.1	WP_035154637.1
OG0000295	WP_096655590.1, WP_096655982.1	WP_035154857.1
OG0000296	WP_096655587.1, WP_096655979.1	WP_035154862.1
OG0000297	WP_096655585.1	WP_035154867.1
OG0000298	WP_096659726.1	WP_035155069.1
OG0000298	WP_096654997.1	WP_082127275.1
OG0000299	WP_096658319.1	WP_035155163.1
OG0000301	WP_096657888.1	WP_035155601.1
OG0000302	WP_096652943.1, WP_096660304.1	WP_035155891.1
OG0000304	WP_096658349.1	WP_035157560.1
OG0000305	WP_096657038.1, WP_096653634.1	WP_035157705.1
OG0000306	WP_096658574.1, WP_096654534.1	WP_035157942.1
OG0000307	WP_096656923.1	WP_035158176.1
OG0000308	WP_096654122.1, WP_096653771.1	WP_035158217.1
OG0000309	WP_096661484.1, WP_096661515.1, WP_096657432.1, WP_096653531.1, WP_096653938.1, WP_096661473.1	WP_035158744.1
OG0000311	WP_096657366.1, WP_096658791.1	WP_046814758.1
OG0000311	WP_096660938.1	WP_201782640.1
OG0000313	WP_096655583.1, WP_096655975.1	WP_082127348.1
OG0000314	WP_096660975.1	WP_144416079.1
OG0000315	WP_096658958.1, WP_096661251.1	WP_201782678.1
OG0000329	WP_096652799.1	WP_035156776.1
OG0000330	WP_096655948.1	WP_035157642.1
OG0000331	WP_096656703.1, WP_096659838.1, WP_096657159.1, WP_096660800.1	WP_035149370.1
OG0000332	WP_096658127.1	WP_035149387.1
OG0000333	WP_096656759.1	WP_035149487.1
OG0000335	WP_096657614.1	WP_035154365.1
OG0000335	WP_096652321.1	WP_035149810.1
OG0000336	WP_096655882.1	WP_035150431.1
OG0000336	WP_096658998.1	WP_046814844.1
OG0000337	WP_096653656.1	WP_035150529.1
OG0000339	WP_096654003.1	WP_052754346.1, WP_035150684.1, WP_238178435.1, WP_046814931.1, WP_082127228.1, WP_144415954.1, WP_238178401.1, WP_144415951.1
OG0000340	WP_096660590.1, WP_096660599.1	WP_035151049.1
OG0000341	WP_096656121.1	WP_035151098.1
OG0000341	WP_096656696.1	WP_035158963.1
OG0000342	WP_096660855.1	WP_035151495.1
OG0000343	WP_096661057.1	WP_035151823.1, WP_035152422.1, WP_035153158.1
OG0000344	WP_096653791.1	WP_035151944.1
OG0000345	WP_096657221.1	WP_035151946.1
OG0000346	WP_096658673.1, WP_096657290.1, WP_096657533.1	WP_035152065.1, WP_238178454.1
OG0000348	WP_096660670.1, WP_096658256.1	WP_035153178.1
OG0000350	WP_096657154.1	WP_035153655.1
OG0000351	WP_096656514.1	WP_035153770.1
OG0000352	WP_096660294.1	WP_035153772.1
OG0000353	WP_096660020.1, WP_096661110.1	WP_035154000.1
OG0000354	WP_096653535.1	WP_035154504.1
OG0000355	WP_096656052.1	WP_035154692.1
OG0000356	WP_096654633.1	WP_035154775.1
OG0000357	WP_096659511.1	WP_035154880.1
OG0000358	WP_096656894.1	WP_035157656.1
OG0000358	WP_096660128.1	WP_035154937.1
OG0000359	WP_096658956.1	WP_035158155.1
OG0000360	WP_096658253.1, WP_096652907.1	WP_035155909.1
OG0000361	WP_096652848.1, WP_096656818.1, WP_096658749.1	WP_035155929.1
OG0000363	WP_096658360.1, WP_096661323.1	WP_035156394.1
OG0000365	WP_096658091.1	WP_035157393.1, WP_035159127.1
OG0000366	WP_096659832.1, WP_096659458.1, WP_096659454.1, WP_096659460.1	WP_035158055.1, WP_035158054.1
OG0000367	WP_096658613.1	WP_035158218.1
OG0000367	WP_096656651.1	WP_035158095.1
OG0000368	WP_096660063.1	WP_035158206.1
OG0000369	WP_096660388.1	WP_035158306.1
OG0000370	WP_096657387.1, WP_096658777.1, WP_096657313.1, WP_096661203.1	WP_035158677.1
OG0000371	WP_096655639.1	WP_035158847.1
OG0000374	WP_096656937.1	WP_035159130.1
OG0000376	WP_096657400.1	WP_035159438.1
OG0000377	WP_096661704.1	WP_035159894.1
OG0000379	WP_096657321.1	WP_046814744.1
OG0000380	WP_096658350.1	WP_046814825.1
OG0000381	WP_096653576.1	WP_046814904.1
OG0000382	WP_096656933.1, WP_096656931.1	WP_046814916.1
OG0000384	WP_096654273.1	WP_052754481.1, WP_144416053.1
OG0000385	WP_096655749.1, WP_096660254.1, WP_096660256.1, WP_096660255.1, WP_096653112.1	WP_052754505.1
OG0000386	WP_096661656.1, WP_096661686.1	WP_052754563.1
OG0000387	WP_096657567.1, WP_096658771.1	WP_082127229.1
OG0000388	WP_096655732.1	WP_082127242.1
OG0000408	WP_096653228.1	WP_035148869.1
OG0000410	WP_096658428.1	WP_035149079.1
OG0000411	WP_096655282.1	WP_035151384.1
OG0000411	WP_096655778.1	WP_035149152.1
OG0000413	WP_096652372.1	WP_035149445.1
OG0000414	WP_096660905.1	WP_035149524.1
OG0000415	WP_096655731.1	WP_035149845.1
OG0000416	WP_096652258.1	WP_035149656.1, WP_052754569.1, WP_035158172.1
OG0000417	WP_096655244.1	WP_035149703.1
OG0000418	WP_096653652.1	WP_035149753.1
OG0000419	WP_096658835.1, WP_096653488.1, WP_096654132.1	WP_035149847.1, WP_046814864.1
OG0000421	WP_096653851.1, WP_096657362.1	WP_035149947.1
OG0000422	WP_096656778.1	WP_035149965.1
OG0000424	WP_096657495.1	WP_035150042.1, WP_035150558.1
OG0000426	WP_096660683.1	WP_035150944.1, WP_035150341.1
OG0000427	WP_096657323.1, WP_096654649.1, WP_096655199.1	WP_035150351.1
OG0000428	WP_096657482.1, WP_096655969.1	WP_035150376.1
OG0000429	WP_096653859.1, WP_096661435.1, WP_096657405.1, WP_096652376.1	WP_035150638.1, WP_052754389.1
OG0000430	WP_096652639.1	WP_035150772.1
OG0000431	WP_096652122.1	WP_035150834.1
OG0000432	WP_096655802.1, WP_096655800.1	WP_035150957.1
OG0000433	WP_096660594.1, WP_096660601.1	WP_035151044.1
OG0000434	WP_096660579.1	WP_035151064.1
OG0000434	WP_096652407.1	WP_035151501.1
OG0000435	WP_096657838.1	WP_035151302.1
OG0000435	WP_096658495.1	WP_035154672.1
OG0000436	WP_096659826.1	WP_035151650.1
OG0000437	WP_096657535.1, WP_096658669.1, WP_096657288.1	WP_046814765.1
OG0000439	WP_096657530.1, WP_096658679.1, WP_096657292.1	WP_035152056.1
OG0000440	WP_096658677.1, WP_096657291.1, WP_096657531.1, WP_096661627.1	WP_035152059.1
OG0000441	WP_096657532.1, WP_096661191.1, WP_096658675.1	WP_035152062.1
OG0000442	WP_096661201.1	WP_035152397.1
OG0000442	WP_096657540.1	WP_035152082.1
OG0000443	WP_096656847.1	WP_035152251.1
OG0000443	WP_096658518.1	WP_035158062.1
OG0000444	WP_096653620.1, WP_096656301.1	WP_035152949.1
OG0000445	WP_096659422.1	WP_035153006.1
OG0000446	WP_096654902.1	WP_035153051.1, WP_035154241.1
OG0000447	WP_096660338.1	WP_035153233.1
OG0000448	WP_096656161.1, WP_096659895.1	WP_035158111.1
OG0000448	WP_096659273.1	WP_035153357.1
OG0000449	WP_096660049.1	WP_035153429.1
OG0000450	WP_096657069.1	WP_035153724.1
OG0000451	WP_096660422.1, WP_096652391.1	WP_035153734.1
OG0000452	WP_096657785.1, WP_096652579.1, WP_096660425.1	WP_035153737.1
OG0000453	WP_096661134.1	WP_035153901.1
OG0000454	WP_096655726.1, WP_096654591.1	WP_035153924.1, WP_035155465.1
OG0000455	WP_096658221.1	WP_035153980.1
OG0000456	WP_096661429.1	WP_035153994.1
OG0000457	WP_096659634.1	WP_035153996.1
OG0000457	WP_096660078.1	WP_035157017.1
OG0000458	WP_096657097.1	WP_238178398.1
OG0000459	WP_096656068.1, WP_096657328.1	WP_035154110.1
OG0000460	WP_096652858.1, WP_096658599.1	WP_035154203.1
OG0000461	WP_096652856.1	WP_035154206.1
OG0000462	WP_096652838.1	WP_035154211.1
OG0000463	WP_096655865.1	WP_035154404.1
OG0000464	WP_096655873.1, WP_096655866.1	WP_035154407.1
OG0000467	WP_096656474.1	WP_035154473.1
OG0000468	WP_096654333.1	WP_035154554.1
