Orthogroup	PCC_7716	NIES-3974
OG0000131	WP_224174714.1, WP_224175788.1, WP_224175463.1	WP_096623581.1
OG0000132	WP_223976445.1	WP_096624165.1
OG0000133	WP_224180444.1	WP_096624083.1, WP_096622409.1
OG0000133	WP_224179443.1	WP_096625757.1
OG0000137	WP_223978124.1	WP_096621297.1
OG0000137	WP_223978632.1	WP_096623860.1
OG0000139	WP_224177268.1	WP_096625426.1
OG0000139	WP_224173957.1	WP_096620487.1
OG0000140	WP_224179048.1, WP_224174084.1	WP_096622996.1
OG0000143	WP_224175011.1	WP_096620893.1
OG0000144	WP_224179420.1	WP_096622350.1
OG0000144	WP_224177189.1	WP_096621774.1
OG0000148	WP_224175623.1, WP_223978113.1	WP_096625565.1
OG0000153	WP_223976657.1	WP_096625122.1
OG0000154	WP_224178820.1, WP_224177132.1	WP_096621068.1
OG0000155	WP_223976653.1	WP_096625126.1
OG0000155	WP_223976651.1	WP_096625128.1
OG0000156	WP_224175397.1	WP_231943257.1
OG0000156	WP_019495073.1, WP_223972235.1	WP_096625073.1
OG0000157	WP_223986868.1	WP_096621540.1
OG0000158	WP_223978281.1	WP_096621098.1
OG0000158	WP_223987781.1	WP_231943138.1
OG0000160	WP_224177879.1, WP_224177802.1	WP_096621387.1
OG0000161	WP_224174192.1, WP_223977304.1, WP_224175808.1, WP_224179966.1, WP_224179207.1	WP_096623100.1
OG0000163	WP_223977014.1	WP_231943091.1, WP_231943211.1
OG0000164	WP_224179381.1	WP_096620727.1
OG0000164	WP_224176177.1, WP_224175423.1	WP_231943175.1
OG0000164	WP_224177636.1	WP_231943165.1
OG0000165	WP_223972738.1, WP_224175741.1, WP_224179955.1	WP_096620302.1
OG0000166	WP_224175422.1, WP_224177144.1	WP_096626077.1
OG0000166	WP_224177637.1	WP_096619833.1
OG0000172	WP_224177013.1	WP_096622559.1, WP_096620654.1, WP_096622013.1, WP_096620159.1, WP_096620946.1
OG0000173	WP_224177325.1	WP_096623866.1
OG0000173	WP_224176327.1	WP_096625404.1
OG0000173	WP_224178774.1	WP_096625402.1
OG0000176	WP_255666525.1	WP_096622892.1
OG0000176	WP_223988207.1	WP_096620468.1
OG0000179	WP_224176284.1, WP_223991183.1	WP_096620474.1
OG0000180	WP_223983820.1	WP_096621558.1
OG0000180	WP_224179717.1	WP_096626337.1
OG0000181	WP_223978294.1	WP_096622291.1
OG0000182	WP_223975632.1, WP_223971023.1	WP_096624805.1
OG0000183	WP_223972576.1, WP_223973684.1, WP_223986890.1	WP_096624562.1
OG0000185	WP_223971187.1, WP_224179157.1, WP_223986919.1, WP_224176053.1	WP_096620328.1
OG0000186	WP_224177014.1	WP_096620944.1
OG0000188	WP_223975012.1	WP_096624103.1
OG0000188	WP_223991283.1	WP_096621579.1
OG0000191	WP_223990842.1	WP_096620643.1
OG0000191	WP_224179498.1	WP_096621000.1
OG0000193	WP_224176462.1, WP_224177212.1	WP_096621806.1
OG0000194	WP_224177277.1, WP_224178910.1	WP_231943212.1
OG0000195	WP_223977840.1	WP_096620971.1
OG0000196	WP_224178065.1, WP_224178074.1	WP_096624644.1
OG0000196	WP_224178073.1	WP_096620750.1
OG0000198	WP_223976255.1, WP_223989373.1	WP_096619837.1
OG0000200	WP_223978775.1	WP_096620602.1
OG0000204	WP_223990833.1, WP_224179259.1, WP_224179258.1	WP_096623418.1, WP_096623828.1
OG0000206	WP_224179166.1	WP_096620321.1
OG0000206	WP_224179168.1	WP_096620320.1
OG0000207	WP_224175683.1	WP_096620344.1
OG0000210	WP_224176921.1, WP_224177855.1, WP_224177949.1, WP_224179248.1	WP_096620058.1
OG0000211	WP_223979095.1, WP_223983714.1, WP_224174647.1	WP_096620259.1
OG0000213	WP_224176762.1, WP_223975731.1, WP_223976356.1, WP_224176441.1, WP_223976355.1, WP_223991246.1	WP_096624668.1
OG0000215	WP_223977116.1	WP_096621946.1
OG0000217	WP_223981824.1	WP_096622537.1
OG0000218	WP_224179049.1	WP_231943054.1
OG0000219	WP_224178325.1	WP_096625615.1
OG0000219	WP_223981939.1	WP_096626562.1
OG0000220	WP_223987025.1	WP_231943190.1, WP_231943197.1, WP_231943171.1, WP_231943196.1, WP_231943083.1
OG0000221	WP_224175479.1	WP_096624302.1
OG0000223	WP_224177607.1	WP_096620479.1
OG0000224	WP_223971838.1	WP_096621358.1
OG0000225	WP_224177438.1	WP_096626193.1
OG0000225	WP_223976806.1	WP_096622468.1
OG0000226	WP_224179534.1, WP_224175816.1, WP_224179978.1, WP_224176319.1	WP_096621732.1
OG0000230	WP_224176329.1, WP_223979898.1	WP_096625166.1, WP_096621283.1, WP_231943284.1
OG0000231	WP_223972732.1, WP_224176820.1	WP_096620045.1
OG0000232	WP_223983641.1	WP_096625114.1
OG0000233	WP_223975317.1	WP_096623565.1
OG0000235	WP_223989321.1	WP_096625232.1
OG0000235	WP_224177481.1	WP_096620950.1
OG0000236	WP_223975137.1	WP_096621907.1
OG0000238	WP_223986124.1	WP_096626532.1
OG0000238	WP_223976586.1	WP_096621524.1
OG0000239	WP_223970196.1	WP_096624985.1
OG0000239	WP_224174164.1	WP_096626289.1
OG0000239	WP_223983681.1	WP_096620494.1
OG0000240	WP_223973627.1	WP_096626189.1
OG0000242	WP_223987035.1	WP_096623794.1
OG0000243	WP_224177334.1	WP_096623665.1
OG0000243	WP_223981437.1	WP_096625448.1
OG0000244	WP_019495095.1, WP_224179673.1, WP_224180131.1	WP_096624652.1
OG0000246	WP_223980084.1, WP_224177016.1, WP_224177017.1	WP_096621239.1
OG0000249	WP_224177004.1	WP_096624444.1, WP_255408929.1
OG0000250	WP_223982203.1, WP_224179975.1, WP_224175748.1, WP_224179971.1	WP_096621865.1
OG0000253	WP_224174401.1, WP_223978326.1, WP_224175432.1, WP_224178367.1	WP_096620410.1
OG0000254	WP_255667733.1, WP_224179880.1, WP_224174327.1, WP_224176575.1	WP_096622099.1
OG0000258	WP_224180374.1	WP_096620600.1, WP_096624306.1, WP_096620599.1, WP_096621488.1, WP_096621487.1, WP_096624513.1, WP_096621144.1, WP_096621143.1
OG0000262	WP_224175260.1, WP_224178605.1, WP_223975392.1	WP_096621998.1
OG0000263	WP_223978256.1	WP_096620003.1
OG0000264	WP_224177046.1	WP_096622030.1
OG0000265	WP_223987342.1	WP_096621268.1
OG0000266	WP_223989798.1	WP_096620560.1
OG0000266	WP_223990295.1	WP_096624258.1
OG0000267	WP_224179041.1	WP_096624434.1
OG0000268	WP_224179114.1, WP_224180115.1	WP_231943408.1
OG0000269	WP_127080768.1	WP_096623637.1
OG0000270	WP_223989688.1	WP_096624049.1
OG0000271	WP_224178107.1	WP_096621418.1
OG0000271	WP_224179600.1	WP_096626261.1
OG0000272	WP_223985650.1	WP_096626263.1
OG0000272	WP_255667702.1	WP_096621417.1
OG0000275	WP_224175762.1, WP_223970817.1, WP_224175135.1, WP_255666798.1, WP_224179013.1, WP_224174218.1, WP_224179014.1	WP_231943261.1
OG0000276	WP_223986147.1	WP_096622102.1
OG0000277	WP_224174178.1	WP_096621935.1
OG0000279	WP_223971235.1	WP_096625181.1
OG0000279	WP_224179164.1	WP_096620323.1, WP_231943296.1, WP_231943295.1
OG0000280	WP_223972787.1, WP_224179174.1	WP_096620319.1
OG0000280	WP_223970897.1	WP_096620088.1
OG0000281	WP_224173941.1	WP_096624710.1
OG0000282	WP_223972631.1	WP_096620785.1
OG0000282	WP_019489143.1, WP_127082743.1	WP_096620129.1
OG0000283	WP_223970687.1, WP_224177671.1	WP_096622721.1
OG0000285	WP_224174816.1	WP_096626270.1
OG0000287	WP_224175096.1	WP_096621708.1
OG0000288	WP_224175173.1	WP_096621603.1
OG0000289	WP_223975620.1	WP_096621385.1
OG0000289	WP_223987872.1	WP_096621051.1
OG0000290	WP_223976565.1, WP_223976558.1, WP_224175334.1	WP_096624219.1
OG0000291	WP_127079227.1, WP_223977871.1	WP_096621973.1, WP_096620551.1
OG0000292	WP_224179255.1	WP_096620736.1
OG0000292	WP_224176941.1	WP_096623180.1
OG0000294	WP_224178035.1	WP_096626187.1
OG0000294	WP_224179222.1	WP_096624628.1
OG0000295	WP_224177022.1	WP_096619907.1
OG0000296	WP_223980095.1	WP_096619905.1
OG0000297	WP_223980093.1	WP_096619903.1
OG0000298	WP_224176357.1	WP_096621193.1
OG0000298	WP_224177953.1	WP_096621224.1
OG0000299	WP_223973758.1	WP_096620072.1
OG0000299	WP_224175092.1, WP_223986137.1	WP_096621448.1
OG0000300	WP_224177493.1	WP_096621523.1
OG0000300	WP_223991197.1	WP_096625203.1
OG0000301	WP_224177361.1	WP_096623300.1
OG0000302	WP_224177668.1	WP_231943313.1
OG0000303	WP_127080273.1	WP_096626155.1
OG0000304	WP_223986091.1	WP_096621852.1
OG0000305	WP_223983133.1	WP_096622836.1
OG0000306	WP_223990005.1	WP_096624161.1
OG0000307	WP_224175378.1	WP_096621099.1
OG0000308	WP_224175753.1, WP_223970254.1	WP_096620508.1
OG0000310	WP_224176381.1, WP_224178351.1	WP_231943516.1
OG0000313	WP_224177020.1	WP_096622517.1
OG0000314	WP_223970887.1, WP_224175201.1	WP_096625783.1
OG0000314	WP_224179176.1	WP_096620317.1
OG0000315	WP_224177739.1	WP_096622326.1
OG0000315	WP_224176198.1	WP_157780797.1
OG0000318	WP_223970057.1, WP_223984285.1, WP_224179725.1	WP_231943454.1
OG0000320	WP_224176608.1, WP_224175443.1	WP_096620580.1
OG0000323	WP_224177593.1, WP_223989447.1, WP_224175629.1	WP_231943164.1
OG0000324	WP_224174985.1, WP_224179787.1, WP_224174447.1	WP_096622888.1
OG0000329	WP_223977312.1	WP_096620916.1
OG0000330	WP_224176581.1	WP_231943103.1
OG0000332	WP_223989487.1	WP_096624460.1
OG0000333	WP_224175093.1	WP_096624057.1
OG0000334	WP_224175273.1, WP_224179416.1	WP_096622306.1
OG0000335	WP_223975435.1, WP_224174096.1	WP_096621116.1
OG0000336	WP_223974063.1	WP_096625531.1
OG0000337	WP_224178315.1, WP_224175513.1	WP_096625563.1
OG0000341	WP_224176193.1	WP_096624724.1
OG0000342	WP_223981962.1, WP_223983829.1	WP_096619893.1
OG0000349	WP_223972178.1	WP_096621041.1, WP_096624245.1
OG0000351	WP_224178152.1, WP_223976724.1	WP_096620872.1
OG0000352	WP_223978314.1, WP_223979201.1	WP_231943044.1, WP_096625689.1
OG0000353	WP_223974719.1, WP_223976669.1	WP_096624370.1
OG0000354	WP_223981341.1	WP_096620947.1
OG0000355	WP_223977223.1, WP_223976667.1	WP_096619889.1
OG0000356	WP_224176963.1	WP_096620534.1
OG0000357	WP_223989937.1	WP_096620531.1
OG0000358	WP_223981134.1	WP_096621284.1
OG0000360	WP_224178902.1	WP_096621857.1
OG0000363	WP_223973134.1, WP_223979877.1	WP_096622453.1
OG0000364	WP_223987727.1	WP_157780741.1
OG0000364	WP_223987729.1	WP_157780652.1
OG0000365	WP_224177728.1	WP_096621022.1
OG0000366	WP_223971085.1	WP_096623878.1
OG0000367	WP_224175046.1	WP_096620784.1
OG0000367	WP_223982640.1	WP_096620130.1
OG0000369	WP_223973115.1	WP_096625617.1
OG0000374	WP_224176634.1	WP_096623989.1
OG0000375	WP_223970192.1	WP_096624979.1
OG0000375	WP_224174162.1	WP_096626291.1
OG0000376	WP_223972281.1, WP_224178432.1, WP_223978154.1	WP_096621257.1
OG0000379	WP_224176677.1, WP_224178443.1	WP_096619891.1
OG0000380	WP_224178421.1	WP_231943049.1, WP_096623936.1
OG0000381	WP_224178192.1	WP_096621689.1
OG0000382	WP_223975942.1	WP_255408924.1, WP_231943349.1, WP_231943351.1, WP_096620634.1
OG0000383	WP_224174023.1, WP_224174572.1, WP_224177924.1	WP_096619935.1
OG0000384	WP_223989363.1, WP_223989365.1	WP_096619831.1
OG0000385	WP_223986047.1	WP_096620813.1
OG0000387	WP_224175797.1, WP_223976090.1	WP_096620039.1
OG0000389	WP_223970194.1	WP_096624983.1
OG0000389	WP_224174163.1	WP_096623008.1
OG0000391	WP_224175994.1	WP_096622549.1
OG0000392	WP_224178027.1, WP_224175798.1	WP_096620126.1
OG0000393	WP_224179667.1, WP_224176463.1	WP_096625367.1
OG0000394	WP_223978277.1, WP_223978058.1	WP_096624296.1
OG0000395	WP_224177262.1, WP_223976958.1	WP_096622699.1
OG0000395	WP_224176772.1	WP_096620369.1
OG0000397	WP_223983030.1	WP_096621724.1
OG0000398	WP_223978264.1, WP_224174130.1	WP_096620502.1
OG0000402	WP_223985375.1, WP_224178135.1, WP_224179399.1	WP_096619851.1
OG0000408	WP_224179468.1	WP_231943277.1
OG0000410	WP_224176800.1	WP_096623784.1
OG0000411	WP_223986452.1	WP_096620898.1
OG0000412	WP_224178629.1	WP_096622646.1
OG0000413	WP_223984668.1	WP_096622338.1, WP_096620042.1, WP_096621875.1
OG0000414	WP_224179070.1	WP_157780610.1
OG0000415	WP_026093334.1	WP_096622255.1
OG0000416	WP_224175089.1	WP_096623641.1
OG0000418	WP_223978282.1	WP_096624428.1
OG0000419	WP_223978633.1	WP_096623862.1
OG0000422	WP_223977978.1	WP_231943217.1
OG0000426	WP_224176221.1, WP_224179038.1	WP_096622285.1
OG0000427	WP_224175503.1	WP_096620316.1, WP_096624991.1
OG0000428	WP_224175570.1	WP_096624179.1
OG0000430	WP_223989751.1, WP_223989806.1	WP_096622272.1
OG0000431	WP_223990082.1	WP_096624491.1, WP_096621294.1
OG0000432	WP_224179705.1	WP_096622735.1
OG0000434	WP_224174668.1	WP_096623408.1
OG0000435	WP_224178114.1	WP_096621653.1
OG0000438	WP_224175785.1	WP_096620521.1
OG0000443	WP_223973564.1	WP_096623630.1
OG0000444	WP_224177317.1	WP_096622591.1
OG0000445	WP_223978701.1	WP_096625519.1
OG0000447	WP_223976352.1	WP_096626601.1
OG0000448	WP_127087595.1	WP_096626607.1
OG0000449	WP_223975084.1	WP_096620620.1
OG0000450	WP_223980350.1	WP_096621007.1
OG0000453	WP_223989987.1	WP_096620258.1
OG0000454	WP_223988247.1	WP_096622586.1
OG0000455	WP_224176727.1	WP_096620482.1
OG0000457	WP_224175289.1	WP_096620865.1
OG0000458	WP_223990015.1	WP_096621181.1
OG0000459	WP_223981936.1	WP_096626457.1
OG0000460	WP_223975714.1	WP_096620575.1
OG0000460	WP_224175052.1	WP_096620623.1
OG0000461	WP_224175051.1	WP_096620622.1
OG0000461	WP_224177929.1	WP_096620574.1
OG0000462	WP_224178021.1	WP_096625353.1
OG0000463	WP_224179082.1	WP_096623192.1
OG0000464	WP_224175284.1	WP_096621237.1
OG0000464	WP_127086176.1	WP_096623190.1
OG0000465	WP_224179081.1	WP_096623188.1
OG0000465	WP_223973151.1	WP_096621236.1
OG0000466	WP_127087716.1	WP_096623184.1
OG0000466	WP_223973155.1	WP_231943427.1
OG0000467	WP_223975638.1	WP_096622177.1
OG0000468	WP_224175045.1	WP_096620783.1
OG0000468	WP_223980536.1	WP_096623621.1
OG0000469	WP_223978771.1, WP_224179976.1	WP_096623816.1
OG0000470	WP_224174526.1, WP_224178832.1	WP_096622202.1
OG0000472	WP_223991173.1, WP_223991171.1	WP_096622556.1
OG0000473	WP_224178728.1	WP_096624937.1
OG0000475	WP_224175207.1	WP_096623254.1
OG0000475	WP_224175206.1	WP_096623298.1
OG0000476	WP_224177362.1, WP_224176780.1, WP_223970945.1	WP_096623294.1
OG0000477	WP_224179278.1, WP_224176380.1	WP_096622648.1
OG0000478	WP_224177776.1	WP_096624109.1
OG0000479	WP_224179986.1, WP_224177353.1	WP_096623342.1
OG0000480	WP_223974735.1, WP_223977034.1	WP_096623316.1
OG0000481	WP_223978179.1, WP_224175738.1, WP_224179951.1	WP_096621275.1
OG0000482	WP_223977111.1	WP_096624382.1, WP_096625195.1
OG0000483	WP_073618674.1, WP_223985021.1	WP_096625952.1
