Orthogroup	NIES-4071	PCC_7716
OG0000013	WP_096688657.1	WP_224174709.1
OG0000014	WP_096691235.1	WP_224177340.1
OG0000014	WP_096686394.1	WP_224174008.1
OG0000014	WP_096688443.1	WP_223987736.1
OG0000014	WP_096688150.1	WP_224176458.1, WP_224176457.1, WP_224176456.1, WP_224179778.1
OG0000015	WP_096684727.1	WP_223978162.1
OG0000015	WP_096690481.1	WP_223976951.1, WP_224174592.1, WP_224177283.1
OG0000015	WP_096692766.1	WP_224180364.1
OG0000015	WP_096683728.1	WP_223978684.1
OG0000015	WP_096694254.1, WP_096694872.1	WP_223986040.1, WP_255667734.1, WP_224175646.1
OG0000016	WP_096693706.1	WP_224179691.1
OG0000016	WP_096685008.1	WP_223973158.1
OG0000016	WP_096686371.1	WP_073624137.1
OG0000016	WP_096684976.1	WP_224175277.1
OG0000016	WP_096694139.1	WP_224175028.1
OG0000017	WP_096690249.1	WP_223974161.1
OG0000017	WP_096686127.1, WP_096685802.1	WP_223978338.1
OG0000018	WP_096691938.1	WP_224177415.1
OG0000018	WP_096694074.1	WP_223978299.1, WP_224176526.1
OG0000018	WP_096693862.1	WP_223974056.1
OG0000018	WP_096691355.1	WP_224177274.1
OG0000018	WP_096691016.1	WP_223983760.1
OG0000019	WP_096691522.1	WP_223989441.1
OG0000019	WP_096683961.1, WP_096684364.1	WP_224176689.1
OG0000019	WP_096692214.1	WP_224178766.1
OG0000019	WP_096690012.1, WP_096693074.1	WP_224176469.1
OG0000019	WP_096694258.1	WP_223987281.1
OG0000019	WP_096684432.1	WP_224176703.1
OG0000019	WP_096684403.1	WP_224176732.1
OG0000020	WP_096686005.1	WP_223973082.1
OG0000020	WP_096688467.1, WP_096690925.1, WP_096684220.1	WP_224177271.1
OG0000021	WP_096685147.1	WP_224176013.1
OG0000021	WP_096688523.1, WP_096685084.1	WP_224175360.1
OG0000021	WP_096683812.1, WP_096684070.1	WP_224176022.1
OG0000021	WP_096685699.1, WP_096685701.1	WP_223973359.1
OG0000021	WP_096683899.1	WP_223984191.1
OG0000022	WP_096694458.1	WP_224177161.1
OG0000022	WP_096685392.1	WP_223973380.1
OG0000022	WP_096688731.1	WP_223983823.1
OG0000023	WP_096691269.1	WP_223982408.1
OG0000023	WP_096692561.1	WP_224176745.1
OG0000023	WP_096689037.1	WP_224178875.1
OG0000024	WP_096683784.1	WP_224179039.1
OG0000024	WP_096690810.1, WP_096683793.1	WP_224176218.1
OG0000025	WP_096684183.1	WP_223987500.1
OG0000025	WP_096695214.1	WP_224174281.1
OG0000026	WP_096694961.1, WP_096692314.1, WP_096690149.1	WP_223988249.1, WP_127080584.1, WP_019495472.1, WP_224180391.1
OG0000026	WP_096690637.1	WP_224178091.1
OG0000027	WP_096686888.1	WP_224179256.1
OG0000027	WP_096694658.1	WP_224179961.1, WP_224175791.1
OG0000027	WP_096691512.1	WP_223989462.1
OG0000027	WP_096694436.1	WP_224179521.1
OG0000028	WP_096691059.1	WP_224177556.1
OG0000028	WP_096688384.1	WP_223987816.1
OG0000028	WP_096686678.1	WP_224179387.1
OG0000028	WP_096689726.1	WP_223973706.1
OG0000028	WP_096684864.1	WP_223978362.1
OG0000029	WP_096685965.1, WP_096683844.1	WP_224179308.1
OG0000029	WP_096687805.1	WP_224174203.1
OG0000030	WP_096690994.1	WP_224177621.1
OG0000030	WP_096690674.1	WP_224177613.1, WP_224177612.1, WP_224178064.1
OG0000030	WP_096689050.1	WP_223984123.1
OG0000030	WP_096691554.1	WP_223984088.1, WP_223978659.1, WP_224177476.1
OG0000031	WP_096688702.1, WP_096684518.1	WP_224174811.1
OG0000031	WP_096686047.1	WP_224175116.1
OG0000031	WP_096691433.1	WP_224176862.1
OG0000032	WP_096689123.1	WP_223972372.1
OG0000032	WP_096692210.1	WP_224180152.1
OG0000032	WP_096694912.1	WP_223972362.1, WP_224180315.1
OG0000032	WP_096693712.1	WP_223978974.1
OG0000032	WP_096689122.1	WP_223972373.1
OG0000033	WP_096689332.1, WP_096689333.1, WP_096689331.1	WP_224176048.1
OG0000033	WP_096690666.1	WP_223990715.1, WP_224176740.1, WP_223984749.1, WP_224176049.1, WP_224178067.1, WP_224178066.1, WP_224178075.1
OG0000034	WP_096693020.1	WP_224176584.1
OG0000034	WP_096695170.1	WP_224174596.1
OG0000034	WP_096683764.1	WP_224177860.1
OG0000035	WP_096689136.1	WP_224179196.1, WP_223973339.1
OG0000035	WP_096686274.1	WP_223973602.1
OG0000035	WP_096689974.1, WP_096689068.1, WP_096689063.1	WP_223984083.1
OG0000035	WP_096683742.1, WP_096689182.1	WP_224180316.1
OG0000036	WP_096684061.1	WP_224174534.1, WP_224177828.1, WP_224176348.1
OG0000036	WP_096693519.1	WP_224177112.1
OG0000036	WP_096684350.1	WP_224180301.1
OG0000037	WP_096689828.1	WP_073623750.1
OG0000037	WP_096690445.1	WP_073620704.1
OG0000037	WP_096686575.1	WP_223985796.1
OG0000038	WP_096687180.1	WP_223973842.1
OG0000038	WP_096689831.1	WP_224179556.1
OG0000038	WP_096685000.1	WP_224175281.1
OG0000038	WP_096694576.1	WP_224176205.1
OG0000039	WP_096686045.1	WP_224175118.1
OG0000039	WP_096691438.1	WP_224175353.1, WP_224176861.1
OG0000039	WP_096689937.1	WP_224179284.1
OG0000039	WP_096695304.1, WP_096695257.1	WP_224176511.1, WP_224180453.1
OG0000040	WP_096691251.1	WP_224177333.1
OG0000040	WP_096689312.1	WP_224174214.1, WP_224176770.1
OG0000040	WP_096689104.1, WP_096692792.1	WP_223978159.1
OG0000041	WP_096684128.1, WP_096689003.1	WP_223986883.1
OG0000041	WP_096693688.1	WP_224176201.1
OG0000041	WP_096689477.1	WP_223987336.1
OG0000041	WP_096693652.1	WP_224176197.1
OG0000042	WP_096689244.1, WP_096688178.1, WP_096690528.1, WP_096692172.1, WP_096684126.1	WP_223981627.1
OG0000042	WP_096691555.1, WP_096683799.1	WP_224175059.1
OG0000043	WP_096688360.1	WP_223985707.1
OG0000043	WP_096691852.1	WP_223976582.1
OG0000043	WP_096686671.1	WP_224179378.1
OG0000043	WP_096694572.1	WP_223978913.1
OG0000044	WP_096689017.1	WP_224178868.1
OG0000044	WP_096688179.1	WP_224178650.1
OG0000044	WP_096689018.1	WP_224178869.1
OG0000045	WP_096689840.1, WP_096690762.1, WP_096690430.1	WP_224177902.1
OG0000045	WP_096694068.1, WP_096692344.1, WP_096692269.1, WP_096690361.1	WP_224177102.1
OG0000045	WP_096690567.1	WP_223974614.1
OG0000046	WP_096695068.1	WP_224174471.1
OG0000046	WP_096695177.1	WP_224174600.1
OG0000046	WP_096695227.1	WP_224178994.1, WP_224175698.1, WP_224174367.1, WP_224174860.1, WP_224178995.1
OG0000047	WP_096688636.1, WP_096688634.1, WP_096688635.1	WP_224179069.1
OG0000048	WP_096686066.1	WP_223972807.1
OG0000048	WP_096687766.1	WP_223970995.1
OG0000048	WP_096693169.1	WP_224176321.1
OG0000048	WP_096693327.1	WP_224176508.1
OG0000049	WP_096691395.1	WP_224179290.1
OG0000049	WP_096691043.1	WP_223970094.1, WP_224177778.1
OG0000050	WP_096686174.1	WP_223973274.1
OG0000050	WP_096694076.1	WP_224174019.1
OG0000050	WP_096694292.1	WP_224179192.1
OG0000050	WP_096689762.1	WP_224179191.1
OG0000050	WP_096694536.1	WP_224176612.1
OG0000051	WP_096689114.1, WP_096688875.1, WP_096691897.1, WP_096692010.1, WP_096687583.1	WP_224176027.1
OG0000052	WP_096686043.1	WP_224175119.1
OG0000052	WP_096691439.1	WP_223990866.1, WP_224175352.1
OG0000052	WP_096695256.1	WP_224180451.1
OG0000052	WP_096695303.1	WP_224176512.1
OG0000053	WP_096692560.1	WP_224176746.1
OG0000053	WP_096691287.1	WP_224179512.1
OG0000053	WP_096694202.1	WP_224179072.1, WP_223977488.1
OG0000054	WP_096690896.1	WP_224177696.1
OG0000054	WP_096692270.1	WP_224178520.1
OG0000054	WP_096691663.1	WP_223980887.1
OG0000054	WP_096691408.1	WP_224175154.1
OG0000055	WP_096683822.1	WP_224177700.1
OG0000055	WP_096693599.1	WP_224176828.1
OG0000055	WP_096691373.1	WP_223987626.1
OG0000055	WP_096692930.1	WP_223990968.1
OG0000055	WP_096686027.1	WP_223974899.1, WP_224175268.1
OG0000056	WP_096683823.1	WP_224177701.1
OG0000056	WP_096686024.1	WP_224175267.1, WP_223974907.1
OG0000056	WP_096693602.1	WP_223987624.1, WP_224176827.1
OG0000056	WP_096692944.1	WP_224174715.1
OG0000056	WP_096691372.1, WP_096692931.1	WP_223990970.1
OG0000057	WP_096687898.1, WP_096687945.1, WP_096688625.1	WP_224174743.1
OG0000057	WP_096689835.1	WP_224178369.1
OG0000059	WP_096691483.1	WP_223989517.1
OG0000059	WP_096692996.1	WP_224176570.1
OG0000059	WP_096692259.1	WP_224176885.1
OG0000060	WP_096692611.1	WP_223977252.1
OG0000060	WP_096689936.1	WP_223987941.1
OG0000060	WP_096695258.1, WP_096695305.1	WP_223977619.1, WP_224180454.1
OG0000061	WP_096691271.1	WP_224177323.1
OG0000061	WP_096692559.1	WP_223989551.1
OG0000061	WP_096688639.1	WP_223977489.1, WP_224179073.1
OG0000062	WP_096683775.1	WP_224175373.1
OG0000062	WP_096690053.1	WP_224178787.1
OG0000063	WP_096684896.1	WP_224175528.1
OG0000063	WP_096686396.1	WP_224174000.1
OG0000063	WP_096686404.1, WP_096686406.1	WP_224180312.1
OG0000064	WP_096690144.1	WP_224179577.1, WP_223988239.1
OG0000064	WP_096689619.1	WP_224177892.1
OG0000064	WP_096686761.1	WP_224174527.1
OG0000064	WP_096692294.1	WP_223989889.1
OG0000066	WP_096688812.1	WP_224177895.1
OG0000066	WP_096687014.1	WP_224178603.1
OG0000066	WP_096690796.1	WP_224177916.1
OG0000067	WP_096688480.1	WP_224179217.1
OG0000067	WP_096688477.1	WP_223986199.1
OG0000068	WP_096686704.1	WP_223972642.1
OG0000068	WP_096688303.1	WP_223972520.1
OG0000068	WP_096693573.1	WP_223980037.1
OG0000068	WP_096690990.1	WP_224177622.1
OG0000069	WP_096687820.1	WP_224174148.1, WP_224174172.1
OG0000069	WP_096694715.1	WP_224174170.1, WP_224174126.1, WP_224178293.1, WP_224174112.1, WP_224174160.1, WP_224174145.1, WP_255667712.1
OG0000070	WP_096684394.1	WP_223974384.1
OG0000070	WP_096687650.1	WP_224173920.1
OG0000070	WP_096684365.1, WP_096683949.1, WP_096683935.1	WP_223973130.1
OG0000070	WP_096684387.1	WP_224178196.1
OG0000071	WP_096685624.1	WP_224174774.1, WP_224176095.1
OG0000071	WP_096695334.1	WP_170213544.1
OG0000072	WP_096690524.1, WP_096690508.1	WP_224178894.1, WP_223991267.1, WP_223982518.1
OG0000072	WP_096686209.1	WP_223990992.1, WP_223978707.1, WP_223973279.1
OG0000072	WP_096689354.1	WP_223984765.1
OG0000073	WP_096689987.1	WP_223973153.1
OG0000073	WP_096690366.1	WP_223975079.1
OG0000074	WP_096687204.1	WP_224179084.1
OG0000075	WP_096691751.1, WP_096688883.1	WP_224176039.1
OG0000076	WP_096691809.1	WP_224177218.1
OG0000076	WP_096690183.1	WP_224178317.1
OG0000077	WP_096693555.1	WP_224174338.1, WP_224176306.1, WP_224174410.1, WP_224180341.1, WP_224180251.1
OG0000077	WP_096694954.1	WP_224174245.1
OG0000078	WP_096685348.1	WP_223978242.1
OG0000078	WP_096686680.1	WP_224179388.1
OG0000078	WP_096694317.1	WP_073618247.1
OG0000079	WP_096690838.1	WP_223975674.1
OG0000079	WP_096692592.1	WP_224176674.1
OG0000079	WP_096687944.1, WP_096684429.1	WP_223977187.1
OG0000080	WP_096685241.1, WP_096692222.1	WP_224178762.1, WP_224176340.1, WP_224176908.1
OG0000080	WP_096693064.1	WP_224176454.1
OG0000081	WP_096688521.1, WP_096691082.1, WP_096690051.1, WP_096689527.1	WP_224176478.1
OG0000082	WP_096692229.1	WP_224176905.1
OG0000082	WP_096692750.1	WP_224180487.1, WP_224174479.1, WP_073619728.1
OG0000082	WP_096684468.1	WP_224174155.1
OG0000083	WP_096686791.1	WP_224175350.1
OG0000083	WP_096687504.1	WP_224175240.1
OG0000084	WP_096692804.1	WP_223990658.1
OG0000084	WP_096689751.1	WP_224179267.1
OG0000084	WP_096685604.1	WP_224176397.1
OG0000085	WP_096687586.1, WP_096683979.1, WP_096691171.1	WP_223985058.1
OG0000085	WP_096694553.1	WP_223980781.1
OG0000086	WP_096687704.1	WP_223972605.1
OG0000086	WP_096690120.1	WP_224178819.1
OG0000087	WP_096688405.1	WP_223987779.1
OG0000087	WP_096692027.1	WP_223980055.1
OG0000087	WP_096693930.1	WP_224176412.1
OG0000088	WP_096693944.1	WP_127086126.1
OG0000088	WP_096685322.1	WP_019488911.1
OG0000089	WP_096688929.1	WP_224177972.1
OG0000089	WP_096687234.1	WP_223986557.1
OG0000090	WP_096688332.1	WP_224176832.1, WP_223975758.1
OG0000090	WP_096689196.1	WP_224177531.1
OG0000090	WP_096692918.1, WP_096691024.1	WP_223976423.1
OG0000091	WP_096685936.1	WP_224175232.1
OG0000092	WP_096694656.1	WP_019497149.1
OG0000092	WP_096694659.1	WP_224179963.1, WP_224175770.1
OG0000092	WP_096694653.1	WP_223974178.1, WP_224175795.1
OG0000093	WP_096688180.1	WP_224180193.1, WP_224180196.1, WP_224177824.1
OG0000094	WP_096690548.1	WP_223973546.1, WP_224179019.1
OG0000095	WP_096684405.1	WP_223976527.1
OG0000095	WP_096694084.1	WP_224179257.1
OG0000096	WP_096688320.1	WP_224176945.1
OG0000096	WP_096692119.1	WP_224176947.1
OG0000097	WP_096685429.1	WP_224175129.1
OG0000098	WP_096692886.1	WP_223977965.1
OG0000098	WP_096689203.1	WP_223984341.1
OG0000098	WP_096689204.1	WP_223984344.1
OG0000098	WP_096692885.1	WP_223977551.1
OG0000099	WP_096690458.1	WP_019492617.1
OG0000099	WP_096692603.1	WP_223977250.1
OG0000099	WP_096685665.1	WP_223972833.1
OG0000100	WP_096689418.1	WP_224177735.1
OG0000100	WP_096693615.1	WP_224176183.1
OG0000100	WP_096692494.1	WP_224176805.1
OG0000101	WP_096684009.1	WP_224175326.1
OG0000101	WP_096684008.1	WP_224175534.1
OG0000101	WP_096684010.1	WP_223973253.1
OG0000103	WP_096693987.1	WP_224176238.1
OG0000103	WP_096684526.1	WP_223979153.1
OG0000103	WP_096684570.1	WP_224175511.1
OG0000104	WP_096690824.1	WP_223986804.1
OG0000104	WP_096689845.1, WP_096694384.1, WP_096692307.1	WP_224177397.1
OG0000105	WP_096683878.1, WP_096694724.1	WP_224180423.1, WP_224180138.1, WP_224175069.1, WP_224175896.1
OG0000106	WP_096686003.1, WP_096690981.1, WP_096693965.1	WP_223972896.1
OG0000106	WP_096693547.1	WP_223979896.1
OG0000107	WP_096694948.1	WP_224174252.1
OG0000107	WP_096694952.1	WP_224174247.1
OG0000107	WP_096695045.1	WP_224174486.1
OG0000107	WP_096695012.1, WP_096694226.1, WP_096693951.1	WP_224174922.1
OG0000108	WP_096684735.1	WP_224175588.1
OG0000108	WP_096688009.1	WP_224180297.1
OG0000109	WP_096693721.1	WP_223978980.1
OG0000110	WP_096687818.1	WP_224178270.1, WP_224178269.1, WP_224178363.1, WP_224178283.1, WP_224178268.1, WP_224178280.1
OG0000111	WP_096689041.1	WP_224173962.1
OG0000111	WP_096687352.1, WP_096690414.1, WP_096691722.1	WP_224178777.1
OG0000111	WP_096694094.1	WP_224174891.1
OG0000113	WP_096686930.1	WP_223985252.1
OG0000113	WP_096691770.1	WP_224177188.1
OG0000114	WP_096685285.1	WP_224175480.1
OG0000114	WP_096695171.1	WP_224175581.1
OG0000115	WP_096686318.1, WP_096686316.1	WP_224179057.1, WP_223988232.1
OG0000115	WP_096687830.1	WP_224175980.1
OG0000116	WP_096688632.1	WP_224179067.1
OG0000116	WP_096694413.1	WP_224177328.1
OG0000117	WP_096692162.1, WP_096690423.1, WP_096690422.1, WP_096686669.1, WP_096687887.1	WP_224175063.1
OG0000118	WP_096689873.1	WP_224177062.1
OG0000119	WP_096686097.1	WP_224175102.1
OG0000119	WP_096685918.1	WP_224179173.1
OG0000120	WP_096694599.1	WP_224175693.1, WP_224175925.1, WP_224178961.1, WP_224174935.1, WP_224174936.1, WP_224180050.1
OG0000121	WP_096691257.1, WP_096694443.1, WP_096690491.1, WP_096687526.1, WP_026093300.1	WP_223980800.1
OG0000122	WP_096685630.1	WP_223979269.1
OG0000122	WP_096691879.1	WP_223976655.1
OG0000123	WP_096689519.1	WP_224177833.1
OG0000123	WP_096692184.1	WP_224176912.1
OG0000124	WP_096694507.1	WP_223989773.1
OG0000124	WP_096688291.1	WP_223972536.1
OG0000125	WP_096691749.1	WP_224177177.1
OG0000125	WP_096691748.1	WP_224179105.1
OG0000126	WP_096685474.1	WP_224175147.1
OG0000126	WP_096684420.1	WP_224179720.1
OG0000126	WP_096684119.1	WP_223978658.1
OG0000127	WP_096688585.1	WP_223972420.1
OG0000128	WP_096692024.1	WP_223980068.1
OG0000128	WP_096688213.1	WP_223986483.1
OG0000129	WP_096687448.1	WP_224174658.1
OG0000129	WP_096693249.1	WP_223990056.1
OG0000130	WP_096693247.1	WP_223990054.1
OG0000130	WP_096692703.1	WP_127080712.1
OG0000131	WP_096685004.1	WP_224175283.1
OG0000131	WP_096684148.1	WP_224175463.1
OG0000132	WP_096691013.1	WP_223976445.1
OG0000132	WP_096688510.1	WP_224176839.1
OG0000133	WP_096689558.1	WP_224180444.1
OG0000135	WP_096686870.1	WP_223987993.1
OG0000136	WP_096694809.1	WP_224179835.1
OG0000137	WP_096685326.1	WP_223978124.1
OG0000137	WP_096687829.1	WP_223978632.1
OG0000138	WP_096690413.1, WP_096695251.1, WP_096690047.1, WP_096691986.1	WP_224174542.1
OG0000139	WP_096691361.1	WP_224177268.1
OG0000139	WP_096686571.1	WP_224180515.1, WP_224173957.1
OG0000140	WP_096687120.1	WP_224179048.1
OG0000140	WP_096687831.1	WP_224174084.1
OG0000141	WP_096692435.1, WP_096689528.1	WP_223980546.1, WP_223979089.1
OG0000141	WP_096688938.1, WP_096683750.1	WP_224177421.1, WP_224174238.1, WP_223986150.1, WP_224178808.1, WP_224179460.1
OG0000142	WP_096694549.1	WP_224179608.1
OG0000142	WP_096688242.1, WP_096689360.1	WP_223973745.1
OG0000143	WP_096688298.1	WP_224175011.1
OG0000143	WP_096694296.1	WP_224178346.1
OG0000143	WP_096687005.1	WP_224177572.1
OG0000144	WP_096686932.1	WP_224179420.1
OG0000144	WP_096694464.1	WP_224177189.1
OG0000146	WP_096690433.1, WP_096694169.1	WP_224179803.1, WP_224179814.1
OG0000147	WP_096684304.1	WP_224175871.1, WP_224175877.1
OG0000147	WP_096690531.1	WP_224175811.1
OG0000147	WP_096688127.1	WP_224174050.1
OG0000148	WP_096690186.1	WP_224178314.1
OG0000148	WP_096686156.1	WP_224175623.1
OG0000148	WP_096685293.1	WP_223978113.1
OG0000149	WP_096686088.1	WP_223973608.1
OG0000149	WP_096686092.1	WP_223972789.1
OG0000150	WP_096690825.1	WP_223975705.1
OG0000151	WP_096684210.1	WP_224175967.1, WP_224175819.1, WP_224175641.1
OG0000152	WP_096687894.1, WP_096691628.1, WP_096683736.1	WP_224178959.1
OG0000153	WP_096691880.1	WP_223976657.1
OG0000153	WP_096685632.1	WP_223979267.1
OG0000154	WP_096691627.1	WP_224177132.1
OG0000155	WP_096691878.1	WP_223976651.1
OG0000156	WP_096684527.1	WP_224175397.1
OG0000156	WP_096687706.1	WP_223972618.1
OG0000156	WP_096684427.1	WP_019495073.1, WP_223972235.1
OG0000157	WP_096689024.1	WP_223986868.1
OG0000157	WP_096684132.1	WP_224176484.1, WP_223978134.1
OG0000158	WP_096685156.1	WP_223978281.1
OG0000158	WP_096694188.1	WP_223987781.1
OG0000160	WP_096692149.1	WP_224176927.1
OG0000160	WP_096694274.1	WP_224177879.1, WP_224177802.1
OG0000161	WP_096687978.1	WP_224174192.1
OG0000161	WP_096694663.1	WP_223977304.1, WP_224175808.1, WP_224179966.1
OG0000161	WP_096688503.1	WP_224179207.1
OG0000162	WP_096684301.1	WP_224179060.1, WP_224175869.1
OG0000162	WP_096694103.1, WP_096684289.1	WP_224175863.1
OG0000163	WP_096694367.1	WP_224178051.1
OG0000163	WP_096694404.1	WP_223977014.1
OG0000164	WP_096729072.1	WP_224179381.1, WP_224176177.1, WP_224175423.1
OG0000165	WP_096686290.1	WP_223972738.1
OG0000165	WP_096694699.1	WP_224175741.1
OG0000165	WP_096683991.1	WP_224179955.1
OG0000166	WP_096694454.1	WP_224175422.1, WP_224177144.1
OG0000166	WP_096690958.1	WP_224177637.1
OG0000167	WP_096694817.1	WP_224179826.1
OG0000168	WP_096691447.1, WP_096685458.1, WP_096684994.1	WP_224177664.1
OG0000168	WP_096684248.1	WP_224174996.1
OG0000169	WP_096694157.1	WP_224175008.1, WP_224178482.1
OG0000169	WP_096694353.1	WP_224174425.1
OG0000170	WP_096693948.1	WP_224179054.1, WP_223990070.1, WP_223972327.1, WP_224175531.1, WP_224177834.1, WP_224175564.1, WP_224174347.1
OG0000170	WP_096694168.1	WP_224178633.1, WP_224174614.1
OG0000172	WP_096692028.1, WP_096692030.1, WP_096692029.1	WP_224177013.1
OG0000173	WP_096691259.1	WP_224177325.1
OG0000173	WP_096692326.1, WP_096683902.1	WP_224176327.1
OG0000173	WP_096694311.1	WP_224178774.1
OG0000174	WP_096683817.1	WP_223978805.1
OG0000174	WP_096683816.1, WP_096683814.1, WP_096683815.1, WP_096683813.1	WP_223978808.1, WP_223978807.1, WP_224176071.1, WP_224176070.1
OG0000175	WP_096695237.1	WP_224180154.1
OG0000175	WP_096689361.1	WP_223973743.1
OG0000175	WP_096690939.1	WP_224176987.1
OG0000176	WP_096685993.1	WP_255666525.1
OG0000176	WP_096690127.1	WP_223988207.1
OG0000177	WP_096691333.1, WP_096684491.1	WP_224179347.1
OG0000177	WP_096694967.1	WP_224175833.1, WP_224179346.1
OG0000179	WP_096685675.1	WP_224176284.1, WP_223991183.1
OG0000179	WP_096693334.1	WP_223979635.1
OG0000179	WP_096685995.1	WP_224175259.1
OG0000180	WP_096688730.1	WP_223983820.1
OG0000180	WP_096692924.1	WP_224179717.1
OG0000181	WP_096688747.1	WP_224179563.1
OG0000181	WP_096684176.1, WP_096684740.1	WP_223978294.1
OG0000182	WP_096692793.1	WP_223990677.1
OG0000182	WP_096690854.1	WP_223975632.1
OG0000183	WP_096688267.1	WP_223972576.1
OG0000183	WP_096688378.1	WP_223973684.1
OG0000183	WP_096689000.1	WP_223986890.1
OG0000184	WP_096689329.1	WP_223990726.1, WP_224176045.1, WP_223984748.1
OG0000184	WP_096689520.1	WP_224177835.1
