Orthogroup	PCC_6303	336-3
OG0000026	WP_015196354.1	WP_035150464.1
OG0000026	WP_015200083.1	WP_035154541.1
OG0000027	WP_015197730.1	WP_035151260.1
OG0000027	WP_158333141.1	WP_035152343.1
OG0000027	WP_015197311.1	WP_035156324.1
OG0000029	WP_015197911.1	WP_052754364.1
OG0000029	WP_015197910.1	WP_046814731.1, WP_035151030.1
OG0000030	WP_015196647.1, WP_015198124.1, WP_015196590.1, WP_041741282.1, WP_041741280.1	WP_144416002.1
OG0000031	WP_015198431.1, WP_015198430.1	WP_035157544.1
OG0000032	WP_015199990.1	WP_035150481.1, WP_035154698.1, WP_035152988.1
OG0000032	WP_015196231.1	WP_035154887.1
OG0000033	WP_015198883.1	WP_082127367.1
OG0000035	WP_015200178.1	WP_035150519.1
OG0000036	WP_051036612.1	WP_046814873.1
OG0000037	WP_015195823.1	WP_035158215.1
OG0000037	WP_015200029.1	WP_035156704.1, WP_035157233.1
OG0000037	WP_015199328.1	WP_035152872.1
OG0000038	WP_015198499.1	WP_035158138.1
OG0000039	WP_015196063.1	WP_035148990.1
OG0000039	WP_015199532.1	WP_035151242.1
OG0000040	WP_015200129.1, WP_015198952.1	WP_035156937.1
OG0000041	WP_015197437.1, WP_041740060.1, WP_015196564.1	WP_035149561.1
OG0000043	WP_015197734.1	WP_035155361.1
OG0000043	WP_015196744.1	WP_035155289.1
OG0000043	WP_015197031.1	WP_035159500.1
OG0000044	WP_015196347.1	WP_035153674.1
OG0000044	WP_015199625.1	WP_035154543.1
OG0000045	WP_015196883.1, WP_041739671.1	WP_035158023.1
OG0000046	WP_041740406.1, WP_015198357.1, WP_015198118.1, WP_015197925.1	WP_238178519.1
OG0000047	WP_015198129.1	WP_035150185.1, WP_035150179.1
OG0000047	WP_015197633.1, WP_015197632.1	WP_035150177.1, WP_035150174.1
OG0000048	WP_015200396.1	WP_035151117.1
OG0000048	WP_015199467.1	WP_035150264.1
OG0000050	WP_015197840.1	WP_082127255.1, WP_035154646.1
OG0000052	WP_015196064.1	WP_035148992.1
OG0000052	WP_015199533.1	WP_035151240.1
OG0000053	WP_015197625.1	WP_035150200.1
OG0000053	WP_015198145.1	WP_035149528.1
OG0000054	WP_015196370.1	WP_035152967.1
OG0000055	WP_015198411.1	WP_035152364.1, WP_256388868.1
OG0000056	WP_015198412.1	WP_035159297.1
OG0000057	WP_015197804.1	WP_035152844.1
OG0000059	WP_015197460.1	WP_035156446.1
OG0000059	WP_015197556.1	WP_035150710.1
OG0000059	WP_015199381.1	WP_035148922.1
OG0000060	WP_015196062.1	WP_035148987.1
OG0000060	WP_015199531.1	WP_035151245.1
OG0000061	WP_015197626.1	WP_035150197.1
OG0000061	WP_015198144.1	WP_035149530.1
OG0000062	WP_015196914.1	WP_035150001.1
OG0000063	WP_015196677.1, WP_041739039.1, WP_041739042.1	WP_035153783.1
OG0000063	WP_015201037.1	WP_035153805.1
OG0000064	WP_015196831.1	WP_035154594.1
OG0000064	WP_015199341.1	WP_035156922.1
OG0000065	WP_015197988.1, WP_015196530.1, WP_015196825.1, WP_203225927.1, WP_015199290.1	WP_035157313.1
OG0000066	WP_015200817.1	WP_035149937.1, WP_035148920.1
OG0000067	WP_015197166.1	WP_238178349.1
OG0000067	WP_015200008.1	WP_035150689.1
OG0000068	WP_015200563.1	WP_035150279.1
OG0000072	WP_041740898.1	WP_035157023.1, WP_035150478.1
OG0000073	WP_051036749.1	WP_035154411.1
OG0000073	WP_015199734.1	WP_035153422.1
OG0000074	WP_015198521.1	WP_052754390.1
OG0000075	WP_015196921.1	WP_238178536.1
OG0000076	WP_015195807.1	WP_035155848.1
OG0000076	WP_015198031.1	WP_035155851.1
OG0000076	WP_015198823.1	WP_035149136.1
OG0000077	WP_015198239.1, WP_015196125.1	WP_082127475.1
OG0000078	WP_041739258.1	WP_035149954.1
OG0000078	WP_015200995.1	WP_035153264.1
OG0000079	WP_015197086.1	WP_035150669.1
OG0000080	WP_015197111.1	WP_035153239.1
OG0000080	WP_015195893.1	WP_035151153.1
OG0000081	WP_015196912.1, WP_015199405.1, WP_238993715.1	WP_035152370.1
OG0000082	WP_015200903.1	WP_201782641.1
OG0000083	WP_015199355.1, WP_015197848.1	WP_035152605.1
OG0000084	WP_015197290.1	WP_035153058.1
OG0000085	WP_015199682.1	WP_035153284.1
OG0000086	WP_015199372.1	WP_035155787.1
OG0000086	WP_015198648.1	WP_035153465.1
OG0000087	WP_015200057.1	WP_035154367.1
OG0000088	WP_015199447.1	WP_035157009.1
OG0000088	WP_015199448.1	WP_035157012.1
OG0000091	WP_015198686.1	WP_035148963.1
OG0000092	WP_041740505.1	WP_035149005.1
OG0000093	WP_015197950.1	WP_035150490.1
OG0000094	WP_203225943.1, WP_015196333.1	WP_035150681.1
OG0000095	WP_015200931.1	WP_035150985.1
OG0000096	WP_015200465.1	WP_035151000.1
OG0000096	WP_238993705.1	WP_082127304.1
OG0000097	WP_083866339.1	WP_035155760.1, WP_052754507.1, WP_035155826.1, WP_035151292.1, WP_035154381.1, WP_035159250.1
OG0000097	WP_015196789.1	WP_035155428.1
OG0000099	WP_015198863.1	WP_035153732.1
OG0000099	WP_015198939.1	WP_035158040.1
OG0000100	WP_015200841.1	WP_035153872.1
OG0000102	WP_015196135.1	WP_035155478.1
OG0000104	WP_041740832.1	WP_035156463.1
OG0000106	WP_015198497.1, WP_015197614.1	WP_046815063.1
OG0000112	WP_015196234.1, WP_015196232.1, WP_015196233.1	WP_035149060.1, WP_035149058.1, WP_046814683.1
OG0000113	WP_015199783.1	WP_035149694.1
OG0000113	WP_015197336.1	WP_035154492.1
OG0000114	WP_015198139.1	WP_035149828.1
OG0000115	WP_015200761.1	WP_035149852.1
OG0000116	WP_015197629.1	WP_035150190.1
OG0000116	WP_015199999.1	WP_035154121.1
OG0000118	WP_083866325.1	WP_082127397.1
OG0000118	WP_015199596.1	WP_035153754.1
OG0000118	WP_015196445.1, WP_015198739.1	WP_035150560.1
OG0000119	WP_015198660.1	WP_035151079.1, WP_035154725.1, WP_035154730.1, WP_035157620.1
OG0000120	WP_015196039.1, WP_015197904.1, WP_041739560.1	WP_035151973.1
OG0000122	WP_015199560.1, WP_015200608.1	WP_035152324.1, WP_035153693.1, WP_035153894.1, WP_035153886.1
OG0000123	WP_015196449.1, WP_015199804.1	WP_035152576.1
OG0000123	WP_051036692.1	WP_052754360.1
OG0000124	WP_015201112.1	WP_035153186.1
OG0000125	WP_015199397.1	WP_035153391.1
OG0000126	WP_238993838.1	WP_035154162.1
OG0000127	WP_015196097.1	WP_035158269.1
OG0000129	WP_015200409.1	WP_035158140.1
OG0000129	WP_041740961.1	WP_035155060.1
OG0000130	WP_015200971.1	WP_035155062.1
OG0000130	WP_015197523.1	WP_035156030.1
OG0000131	WP_015198605.1	WP_035155567.1
OG0000132	WP_015195803.1	WP_035156053.1
OG0000132	WP_015200886.1, WP_015199978.1, WP_041738909.1	WP_035156132.1
OG0000133	WP_015197418.1, WP_015197439.1, WP_015200415.1, WP_015200372.1	WP_035157032.1
OG0000134	WP_015197473.1, WP_015198555.1, WP_015198809.1, WP_015198768.1, WP_083866332.1, WP_015198894.1, WP_015199162.1, WP_015199468.1, WP_203225946.1, WP_015199544.1, WP_015195849.1	WP_035157104.1
OG0000136	WP_238993759.1	WP_238178468.1
OG0000136	WP_015198318.1	WP_238178469.1
OG0000137	WP_015200762.1	WP_082127243.1
OG0000143	WP_015198543.1	WP_035148954.1
OG0000144	WP_015199782.1	WP_035149691.1
OG0000144	WP_015197335.1	WP_035154490.1
OG0000145	WP_015173950.1	WP_035149857.1
OG0000145	WP_238993826.1, WP_015197049.1, WP_015198870.1, WP_015198487.1	WP_238178445.1
OG0000146	WP_238993794.1	WP_238178549.1
OG0000146	WP_083866309.1, WP_015173890.1	WP_035149977.1
OG0000147	WP_015198163.1	WP_035150325.1
OG0000148	WP_015200755.1	WP_035150527.1
OG0000149	WP_015196325.1	WP_035151196.1, WP_035151195.1
OG0000149	WP_015197110.1, WP_015196323.1	WP_035151197.1
OG0000151	WP_041739522.1	WP_238178472.1
OG0000151	WP_015197844.1, WP_238993797.1	WP_035158776.1, WP_035151648.1
OG0000152	WP_015198349.1, WP_041739409.1, WP_015196041.1	WP_035151980.1
OG0000153	WP_015200609.1, WP_015199561.1	WP_035153883.1
OG0000154	WP_015199103.1	WP_035152465.1
OG0000155	WP_015200607.1	WP_035153896.1, WP_035153694.1, WP_035158986.1
OG0000155	WP_015200606.1	WP_035153898.1, WP_035153696.1
OG0000156	WP_015197230.1	WP_035153929.1
OG0000157	WP_015198598.1	WP_035154188.1
OG0000158	WP_144051074.1	WP_035154368.1
OG0000159	WP_015196275.1	WP_256388864.1, WP_046814723.1
OG0000159	WP_015199118.1	WP_035155480.1
OG0000159	WP_015199243.1, WP_015200959.1	WP_046814686.1
OG0000159	WP_015199119.1	WP_035156635.1
OG0000160	WP_015196576.1, WP_015198772.1	WP_035156214.1
OG0000161	WP_015196630.1	WP_035156474.1
OG0000163	WP_015197191.1, WP_041739205.1	WP_035159330.1
OG0000164	WP_015197836.1, WP_015199489.1	WP_046814697.1
OG0000164	WP_015199586.1	WP_238178357.1
OG0000165	WP_015197136.1	WP_052754461.1
OG0000166	WP_015199490.1	WP_238178417.1
OG0000166	WP_015199587.1	WP_082127347.1
OG0000167	WP_041740526.1, WP_015198238.1, WP_015196124.1	WP_238178455.1, WP_238178470.1
OG0000176	WP_015199655.1	WP_035148903.1
OG0000176	WP_015200797.1	WP_035153450.1
OG0000178	WP_015198037.1, WP_015198038.1	WP_035150072.1
OG0000179	WP_015199027.1	WP_035150416.1, WP_035150414.1
OG0000180	WP_041739648.1	WP_035150451.1
OG0000180	WP_015199700.1	WP_238178533.1
OG0000181	WP_015198801.1	WP_035158135.1
OG0000181	WP_015196259.1	WP_035150568.1
OG0000182	WP_015196196.1	WP_035150570.1
OG0000182	WP_015201089.1	WP_035154485.1
OG0000183	WP_015198576.1	WP_035150723.1
OG0000184	WP_041739012.1	WP_035151238.1
OG0000186	WP_041739735.1	WP_035151527.1
OG0000187	WP_015198231.1, WP_015197905.1, WP_015196038.1, WP_015198354.1	WP_035151970.1
OG0000188	WP_015198885.1	WP_035157558.1
OG0000188	WP_015200203.1	WP_035153623.1
OG0000189	WP_255348466.1	WP_035157046.1
OG0000189	WP_015199249.1, WP_041740538.1	WP_035153785.1, WP_052754443.1
OG0000191	WP_015198591.1	WP_035156226.1
OG0000191	WP_015196424.1	WP_035154311.1
OG0000192	WP_144051088.1, WP_015196011.1	WP_035154423.1
OG0000193	WP_015200985.1	WP_035155142.1
OG0000194	WP_015200915.1, WP_015197039.1	WP_035155345.1
OG0000195	WP_015197561.1	WP_035155586.1
OG0000196	WP_015199771.1	WP_035156154.1
OG0000197	WP_238993772.1, WP_015197987.1	WP_035157311.1
OG0000198	WP_015199583.1	WP_035158024.1
OG0000200	WP_015197770.1	WP_035158413.1
OG0000201	WP_015197879.1	WP_035158762.1
OG0000201	WP_015196108.1, WP_015198330.1	WP_238178467.1
OG0000202	WP_015173891.1	WP_035159851.1
OG0000203	WP_015196574.1, WP_015197582.1, WP_015197638.1	WP_046814732.1
OG0000204	WP_015200930.1	WP_046814911.1
OG0000206	WP_015197512.1	WP_052754503.1
OG0000207	WP_015200778.1	WP_256388803.1
OG0000215	WP_015201042.1	WP_035149182.1
OG0000216	WP_015199755.1	WP_035151145.1
OG0000217	WP_015197931.1	WP_035149273.1
OG0000218	WP_015199073.1	WP_035149618.1
OG0000219	WP_015196942.1	WP_035149676.1
OG0000220	WP_015198720.1	WP_035152108.1
OG0000221	WP_015198138.1	WP_035149831.1
OG0000222	WP_015198043.1	WP_035150080.1
OG0000223	WP_015196276.1	WP_168163423.1, WP_035150289.1
OG0000224	WP_015198910.1	WP_035151005.1
OG0000224	WP_015197360.1	WP_035151093.1
OG0000225	WP_015198675.1	WP_035151227.1, WP_035151223.1
OG0000226	WP_015197722.1	WP_035151609.1
OG0000227	WP_015198071.1	WP_035151674.1, WP_046814778.1
OG0000228	WP_238993828.1, WP_015198230.1, WP_015196037.1, WP_015197906.1	WP_035151966.1
OG0000230	WP_015200505.1	WP_035152915.1
OG0000230	WP_041739698.1	WP_035158039.1
OG0000233	WP_015200155.1, WP_015196812.1, WP_015196813.1	WP_035153631.1
OG0000234	WP_015196081.1	WP_035154629.1, WP_035153684.1, WP_035154095.1
OG0000235	WP_015200428.1, WP_015200427.1, WP_015200426.1	WP_035154014.1
OG0000236	WP_015195783.1	WP_035154616.1
OG0000237	WP_015198443.1	WP_035154679.1
OG0000238	WP_041740388.1	WP_201782636.1
OG0000238	WP_015196747.1	WP_035155286.1
OG0000239	WP_015197302.1	WP_035155774.1
OG0000240	WP_015200702.1	WP_035156391.1
OG0000241	WP_015197453.1	WP_035156448.1
OG0000242	WP_015196438.1	WP_082127449.1
OG0000242	WP_015201045.1	WP_035156842.1
OG0000243	WP_015197218.1	WP_035157939.1
OG0000244	WP_238993833.1	WP_035158786.1
OG0000247	WP_015196116.1, WP_015198316.1	WP_052754421.1
OG0000248	WP_144051114.1	WP_082127248.1
OG0000262	WP_015198584.1	WP_035148910.1
OG0000263	WP_203225932.1	WP_238178537.1
OG0000264	WP_015199423.1	WP_035159156.1
OG0000264	WP_015196178.1	WP_035149072.1
OG0000265	WP_041740226.1	WP_035149199.1
OG0000266	WP_015196245.1	WP_035149508.1
OG0000267	WP_015199108.1	WP_035149731.1
OG0000268	WP_015201022.1	WP_035153383.1
OG0000268	WP_015196837.1	WP_035149836.1
OG0000269	WP_015196843.1	WP_035149841.1
OG0000270	WP_015199304.1	WP_035150782.1
OG0000271	WP_015196428.1, WP_015200472.1	WP_035149993.1
OG0000272	WP_015200473.1, WP_015196429.1	WP_035149994.1
OG0000275	WP_015196335.1	WP_035150682.1
OG0000276	WP_015198765.1	WP_035151492.1
OG0000277	WP_015200818.1	WP_035157019.1
OG0000279	WP_015197824.1	WP_035151512.1, WP_035151517.1, WP_035151071.1
OG0000280	WP_015198659.1	WP_035157622.1
OG0000281	WP_015200994.1	WP_035151107.1
OG0000282	WP_015197105.1	WP_035151131.1
OG0000283	WP_015199976.1	WP_035154578.1
OG0000283	WP_015199959.1	WP_035151403.1
OG0000284	WP_041739516.1, WP_041739563.1, WP_015196036.1	WP_035151962.1
OG0000285	WP_015197400.1	WP_035155543.1
OG0000286	WP_015196087.1, WP_238993756.1, WP_015197971.1	WP_168163444.1, WP_046814761.1, WP_035152400.1
OG0000287	WP_041739147.1	WP_035153243.1
OG0000288	WP_015200165.1	WP_035153583.1
OG0000289	WP_015201091.1	WP_035154488.1
OG0000290	WP_015196684.1	WP_035154532.1
OG0000291	WP_015198644.1	WP_035154538.1
OG0000292	WP_015198953.1	WP_035154597.1, WP_035156623.1
OG0000294	WP_015197133.1	WP_035154637.1
OG0000295	WP_015198971.1	WP_035154857.1
OG0000296	WP_015198970.1	WP_035154862.1
OG0000297	WP_015198969.1	WP_035154867.1
OG0000298	WP_015200968.1	WP_035155069.1
OG0000298	WP_015199643.1	WP_082127275.1
OG0000299	WP_015199651.1	WP_035155163.1
OG0000300	WP_015196746.1	WP_035155288.1
OG0000300	WP_015197733.1	WP_035155359.1
OG0000301	WP_015197196.1	WP_035155601.1
OG0000302	WP_015200678.1	WP_035155891.1
OG0000303	WP_015200374.1	WP_035156864.1
OG0000304	WP_015196436.1	WP_035157560.1
OG0000305	WP_015197222.1	WP_035157705.1
OG0000306	WP_015196933.1	WP_035157942.1
OG0000307	WP_015197347.1, WP_158333191.1, WP_015197463.1	WP_035158176.1
OG0000309	WP_015200806.1	WP_035158744.1
OG0000311	WP_015196006.1, WP_238993804.1, WP_255348463.1, WP_015198375.1, WP_015197986.1	WP_046814758.1
OG0000311	WP_015200896.1	WP_201782640.1
OG0000312	WP_015196798.1	WP_052754540.1
OG0000313	WP_238993704.1	WP_082127348.1
OG0000314	WP_041739626.1	WP_144416079.1
OG0000315	WP_015200721.1, WP_015196999.1	WP_201782678.1
OG0000329	WP_015200456.1, WP_015200455.1	WP_035148999.1
OG0000330	WP_041739742.1	WP_035157642.1
OG0000332	WP_015199091.1	WP_035149387.1
OG0000333	WP_015198951.1	WP_035149487.1
OG0000334	WP_015197946.1, WP_015197050.1, WP_015199663.1	WP_035149678.1
OG0000335	WP_015198467.1	WP_035154365.1
OG0000335	WP_015200270.1	WP_035149810.1
OG0000336	WP_015196901.1	WP_035150431.1
OG0000336	WP_015200303.1	WP_046814844.1
OG0000337	WP_041740217.1, WP_041740928.1	WP_035150529.1
OG0000338	WP_015198903.1	WP_052754371.1, WP_035150556.1
OG0000339	WP_015196060.1, WP_015196061.1	WP_052754346.1, WP_035150684.1, WP_238178435.1, WP_046814931.1, WP_082127228.1, WP_144415954.1, WP_238178401.1, WP_144415951.1
OG0000340	WP_015197585.1, WP_015197635.1	WP_035151049.1
OG0000341	WP_015196626.1	WP_035158963.1
OG0000344	WP_015197792.1	WP_035153038.1
OG0000344	WP_041740451.1, WP_041739566.1	WP_035151944.1
OG0000345	WP_015197975.1	WP_035151946.1
OG0000346	WP_015198235.1, WP_015198311.1, WP_015196121.1	WP_035152065.1, WP_238178454.1
OG0000347	WP_015195808.1	WP_035155854.1
OG0000347	WP_015198992.1	WP_144416049.1
OG0000347	WP_015199837.1, WP_015200628.1, WP_015199838.1	WP_035152777.1
OG0000350	WP_015198502.1	WP_035153655.1
OG0000352	WP_015199517.1	WP_035153772.1
OG0000353	WP_015195949.1	WP_035154000.1
OG0000354	WP_015200643.1	WP_035154504.1
OG0000355	WP_015197762.1	WP_035154692.1
OG0000356	WP_015199317.1	WP_035154775.1
OG0000357	WP_041740916.1	WP_035154880.1
OG0000358	WP_015196520.1	WP_035157656.1
OG0000358	WP_015200074.1	WP_035154937.1
OG0000359	WP_051036778.1	WP_035155435.1, WP_035158155.1
OG0000360	WP_015197766.1	WP_035155909.1
OG0000361	WP_015198202.1	WP_035155929.1
OG0000362	WP_015196360.1	WP_035156013.1
OG0000362	WP_015197503.1	WP_035156011.1
OG0000363	WP_015200701.1	WP_035156394.1
OG0000364	WP_015197215.1, WP_015196468.1	WP_035157026.1
OG0000365	WP_015197414.1	WP_035157393.1
OG0000365	WP_015195838.1	WP_035159127.1
OG0000366	WP_015200049.1	WP_035158055.1, WP_035158054.1
OG0000367	WP_015198824.1	WP_035158095.1
OG0000369	WP_015199662.1, WP_015197051.1	WP_035158306.1
OG0000370	WP_015197902.1, WP_015196040.1, WP_015198350.1	WP_035158677.1
OG0000372	WP_015198203.1	WP_035158896.1
OG0000373	WP_015197847.1, WP_015198073.1	WP_035159052.1
OG0000374	WP_015200141.1	WP_035159130.1
OG0000376	WP_015200821.1	WP_035159438.1
OG0000380	WP_015200570.1, WP_203225979.1, WP_015198459.1	WP_046814825.1
OG0000382	WP_015199878.1	WP_046814916.1
OG0000384	WP_015199588.1	WP_052754481.1, WP_144416053.1
OG0000385	WP_015200636.1	WP_052754505.1
OG0000387	WP_015198192.1	WP_082127229.1
OG0000388	WP_015196839.1	WP_082127242.1
OG0000408	WP_015200199.1	WP_035148869.1
OG0000410	WP_015197673.1, WP_015198865.1	WP_035149079.1
OG0000411	WP_015199867.1	WP_035158320.1, WP_035151384.1, WP_035149152.1
OG0000413	WP_015200119.1	WP_035149445.1
OG0000414	WP_015197623.1	WP_035149524.1, WP_035150205.1
OG0000415	WP_015197261.1	WP_035149538.1
OG0000416	WP_015200936.1	WP_035149656.1
OG0000416	WP_015198892.1	WP_052754569.1, WP_035158172.1
OG0000417	WP_015198933.1	WP_035149703.1
OG0000418	WP_015199123.1	WP_035149753.1
OG0000419	WP_015200763.1	WP_035149847.1, WP_046814864.1
OG0000421	WP_015200621.1	WP_035152784.1
OG0000421	WP_015197009.1	WP_035149947.1
OG0000422	WP_015198585.1, WP_015197025.1	WP_035149965.1
OG0000424	WP_015198902.1	WP_035150042.1
OG0000425	WP_015196187.1	WP_035152361.1, WP_035150065.1
OG0000425	WP_238993699.1	WP_035155231.1
OG0000426	WP_015199414.1	WP_035150944.1
OG0000427	WP_015199943.1	WP_035150351.1
OG0000428	WP_015197954.1, WP_083866298.1, WP_015200545.1	WP_035150376.1
OG0000429	WP_015198528.1	WP_035150638.1
OG0000430	WP_015198394.1	WP_035150772.1
OG0000431	WP_015198826.1	WP_035150834.1
OG0000432	WP_015199525.1	WP_035150957.1
OG0000433	WP_015197586.1	WP_035151044.1
OG0000434	WP_015197819.1, WP_015197818.1	WP_035151064.1, WP_035151501.1
OG0000435	WP_015200692.1	WP_035154672.1
OG0000436	WP_015198077.1, WP_015198158.1	WP_035151650.1
OG0000437	WP_015198237.1, WP_015196123.1	WP_035151666.1
OG0000437	WP_015198309.1	WP_046814765.1
OG0000438	WP_015195818.1	WP_035151677.1, WP_035157267.1
OG0000439	WP_015198232.1, WP_015196118.1, WP_015198314.1	WP_035152056.1
OG0000440	WP_015198313.1, WP_015196119.1, WP_015198233.1	WP_035152059.1
OG0000441	WP_015198234.1, WP_015196120.1, WP_015198312.1	WP_035152062.1
OG0000442	WP_015197853.1, WP_015198064.1	WP_035152397.1
OG0000442	WP_015198241.1	WP_035152082.1
OG0000443	WP_015198455.1	WP_035158062.1
OG0000444	WP_015200251.1	WP_035152949.1
OG0000445	WP_015196985.1, WP_041740509.1	WP_035153006.1
OG0000446	WP_238993717.1	WP_035153051.1
OG0000447	WP_015200424.1	WP_035153233.1
OG0000448	WP_041739888.1	WP_035158111.1, WP_035153357.1
OG0000449	WP_015199737.1	WP_035153429.1
OG0000450	WP_015196416.1	WP_035153724.1
OG0000451	WP_015198862.1	WP_035153734.1
OG0000452	WP_015198860.1	WP_035153737.1
OG0000453	WP_015197233.1	WP_035153933.1
OG0000454	WP_015199915.1	WP_035153924.1
OG0000454	WP_015196138.1	WP_035155465.1
OG0000455	WP_015196970.1	WP_035153980.1
OG0000458	WP_015196284.1	WP_035154037.1
OG0000459	WP_015196434.1	WP_035154110.1
OG0000460	WP_015196516.1	WP_035154203.1
OG0000461	WP_015196515.1	WP_035154206.1
OG0000462	WP_015200328.1	WP_035154211.1
OG0000463	WP_015195826.1	WP_035154404.1
OG0000464	WP_015195827.1	WP_035154407.1
OG0000465	WP_015195828.1	WP_035154409.1
OG0000466	WP_015195830.1	WP_035154413.1
OG0000467	WP_015201081.1	WP_035154473.1
OG0000468	WP_015197645.1	WP_035154554.1
OG0000469	WP_015195875.1	WP_035154566.1
OG0000470	WP_015196830.1	WP_035154595.1
OG0000471	WP_015196059.1, WP_015198363.1, WP_015197896.1, WP_015195939.1, WP_015199389.1	WP_035154623.1
OG0000472	WP_015197738.1	WP_035154663.1
OG0000473	WP_015198408.1	WP_035154823.1
OG0000474	WP_015200302.1	WP_035155037.1
OG0000474	WP_015200301.1	WP_035155043.1
OG0000475	WP_015197193.1	WP_035155390.1
OG0000476	WP_255348461.1	WP_035155391.1
OG0000477	WP_238993793.1, WP_015200253.1, WP_015200852.1, WP_015197920.1	WP_035155407.1
OG0000479	WP_041739321.1	WP_035155635.1
OG0000480	WP_015197207.1	WP_035155665.1
OG0000482	WP_015198466.1	WP_035156003.1
OG0000483	WP_041739903.1	WP_035156345.1
OG0000484	WP_015200067.1	WP_035156588.1
OG0000485	WP_015196376.1, WP_015197944.1	WP_035157290.1
OG0000486	WP_015200557.1	WP_035157784.1
OG0000487	WP_015199835.1	WP_035157850.1
OG0000488	WP_015195966.1	WP_035157988.1
OG0000489	WP_015198634.1	WP_035158015.1
OG0000490	WP_015196695.1	WP_035158079.1
OG0000491	WP_015200007.1	WP_035158124.1
OG0000492	WP_015197394.1	WP_035158799.1
OG0000493	WP_041739869.1	WP_035159065.1
OG0000494	WP_015198162.1	WP_035159108.1
OG0000495	WP_015200031.1	WP_035159514.1
OG0000497	WP_015197042.1	WP_046814816.1
OG0000497	WP_015197234.1	WP_046814808.1
OG0000498	WP_041740351.1, WP_015200238.1	WP_046814866.1
OG0000499	WP_041739480.1	WP_052754347.1
OG0000502	WP_015199975.1	WP_082127267.1
OG0000505	WP_238993750.1	WP_144416084.1, WP_201782715.1
OG0000506	WP_015200565.1	WP_168163516.1
OG0000507	WP_015197930.1	WP_238178441.1
OG0000554	WP_015199058.1	WP_008226419.1
OG0000555	WP_015196628.1	WP_035148948.1
OG0000558	WP_015199051.1	WP_035149463.1
OG0000559	WP_015199953.1	WP_035149594.1
OG0000559	WP_015173972.1	WP_035160022.1
OG0000560	WP_015197027.1	WP_035149611.1
OG0000563	WP_015199599.1	WP_035149766.1
OG0000564	WP_051036640.1, WP_015199487.1	WP_035149799.1
OG0000565	WP_015197839.1, WP_015199486.1	WP_035149802.1
OG0000566	WP_015197143.1	WP_035150649.1
OG0000567	WP_015196892.1	WP_035150155.1
OG0000568	WP_015198132.1, WP_015197630.1	WP_035150187.1
OG0000570	WP_015198065.1, WP_015197852.1	WP_035150492.1, WP_144416014.1
OG0000571	WP_015199203.1	WP_035151249.1, WP_082127345.1, WP_035150548.1
OG0000572	WP_015198142.1, WP_015197909.1, WP_015197907.1	WP_035150622.1
OG0000573	WP_015196648.1, WP_015199813.1	WP_035150656.1
