Orthogroup	PCC_6303	PCC_7716
OG0000010	WP_015199648.1	WP_224179683.1
OG0000012	WP_015200439.1	WP_224178707.1, WP_224175090.1
OG0000012	WP_015200231.1	WP_224178764.1, WP_223981015.1
OG0000014	WP_015200405.1	WP_224177340.1
OG0000014	WP_015199250.1	WP_224174473.1
OG0000014	WP_015200537.1	WP_224177143.1, WP_223987736.1
OG0000016	WP_015198501.1	WP_224179691.1
OG0000016	WP_015199431.1	WP_223972021.1, WP_223973158.1
OG0000016	WP_015196780.1	WP_073624137.1
OG0000017	WP_015195951.1	WP_223974161.1
OG0000017	WP_015196930.1	WP_223978338.1
OG0000018	WP_015198913.1	WP_224177415.1
OG0000018	WP_015199223.1	WP_224176031.1
OG0000018	WP_238993839.1	WP_223978299.1, WP_224176526.1, WP_223974056.1, WP_224177274.1
OG0000019	WP_015197299.1	WP_224176689.1, WP_224178911.1, WP_224178766.1, WP_224176469.1, WP_223987281.1
OG0000020	WP_015173915.1	WP_224176405.1
OG0000020	WP_015198096.1	WP_223973082.1, WP_224178468.1, WP_224175399.1
OG0000022	WP_238993725.1	WP_224177161.1
OG0000022	WP_015197771.1	WP_224176488.1, WP_223987490.1, WP_223987492.1, WP_224177818.1, WP_223987485.1, WP_224177813.1, WP_224175883.1
OG0000022	WP_041739801.1	WP_223973380.1
OG0000023	WP_015198146.1	WP_224178875.1, WP_224176333.1, WP_224179071.1, WP_224176487.1
OG0000024	WP_015199117.1, WP_015199112.1	WP_224179039.1
OG0000024	WP_015199114.1, WP_015199116.1, WP_015199115.1	WP_224176218.1
OG0000024	WP_015200452.1, WP_041739807.1	WP_224179033.1
OG0000025	WP_015197074.1	WP_223987500.1
OG0000025	WP_015198548.1	WP_224174281.1, WP_224174279.1, WP_223985174.1, WP_224177582.1
OG0000026	WP_015196354.1	WP_223988249.1, WP_127080584.1, WP_019495472.1, WP_224180391.1
OG0000026	WP_015200083.1	WP_223972639.1, WP_224175050.1
OG0000027	WP_158333141.1	WP_224179256.1
OG0000027	WP_015197311.1	WP_224179961.1, WP_224175791.1, WP_223989462.1, WP_224179521.1
OG0000028	WP_015199894.1	WP_224177556.1
OG0000028	WP_041740272.1	WP_223978362.1
OG0000029	WP_015197910.1	WP_224174365.1
OG0000029	WP_015197913.1	WP_224174203.1
OG0000030	WP_015196647.1, WP_015198124.1	WP_224177621.1, WP_224177613.1, WP_224177612.1, WP_224178064.1
OG0000030	WP_015196590.1	WP_223984123.1
OG0000030	WP_041741282.1, WP_041741280.1	WP_223984088.1, WP_223978659.1, WP_224177476.1
OG0000031	WP_015198432.1	WP_224175116.1, WP_224179100.1
OG0000031	WP_015198431.1, WP_015198430.1	WP_224176862.1
OG0000032	WP_015199990.1	WP_223972372.1, WP_224180152.1, WP_223972362.1, WP_224180315.1
OG0000032	WP_015196231.1	WP_223978974.1
OG0000032	WP_015199992.1, WP_015199991.1	WP_223972373.1
OG0000033	WP_015198883.1	WP_224178067.1, WP_224178066.1
OG0000034	WP_015197024.1, WP_015198586.1, WP_015198472.1, WP_051036718.1	WP_224178055.1, WP_224178054.1, WP_224178996.1
OG0000034	WP_015197662.1, WP_015199305.1	WP_224174596.1, WP_224177860.1
OG0000034	WP_015197064.1	WP_224179334.1, WP_224179682.1
OG0000035	WP_015200178.1	WP_223973602.1, WP_223984083.1, WP_224180316.1
OG0000036	WP_051036612.1	WP_224174534.1, WP_224177828.1, WP_224176348.1
OG0000036	WP_015198344.1	WP_224177112.1
OG0000037	WP_015195823.1	WP_019493593.1
OG0000037	WP_015199328.1	WP_223985796.1
OG0000038	WP_015199428.1	WP_224175281.1
OG0000039	WP_015198426.1	WP_224175118.1, WP_224175353.1, WP_224176861.1
OG0000039	WP_015196063.1	WP_224179284.1
OG0000039	WP_015199532.1	WP_224176511.1, WP_224180453.1
OG0000040	WP_015200129.1, WP_015198952.1	WP_224177333.1, WP_224174214.1, WP_224176770.1, WP_223978159.1
OG0000041	WP_015197437.1	WP_223986883.1
OG0000041	WP_041740060.1	WP_224176201.1
OG0000041	WP_015196564.1	WP_223987336.1, WP_224176197.1
OG0000043	WP_015197734.1	WP_223985707.1
OG0000043	WP_015196744.1	WP_223976582.1
OG0000043	WP_015197499.1	WP_224179378.1
OG0000043	WP_015197031.1	WP_223978913.1
OG0000044	WP_015196347.1	WP_224178868.1
OG0000044	WP_015196348.1	WP_224178869.1
OG0000045	WP_015196883.1	WP_224177902.1
OG0000046	WP_041740406.1, WP_015198357.1, WP_015198118.1, WP_015197925.1	WP_224179680.1, WP_224179195.1, WP_224180166.1, WP_224174471.1, WP_224174600.1, WP_224178994.1, WP_224175698.1, WP_224174367.1, WP_224174860.1, WP_224178995.1
OG0000048	WP_015200396.1	WP_223972807.1
OG0000048	WP_015199467.1	WP_223970995.1
OG0000050	WP_015196687.1	WP_223973274.1
OG0000050	WP_015197840.1	WP_224174019.1, WP_224179192.1, WP_224179191.1, WP_224176612.1
OG0000051	WP_015197709.1	WP_223976248.1, WP_223985370.1, WP_224175559.1
OG0000052	WP_015196064.1	WP_224179285.1
OG0000052	WP_015198425.1	WP_224175119.1, WP_223990866.1, WP_224175352.1
OG0000052	WP_015199533.1	WP_224180451.1, WP_224176512.1
OG0000053	WP_015197625.1	WP_224176746.1, WP_224179512.1
OG0000053	WP_015198145.1	WP_224179072.1, WP_223977488.1
OG0000054	WP_015196370.1	WP_224175154.1
OG0000055	WP_015198411.1	WP_224177700.1, WP_224176828.1, WP_223987626.1, WP_223990968.1, WP_223974899.1, WP_224175268.1
OG0000056	WP_015198412.1	WP_224174715.1
OG0000057	WP_015197804.1	WP_224178369.1
OG0000059	WP_015197460.1	WP_223989517.1
OG0000059	WP_015197556.1	WP_224176570.1
OG0000059	WP_015199381.1	WP_224176885.1
OG0000060	WP_015196062.1	WP_223987941.1
OG0000060	WP_015199531.1	WP_223977619.1, WP_224180454.1
OG0000061	WP_015198144.1	WP_223977489.1, WP_224179073.1
OG0000062	WP_015196914.1	WP_223978795.1, WP_224175373.1, WP_224178787.1, WP_224177064.1
OG0000063	WP_015196677.1, WP_041739039.1, WP_041739042.1	WP_224175528.1, WP_224174000.1
OG0000063	WP_015201037.1	WP_224180312.1
OG0000064	WP_015196831.1	WP_224179577.1, WP_223988239.1
OG0000064	WP_015199341.1	WP_223989889.1
OG0000066	WP_015200817.1	WP_224178892.1, WP_224177895.1, WP_224178603.1, WP_224177916.1, WP_224179075.1, WP_224175774.1, WP_223984583.1
OG0000067	WP_015200008.1	WP_223986199.1
OG0000068	WP_015200563.1	WP_224177622.1
OG0000071	WP_015199683.1	WP_224176095.1
OG0000072	WP_041740898.1	WP_224178894.1, WP_223991267.1, WP_223982518.1
OG0000073	WP_051036749.1	WP_223973153.1
OG0000073	WP_015199734.1	WP_223975079.1
OG0000074	WP_015198521.1	WP_224177449.1
OG0000074	WP_015199104.1, WP_015199210.1	WP_224176515.1, WP_223976764.1, WP_224179084.1
OG0000075	WP_015196921.1	WP_224176039.1, WP_223975819.1
OG0000076	WP_015195807.1	WP_224177218.1
OG0000076	WP_015198823.1	WP_224178317.1
OG0000077	WP_015198239.1, WP_015196125.1	WP_224174245.1
OG0000078	WP_041739258.1	WP_223978242.1
OG0000078	WP_015200995.1	WP_073618247.1
OG0000079	WP_015197086.1	WP_223975674.1
OG0000080	WP_015197111.1	WP_224177215.1
OG0000080	WP_015195893.1	WP_224176454.1
OG0000081	WP_015196912.1, WP_015199405.1, WP_238993715.1	WP_224176478.1
OG0000082	WP_015200903.1	WP_224176905.1
OG0000083	WP_015199355.1, WP_015197848.1	WP_224174917.1, WP_224175350.1
OG0000084	WP_015197290.1	WP_223990658.1
OG0000085	WP_015199682.1	WP_223985058.1, WP_223980781.1
OG0000086	WP_015199372.1	WP_223972605.1
OG0000086	WP_015198648.1	WP_224178819.1
OG0000087	WP_015200057.1	WP_223987779.1
OG0000087	WP_015199201.1	WP_223980055.1
OG0000088	WP_015199447.1	WP_127086126.1
OG0000088	WP_015199448.1	WP_019488911.1
OG0000089	WP_015196823.1	WP_224177972.1
OG0000090	WP_015199296.1	WP_224174128.1, WP_223990187.1, WP_223990189.1, WP_224176832.1, WP_223975758.1, WP_224177531.1
OG0000090	WP_015196407.1	WP_223976423.1
OG0000091	WP_015198686.1	WP_224175232.1
OG0000091	WP_015198310.1, WP_015196122.1, WP_015198236.1	WP_224175655.1
OG0000092	WP_041740505.1	WP_223974178.1, WP_224175795.1
OG0000093	WP_015197076.1, WP_041740455.1	WP_224180193.1, WP_224180196.1, WP_224177824.1
OG0000093	WP_015197950.1	WP_224174556.1, WP_224174558.1
OG0000094	WP_015196333.1	WP_224174217.1, WP_224179016.1
OG0000094	WP_015196332.1	WP_223973546.1, WP_224179019.1, WP_224177473.1, WP_224179017.1
OG0000095	WP_015197782.1	WP_224179257.1
OG0000096	WP_015198851.1	WP_224177118.1
OG0000096	WP_015200465.1, WP_238993705.1	WP_224176947.1
OG0000097	WP_083866339.1	WP_224175129.1
OG0000099	WP_015198863.1	WP_019492617.1
OG0000099	WP_015198939.1	WP_223977250.1
OG0000100	WP_015200841.1	WP_224176183.1, WP_224176805.1, WP_224177308.1, WP_224179511.1
OG0000101	WP_015199432.1	WP_223973253.1
OG0000102	WP_238993751.1	WP_223970695.1
OG0000104	WP_041740832.1	WP_224177397.1
OG0000105	WP_015197704.1	WP_224180423.1, WP_224180138.1, WP_224175069.1, WP_224175896.1
OG0000106	WP_015198497.1, WP_015197614.1	WP_223972896.1
OG0000108	WP_158333194.1, WP_255348468.1, WP_015173893.1	WP_224180297.1
OG0000110	WP_015198213.1	WP_224178270.1, WP_224178269.1, WP_224178363.1, WP_224178283.1, WP_224178268.1, WP_224178280.1
OG0000111	WP_015200538.1, WP_015197754.1	WP_224173962.1, WP_224177005.1, WP_224178777.1, WP_224174891.1
OG0000113	WP_015199783.1	WP_223985252.1
OG0000113	WP_015197336.1	WP_224177188.1
OG0000114	WP_015200575.1	WP_224175480.1
OG0000114	WP_015197256.1	WP_224175581.1
OG0000115	WP_015200761.1	WP_224175980.1
OG0000116	WP_015198131.1	WP_224179067.1
OG0000116	WP_015199999.1	WP_224177328.1
OG0000118	WP_083866325.1, WP_015199596.1	WP_224177062.1
OG0000119	WP_015198660.1	WP_224175102.1, WP_224179173.1, WP_224174225.1
OG0000120	WP_015196039.1, WP_015197904.1	WP_224175693.1, WP_224175925.1, WP_224178961.1, WP_224174935.1, WP_224174936.1, WP_224180050.1
OG0000121	WP_041740528.1	WP_223980800.1
OG0000122	WP_015199560.1, WP_015200608.1	WP_223979269.1, WP_224179665.1, WP_223976655.1
OG0000123	WP_015199804.1	WP_224177833.1
OG0000123	WP_051036692.1	WP_224179025.1
OG0000124	WP_015201112.1	WP_223989773.1
OG0000124	WP_015199614.1	WP_223972536.1
OG0000125	WP_015199397.1	WP_224179105.1
OG0000126	WP_238993838.1	WP_224175147.1, WP_224179720.1, WP_223978658.1
OG0000127	WP_015196097.1	WP_224174855.1, WP_224176632.1, WP_223977360.1
OG0000128	WP_015199198.1	WP_223980068.1
OG0000128	WP_015200441.1	WP_223986483.1
OG0000129	WP_015200409.1	WP_224174658.1
OG0000129	WP_041740961.1	WP_223990056.1
OG0000130	WP_015200971.1	WP_223990054.1
OG0000130	WP_015197523.1	WP_127080712.1
OG0000131	WP_015199430.1	WP_224175283.1
OG0000131	WP_015198605.1	WP_224175463.1
OG0000132	WP_015195803.1	WP_223976445.1
OG0000132	WP_041738909.1	WP_224176839.1
OG0000133	WP_015197418.1, WP_015197439.1, WP_015200415.1, WP_015200372.1	WP_224180444.1
OG0000136	WP_238993759.1	WP_224179835.1
OG0000136	WP_015198318.1	WP_224179669.1
OG0000137	WP_015200762.1	WP_223978632.1
OG0000138	WP_015198478.1, WP_015198565.1	WP_224174542.1
OG0000139	WP_015196198.1	WP_224177268.1
OG0000139	WP_015200667.1	WP_224180515.1
OG0000140	WP_015195985.1	WP_224179048.1, WP_224174084.1
OG0000141	WP_015201121.1	WP_223980546.1, WP_223979089.1, WP_224177421.1, WP_224174238.1, WP_223986150.1, WP_224178808.1, WP_224179460.1
OG0000142	WP_015201126.1	WP_224179608.1
OG0000143	WP_015198543.1	WP_224175011.1
OG0000144	WP_015199782.1	WP_224179420.1
OG0000144	WP_015197335.1	WP_224177189.1
OG0000145	WP_015197932.1	WP_224177704.1
OG0000145	WP_238993826.1, WP_015197049.1, WP_015198870.1, WP_015198487.1	WP_224174977.1, WP_224175706.1, WP_224174308.1, WP_224174305.1, WP_224178096.1
OG0000146	WP_238993794.1	WP_224174149.1, WP_224180122.1
OG0000146	WP_083866309.1, WP_015173890.1	WP_224179803.1, WP_224179814.1
OG0000147	WP_015198163.1	WP_224175871.1, WP_224175877.1, WP_224175811.1, WP_224174050.1
OG0000148	WP_015196322.1	WP_224178314.1
OG0000148	WP_015200755.1	WP_223978113.1
OG0000149	WP_015196325.1	WP_224176792.1, WP_223973608.1
OG0000149	WP_015197110.1, WP_015196323.1	WP_223972789.1
OG0000150	WP_015197533.1	WP_223975705.1
OG0000151	WP_015197844.1, WP_238993797.1	WP_224175641.1
OG0000152	WP_041739409.1, WP_015196041.1	WP_224178959.1
OG0000153	WP_015200609.1, WP_015199561.1	WP_223976657.1
OG0000154	WP_083866301.1	WP_224176244.1
OG0000154	WP_015199103.1	WP_224177132.1
OG0000155	WP_015200607.1	WP_223976653.1
OG0000155	WP_015200606.1	WP_223976651.1
OG0000156	WP_015197230.1	WP_019495073.1, WP_223972235.1
OG0000157	WP_015198598.1	WP_223986868.1
OG0000158	WP_051036585.1	WP_223978281.1
OG0000158	WP_144051074.1	WP_223987781.1
OG0000159	WP_015199118.1, WP_015199243.1, WP_015200959.1, WP_015199119.1	WP_224175416.1
OG0000160	WP_015196576.1	WP_224177879.1, WP_224177802.1
OG0000161	WP_015196630.1	WP_224179207.1
OG0000163	WP_015197191.1	WP_224178051.1
OG0000163	WP_041739205.1	WP_223977014.1
OG0000164	WP_015197836.1	WP_224176177.1
OG0000164	WP_015199489.1	WP_224175423.1
OG0000164	WP_015199586.1	WP_224177636.1
OG0000165	WP_015197136.1	WP_224179955.1
OG0000166	WP_015199490.1	WP_224175422.1
OG0000166	WP_015199587.1	WP_224177637.1
OG0000167	WP_041740526.1, WP_015198238.1, WP_015196124.1	WP_224175653.1, WP_224179826.1, WP_224180248.1
OG0000168	WP_015197073.1	WP_224174996.1
OG0000172	WP_015200567.1, WP_015197326.1, WP_015199202.1	WP_224177013.1
OG0000173	WP_015199548.1	WP_224177325.1
OG0000175	WP_015173961.1	WP_224180154.1, WP_223973743.1, WP_224180343.1, WP_224176987.1
OG0000176	WP_015199655.1	WP_255666525.1
OG0000176	WP_015200797.1	WP_223988207.1
OG0000179	WP_015199027.1	WP_224176284.1, WP_223991183.1, WP_223979635.1, WP_224175259.1
OG0000180	WP_041739648.1	WP_223983820.1
OG0000180	WP_015199700.1	WP_224179717.1
OG0000181	WP_015198801.1	WP_224179563.1
OG0000181	WP_015196259.1	WP_223978294.1
OG0000182	WP_015196196.1	WP_223990677.1
OG0000182	WP_015201089.1	WP_223975632.1
OG0000183	WP_015198576.1	WP_223973684.1
OG0000184	WP_015198441.1	WP_223990726.1
OG0000184	WP_041739012.1	WP_224177835.1
OG0000186	WP_041739735.1	WP_224177014.1
OG0000187	WP_015198231.1, WP_015197905.1, WP_015196038.1, WP_015198354.1	WP_224175694.1, WP_224175924.1, WP_224178962.1
OG0000188	WP_015198885.1	WP_223975012.1
OG0000188	WP_015200203.1	WP_223991283.1
OG0000189	WP_255348466.1	WP_224180311.1
OG0000189	WP_015199249.1, WP_041740538.1	WP_223986132.1
OG0000191	WP_015198591.1	WP_223990842.1
OG0000191	WP_015196424.1	WP_224179498.1
OG0000192	WP_144051088.1	WP_224179601.1, WP_224179700.1, WP_224179629.1
OG0000192	WP_015196011.1	WP_224177060.1, WP_224174070.1, WP_224180233.1, WP_224176981.1, WP_223971455.1
OG0000194	WP_015200915.1	WP_224177277.1, WP_224178910.1
OG0000194	WP_015197039.1	WP_224179628.1
OG0000195	WP_015197561.1	WP_223978868.1
OG0000196	WP_015199771.1	WP_224178073.1
OG0000197	WP_238993772.1	WP_224177011.1
OG0000198	WP_015199583.1	WP_223976255.1, WP_223989373.1
OG0000200	WP_015197770.1	WP_223978775.1
OG0000201	WP_015197879.1	WP_224175942.1
OG0000201	WP_015196108.1, WP_015198330.1	WP_224175675.1, WP_224180223.1
OG0000202	WP_015173891.1	WP_224175589.1
OG0000203	WP_015196574.1	WP_224176841.1, WP_224177401.1, WP_223977804.1
OG0000203	WP_015197582.1	WP_224174661.1
OG0000204	WP_015200930.1	WP_223990833.1, WP_224179259.1, WP_224179258.1
OG0000206	WP_015197512.1	WP_224179167.1, WP_224179166.1, WP_224179168.1
OG0000207	WP_015200778.1	WP_224178960.1, WP_224175683.1
OG0000208	WP_238993788.1	WP_224175887.1
OG0000209	WP_015197705.1	WP_224179333.1
OG0000210	WP_015196642.1	WP_224176921.1, WP_224177855.1, WP_224177949.1, WP_224179248.1
OG0000211	WP_015201124.1	WP_223979095.1, WP_223983714.1, WP_224174647.1
OG0000213	WP_015196881.1	WP_224176762.1, WP_223975731.1, WP_223976356.1, WP_224176441.1, WP_223976355.1, WP_223991246.1
OG0000214	WP_015197886.1	WP_224176102.1, WP_224176089.1, WP_224179936.1, WP_224174530.1, WP_224175647.1, WP_224175934.1, WP_224180095.1
OG0000215	WP_015201042.1	WP_223977116.1
OG0000217	WP_015197931.1	WP_223985893.1
OG0000218	WP_015199073.1	WP_224177823.1, WP_223973926.1, WP_224179049.1
OG0000219	WP_015196942.1	WP_224178325.1
OG0000219	WP_015199637.1	WP_223981939.1
OG0000220	WP_015198720.1	WP_223987025.1
OG0000221	WP_015198138.1, WP_015198123.1, WP_015197921.1, WP_015200573.1	WP_224175479.1
OG0000222	WP_015198043.1	WP_223990522.1
OG0000224	WP_015198910.1	WP_223971838.1
OG0000224	WP_015197360.1	WP_224176243.1, WP_223979255.1
OG0000225	WP_015198675.1	WP_224177438.1, WP_223976806.1
OG0000226	WP_015197722.1	WP_224179534.1
OG0000227	WP_015198071.1	WP_223989948.1, WP_224179020.1, WP_223990385.1
OG0000228	WP_238993828.1, WP_015198230.1, WP_015196037.1, WP_015197906.1	WP_224175688.1, WP_224175919.1, WP_224178964.1
OG0000230	WP_015200505.1, WP_041739698.1	WP_224176329.1, WP_223979898.1
OG0000233	WP_015200155.1, WP_015196812.1	WP_223975317.1
OG0000233	WP_015196813.1	WP_223975319.1
OG0000234	WP_015196081.1	WP_224180522.1, WP_224177104.1, WP_224176699.1
OG0000235	WP_015200428.1, WP_015200427.1, WP_015200426.1	WP_223989321.1
OG0000236	WP_015199832.1	WP_224180495.1, WP_223973888.1
OG0000236	WP_015195783.1	WP_223975137.1
OG0000237	WP_015198443.1	WP_223979947.1, WP_223990711.1, WP_224178705.1, WP_223990713.1, WP_224179570.1
OG0000238	WP_041740388.1	WP_223986124.1
OG0000238	WP_015196747.1	WP_223976586.1
OG0000239	WP_015197302.1	WP_223983681.1
OG0000240	WP_015200702.1	WP_223973627.1
OG0000240	WP_015198806.1	WP_127081350.1
OG0000242	WP_015196438.1	WP_224176848.1
OG0000242	WP_015201045.1	WP_223987035.1
OG0000243	WP_015197218.1	WP_223981437.1
OG0000244	WP_238993833.1	WP_019495095.1, WP_224179673.1, WP_224180131.1
OG0000247	WP_015196116.1, WP_015198316.1	WP_224175661.1, WP_224179834.1, WP_224180240.1
OG0000248	WP_144051114.1	WP_224174036.1, WP_224176919.1
OG0000249	WP_015199127.1	WP_224177004.1
OG0000250	WP_015200496.1	WP_223982203.1, WP_224179975.1, WP_224175748.1, WP_224179971.1
OG0000251	WP_041739174.1	WP_224178428.1
OG0000252	WP_015199186.1, WP_015196091.1	WP_224180103.1, WP_223978372.1, WP_224174990.1, WP_224174382.1
OG0000253	WP_015196364.1	WP_224174401.1, WP_223978326.1, WP_224175432.1, WP_224178367.1
OG0000254	WP_015200040.1	WP_255667733.1, WP_224179880.1, WP_224174327.1, WP_224176575.1
OG0000256	WP_015198201.1	WP_224175759.1, WP_224179987.1, WP_224179674.1, WP_224175746.1, WP_224179985.1
OG0000257	WP_144051167.1	WP_224180439.1, WP_224180464.1, WP_224180501.1
OG0000259	WP_015196640.1	WP_224177117.1
OG0000262	WP_015198584.1	WP_224175260.1
OG0000263	WP_203225932.1	WP_223978256.1
OG0000264	WP_015199423.1	WP_224177046.1
OG0000264	WP_015196178.1	WP_224177988.1
OG0000265	WP_041740226.1	WP_223987342.1
OG0000266	WP_015196245.1	WP_223989798.1
OG0000266	WP_015198949.1	WP_223990295.1
OG0000267	WP_015197466.1	WP_223983846.1
OG0000267	WP_015199108.1	WP_224179041.1
OG0000268	WP_015201022.1	WP_224179114.1, WP_224180115.1
OG0000269	WP_015196843.1	WP_223977721.1
OG0000270	WP_015199304.1	WP_223989688.1
OG0000271	WP_015196428.1	WP_224178107.1
OG0000272	WP_015200473.1	WP_223985650.1
OG0000272	WP_015196429.1	WP_255667702.1
OG0000273	WP_015198206.1	WP_224175743.1
OG0000274	WP_015198205.1	WP_224175744.1
OG0000275	WP_015196335.1	WP_224175762.1, WP_223970817.1, WP_224175135.1, WP_255666798.1, WP_224179013.1, WP_224174218.1, WP_224179014.1
OG0000276	WP_015198765.1	WP_223986147.1
OG0000277	WP_015200818.1	WP_224178685.1
OG0000279	WP_015197824.1	WP_223971235.1, WP_224179164.1
OG0000280	WP_015198659.1	WP_223970897.1
OG0000281	WP_015200994.1	WP_224173941.1
OG0000282	WP_015197105.1	WP_019489143.1, WP_127082743.1
OG0000283	WP_015199976.1	WP_223970687.1
OG0000283	WP_015199959.1	WP_224177671.1
OG0000284	WP_041739516.1, WP_041739563.1, WP_015196036.1	WP_127085653.1, WP_224179671.1, WP_224178950.1, WP_224175929.1
OG0000285	WP_015197400.1	WP_224174816.1
OG0000286	WP_015196087.1, WP_238993756.1, WP_015197971.1	WP_224174351.1, WP_224178955.1, WP_224175860.1
OG0000287	WP_041739147.1	WP_224175096.1, WP_223980676.1, WP_224177378.1, WP_224178099.1
OG0000288	WP_015200165.1	WP_224175173.1
OG0000289	WP_015201091.1	WP_223975620.1
OG0000289	WP_015197726.1	WP_223987872.1
OG0000290	WP_015196684.1	WP_224175334.1
OG0000291	WP_015198644.1	WP_127079227.1, WP_223977871.1
OG0000292	WP_015198953.1	WP_224179255.1, WP_224176941.1
OG0000294	WP_015197133.1	WP_224178035.1
OG0000295	WP_015198971.1	WP_224177022.1
OG0000296	WP_015198970.1	WP_223980095.1
OG0000297	WP_015198969.1	WP_223980093.1
OG0000298	WP_015200968.1	WP_224176357.1
OG0000298	WP_015199643.1	WP_224177953.1
OG0000299	WP_015199651.1	WP_223973758.1, WP_224175092.1, WP_223986137.1
OG0000300	WP_015196746.1	WP_224177493.1
OG0000300	WP_015197733.1	WP_223991197.1
OG0000301	WP_015197195.1	WP_224177361.1
OG0000301	WP_015197196.1	WP_223977016.1
OG0000302	WP_015200678.1	WP_223985821.1
OG0000303	WP_015200374.1	WP_019492657.1
OG0000304	WP_041739778.1	WP_224179396.1
OG0000304	WP_015196436.1	WP_223986091.1
OG0000305	WP_015197222.1	WP_223983133.1
OG0000306	WP_015196933.1	WP_223990005.1
OG0000307	WP_015197347.1	WP_223975188.1
OG0000307	WP_158333191.1, WP_015197463.1	WP_224175378.1
OG0000308	WP_015199239.1	WP_223978141.1
OG0000309	WP_015200806.1	WP_224175723.1
OG0000312	WP_015196797.1	WP_224174285.1, WP_223973524.1
OG0000312	WP_015196798.1	WP_224174287.1, WP_224180019.1
OG0000313	WP_238993704.1	WP_224177020.1
OG0000314	WP_041739626.1	WP_224175201.1
OG0000315	WP_015200721.1	WP_224177739.1
OG0000315	WP_015196999.1	WP_224176198.1, WP_223985550.1
OG0000318	WP_015199859.1	WP_223970057.1, WP_223984285.1, WP_224179725.1
OG0000320	WP_015199781.1, WP_015201059.1	WP_224176608.1, WP_224175443.1
OG0000321	WP_015198089.1, WP_015198170.1	WP_224178976.1, WP_224174886.1, WP_224174888.1, WP_224180075.1, WP_224175716.1
OG0000322	WP_015198199.1	WP_224175765.1, WP_224179973.1, WP_224175760.1, WP_224179984.1
OG0000323	WP_015198819.1	WP_224177593.1, WP_223989447.1, WP_224175629.1
OG0000324	WP_015196096.1	WP_224174985.1
OG0000325	WP_015198125.1, WP_015197918.1	WP_223976463.1
OG0000328	WP_015196408.1	WP_223976425.1
OG0000329	WP_015200456.1, WP_015200455.1	WP_224179681.1, WP_223977342.1
OG0000330	WP_041739742.1	WP_224176581.1
OG0000332	WP_015199091.1	WP_223989487.1
OG0000333	WP_015198951.1	WP_224175093.1
OG0000334	WP_015197946.1, WP_015197050.1, WP_015199663.1	WP_224175273.1, WP_224179416.1
OG0000335	WP_015198467.1	WP_223975435.1
OG0000335	WP_015200270.1	WP_224174096.1
OG0000336	WP_015196901.1	WP_223985712.1
OG0000336	WP_015200303.1	WP_223974063.1
OG0000337	WP_041740217.1	WP_224178315.1
OG0000337	WP_041740928.1	WP_224175513.1
OG0000338	WP_015198903.1	WP_224178157.1, WP_224175917.1
OG0000340	WP_015197585.1	WP_223971596.1
OG0000340	WP_015197635.1	WP_223971566.1
OG0000342	WP_015197830.1	WP_223981962.1
OG0000343	WP_015199011.1	WP_223990620.1
OG0000344	WP_015197792.1	WP_224175258.1
OG0000345	WP_015197975.1	WP_224175858.1
OG0000345	WP_015198150.1, WP_015198358.1, WP_015197926.1, WP_015198117.1	WP_224175914.1
