HOG	OG	Gene Tree Parent Clade	336-3	NIES-267	NIES-3974	NIES-4071	NIES-4105	PCC_6303	PCC_7716
N1.HOG0000082	OG0000009	n40		WP_096656848.1					
N1.HOG0000083	OG0000009	n43		WP_096655273.1					
N1.HOG0000084	OG0000010	n1	WP_035150339.1	WP_096660681.1					
N1.HOG0000085	OG0000010	n11	WP_035155110.1, WP_035153061.1	WP_096659315.1					
N1.HOG0000086	OG0000010	n18	WP_082127354.1	WP_096661061.1					
N1.HOG0000087	OG0000010	n20		WP_096659319.1, WP_096660859.1					
N1.HOG0000088	OG0000010	n23	WP_052754407.1	WP_096653373.1					
N1.HOG0000089	OG0000010	n26	WP_035149406.1, WP_052754355.1	WP_096656159.1					
N1.HOG0000090	OG0000010	n31	WP_035150851.1						
N1.HOG0000091	OG0000010	n33	WP_035150991.1	WP_096658974.1					
N1.HOG0000092	OG0000010	n37	WP_052754502.1	WP_096656913.1					
N1.HOG0000093	OG0000010	n39	WP_035149688.1	WP_096652684.1					
N1.HOG0000094	OG0000010	n42	WP_082127333.1						
N1.HOG0000095	OG0000011	n1	WP_035154402.1	WP_096657359.1					
N1.HOG0000096	OG0000011	n7	WP_035153748.1						
N1.HOG0000097	OG0000011	n20		WP_096660861.1					
N1.HOG0000098	OG0000011	n26	WP_035153825.1	WP_096657163.1					
N1.HOG0000099	OG0000011	n33	WP_035157966.1						
N1.HOG0000100	OG0000012	n1	WP_046814699.1	WP_096657315.1					
N1.HOG0000101	OG0000012	n26		WP_096655830.1					
N1.HOG0000102	OG0000012	n31		WP_096652222.1					
N1.HOG0000103	OG0000013	n2	WP_035151573.1						
N1.HOG0000104	OG0000013	n8	WP_035157878.1						
N1.HOG0000105	OG0000014	n1	WP_035157382.1	WP_096654934.1					
N1.HOG0000106	OG0000014	n10	WP_035155322.1	WP_096654920.1					
N1.HOG0000107	OG0000014	n14	WP_035153779.1						
N1.HOG0000108	OG0000014	n20		WP_096655768.1					
N1.HOG0000109	OG0000014	n23		WP_096660526.1					
N1.HOG0000110	OG0000014	n29	WP_035153641.1						
N1.HOG0000111	OG0000015	n0		WP_096653436.1, WP_096653434.1, WP_096653432.1					
N1.HOG0000112	OG0000016	n2	WP_035158136.1	WP_096660242.1, WP_096654944.1					
N1.HOG0000113	OG0000016	n10		WP_096657937.1					
N1.HOG0000114	OG0000016	n18	WP_035153714.1	WP_096657815.1					
N1.HOG0000115	OG0000016	n24		WP_096660979.1, WP_096657239.1					
N1.HOG0000116	OG0000016	n28	WP_082127290.1	WP_096654031.1					
N1.HOG0000117	OG0000017	n1	WP_035153749.1	WP_096660654.1					
N1.HOG0000118	OG0000017	n13	WP_035157968.1						
N1.HOG0000119	OG0000017	n18	WP_035154401.1						
N1.HOG0000120	OG0000017	n21	WP_035153827.1	WP_096657162.1					
N1.HOG0000121	OG0000017	n28		WP_096657739.1					
N1.HOG0000122	OG0000018	n1		WP_096652185.1					
N1.HOG0000123	OG0000018	n7	WP_035151257.1						
N1.HOG0000124	OG0000018	n29		WP_096660491.1					
N1.HOG0000125	OG0000019	n3		WP_096656731.1					
N1.HOG0000126	OG0000019	n6		WP_096656732.1					
N1.HOG0000127	OG0000019	n26		WP_096661294.1					
N1.HOG0000128	OG0000020	n1		WP_096660831.1					
N1.HOG0000129	OG0000020	n11	WP_035156973.1						
N1.HOG0000130	OG0000021	n1		WP_096657174.1					
N1.HOG0000131	OG0000021	n10		WP_096655388.1					
N1.HOG0000132	OG0000021	n25		WP_096656633.1					
N1.HOG0000133	OG0000021	n27		WP_096653646.1, WP_096658553.1					
N1.HOG0000134	OG0000022	n1	WP_052754520.1	WP_096659691.1					
N1.HOG0000135	OG0000022	n21	WP_238178450.1	WP_096661102.1					
N1.HOG0000136	OG0000022	n26		WP_096661103.1, WP_096661123.1					
N1.HOG0000137	OG0000023	n4	WP_035150202.1						
N1.HOG0000138	OG0000023	n10		WP_096660121.1					
N1.HOG0000139	OG0000023	n17		WP_096661107.1, WP_096660108.1					
N1.HOG0000140	OG0000023	n20	WP_201782628.1	WP_096660125.1					
N1.HOG0000141	OG0000024	n1	WP_035149722.1						
N1.HOG0000142	OG0000024	n11	WP_052754361.1						
N1.HOG0000143	OG0000024	n12	WP_035149720.1						
N1.HOG0000144	OG0000024	n13	WP_046814777.1, WP_046814696.1						
N1.HOG0000145	OG0000024	n19	WP_035155824.1, WP_035154163.1, WP_035158174.1, WP_035154450.1, WP_035152505.1, WP_046814677.1	WP_096657601.1, WP_096657196.1					
N1.HOG0000146	OG0000025	n3	WP_035155892.1						
N1.HOG0000147	OG0000025	n7	WP_082127234.1						
N1.HOG0000148	OG0000025	n10	WP_035159890.1, WP_035157445.1						
N1.HOG0000149	OG0000025	n15	WP_035156425.1	WP_096658512.1, WP_096660093.1					
N1.HOG0000150	OG0000025	n20		WP_096661432.1					
N1.HOG0000151	OG0000025	n21	WP_052754528.1						
N1.HOG0000152	OG0000025	n23	WP_035158127.1						
N1.HOG0000153	OG0000025	n25	WP_035157448.1	WP_096657986.1					
N1.HOG0000154	OG0000026	n1	WP_035150464.1	WP_096661719.1, WP_096652347.1					
N1.HOG0000155	OG0000026	n15		WP_096656912.1					
N1.HOG0000156	OG0000026	n23		WP_096658606.1					
N1.HOG0000157	OG0000026	n25		WP_096658601.1					
N1.HOG0000158	OG0000027	n1		WP_096658131.1					
N1.HOG0000159	OG0000027	n5	WP_035151260.1						
N1.HOG0000160	OG0000027	n7	WP_035152343.1						
N1.HOG0000161	OG0000027	n13	WP_035156324.1, WP_035149120.1	WP_096658132.1, WP_096661239.1					
N1.HOG0000162	OG0000028	n2		WP_096656440.1					
N1.HOG0000163	OG0000028	n7	WP_035149761.1	WP_096652741.1					
N1.HOG0000164	OG0000028	n17	WP_035153572.1	WP_096660026.1					
N1.HOG0000165	OG0000029	n3	WP_052754364.1	WP_096653813.1					
N1.HOG0000166	OG0000029	n7	WP_035153906.1						
N1.HOG0000167	OG0000029	n13		WP_096657389.1, WP_096657391.1					
N1.HOG0000168	OG0000029	n16	WP_046814731.1, WP_035151030.1	WP_096656774.1, WP_096656773.1					
N1.HOG0000169	OG0000029	n21		WP_096653809.1					
N1.HOG0000170	OG0000029	n22		WP_096653801.1					
N1.HOG0000171	OG0000030	n1	WP_144415998.1						
N1.HOG0000172	OG0000030	n2	WP_144416002.1						
N1.HOG0000173	OG0000031	n7		WP_096652469.1					
N1.HOG0000174	OG0000031	n10		WP_096661178.1, WP_096660766.1					
N1.HOG0000175	OG0000031	n14		WP_096652420.1					
N1.HOG0000176	OG0000031	n20	WP_035157544.1	WP_096658172.1					
N1.HOG0000177	OG0000032	n1	WP_035150481.1, WP_035154698.1, WP_035152988.1	WP_096659363.1					
N1.HOG0000178	OG0000032	n15	WP_035154887.1	WP_096658447.1					
N1.HOG0000179	OG0000033	n1		WP_096652729.1					
N1.HOG0000180	OG0000033	n9	WP_082127367.1						
N1.HOG0000181	OG0000033	n17		WP_096658556.1, WP_096657134.1					
N1.HOG0000182	OG0000033	n19		WP_096657665.1					
N1.HOG0000183	OG0000033	n23		WP_096657667.1, WP_096657666.1					
N1.HOG0000184	OG0000033	n25		WP_096659679.1					
N1.HOG0000185	OG0000034	n0		WP_096656433.1					
N1.HOG0000186	OG0000035	n1	WP_035156698.1	WP_096655613.1					
N1.HOG0000187	OG0000035	n7	WP_035150519.1	WP_096653492.1					
N1.HOG0000188	OG0000036	n1	WP_046814873.1	WP_096661436.1					
N1.HOG0000189	OG0000036	n12		WP_096661437.1					
N1.HOG0000190	OG0000036	n13		WP_096661197.1, WP_096657399.1					
N1.HOG0000191	OG0000037	n5	WP_035154651.1						
N1.HOG0000192	OG0000037	n8	WP_035158215.1						
N1.HOG0000193	OG0000037	n13	WP_035156704.1, WP_035157233.1						
N1.HOG0000194	OG0000037	n17	WP_144415991.1	WP_096655735.1					
N1.HOG0000195	OG0000037	n18	WP_035152872.1	WP_096660173.1					
N1.HOG0000196	OG0000038	n1		WP_096657945.1					
N1.HOG0000197	OG0000038	n18		WP_096654948.1					
N1.HOG0000198	OG0000038	n21		WP_096660240.1					
N1.HOG0000199	OG0000039	n1		WP_096652473.1					
N1.HOG0000200	OG0000039	n11	WP_035148990.1						
N1.HOG0000201	OG0000039	n15	WP_035151242.1	WP_096661485.1					
N1.HOG0000202	OG0000040	n1	WP_035149235.1						
N1.HOG0000203	OG0000040	n2	WP_035156937.1						
N1.HOG0000204	OG0000041	n0	WP_035149561.1	WP_096656191.1, WP_096653546.1					
N1.HOG0000205	OG0000042	n1		WP_096655919.1					
N1.HOG0000206	OG0000042	n14	WP_035159927.1						
N1.HOG0000207	OG0000042	n17	WP_238178558.1	WP_096655773.1					
N1.HOG0000208	OG0000042	n18	WP_035150760.1	WP_096657061.1					
N1.HOG0000209	OG0000043	n2	WP_035155361.1						
N1.HOG0000210	OG0000043	n8	WP_035155289.1						
N1.HOG0000211	OG0000043	n13	WP_035152572.1, WP_035159500.1						
N1.HOG0000212	OG0000044	n1	WP_035153674.1	WP_096660060.1					
N1.HOG0000213	OG0000044	n13	WP_035154543.1	WP_096658177.1, WP_096657442.1, WP_096658299.1, WP_096659889.1, WP_096658176.1					
N1.HOG0000214	OG0000044	n19		WP_096661316.1					
N1.HOG0000215	OG0000045	n0	WP_035158023.1	WP_096657107.1					
N1.HOG0000216	OG0000046	n0	WP_238178519.1	WP_096657189.1, WP_096657220.1, WP_096657376.1					
N1.HOG0000217	OG0000047	n1	WP_035150185.1, WP_035150179.1	WP_096659956.1					
N1.HOG0000218	OG0000047	n5	WP_035150182.1						
N1.HOG0000219	OG0000047	n7	WP_035150177.1, WP_035150174.1						
N1.HOG0000220	OG0000048	n1	WP_035151117.1	WP_096660895.1					
N1.HOG0000221	OG0000048	n9	WP_035150264.1	WP_096661291.1					
N1.HOG0000222	OG0000048	n15	WP_046814715.1						
N1.HOG0000223	OG0000049	n1	WP_046814807.1	WP_096659840.1					
N1.HOG0000224	OG0000049	n7	WP_035150949.1	WP_096659131.1					
N1.HOG0000225	OG0000049	n10	WP_168163493.1	WP_096658206.1					
N1.HOG0000226	OG0000049	n17		WP_096655684.1					
N1.HOG0000227	OG0000049	n18		WP_096660950.1					
N1.HOG0000228	OG0000050	n1		WP_096661052.1					
N1.HOG0000229	OG0000050	n6	WP_082127255.1, WP_035154646.1	WP_096657974.1					
N1.HOG0000230	OG0000051	n1		WP_096653108.1, WP_096653110.1, WP_096657423.1					
N1.HOG0000231	OG0000051	n8	WP_035156582.1	WP_096660648.1					
N1.HOG0000232	OG0000052	n1	WP_035148992.1	WP_096652475.1					
N1.HOG0000233	OG0000052	n13	WP_035151240.1	WP_096661483.1					
N1.HOG0000234	OG0000053	n1	WP_035150200.1	WP_096660120.1, WP_096656011.1, WP_096660107.1					
N1.HOG0000235	OG0000053	n15	WP_035149528.1						
N1.HOG0000236	OG0000054	n6		WP_096653164.1					
N1.HOG0000237	OG0000054	n8	WP_035151456.1	WP_096654013.1					
N1.HOG0000238	OG0000054	n10	WP_035152967.1	WP_096659976.1					
N1.HOG0000239	OG0000055	n0	WP_035152364.1, WP_256388868.1						
N1.HOG0000240	OG0000056	n1	WP_035152367.1						
N1.HOG0000241	OG0000056	n4	WP_035159297.1						
N1.HOG0000242	OG0000057	n1	WP_052754395.1	WP_096659434.1					
N1.HOG0000243	OG0000057	n11		WP_096661694.1, WP_096657599.1					
N1.HOG0000244	OG0000057	n14	WP_035152844.1	WP_096658936.1					
N1.HOG0000245	OG0000057	n19		WP_096656851.1					
N1.HOG0000246	OG0000058	n0		WP_096652668.1, WP_096652672.1, WP_096656317.1, WP_096653367.1, WP_096653357.1, WP_096654007.1, WP_096656494.1, WP_096653452.1, WP_096654685.1, WP_096656498.1, WP_096654938.1, WP_096655622.1, WP_096657111.1, WP_096656492.1, WP_096656491.1, WP_096656495.1, WP_096656496.1, WP_096656497.1, WP_096656037.1, WP_096656493.1, WP_096658156.1					
N1.HOG0000247	OG0000059	n1	WP_035156446.1	WP_096658123.1					
N1.HOG0000248	OG0000059	n8	WP_035150710.1	WP_096654212.1					
N1.HOG0000249	OG0000059	n14	WP_035148922.1	WP_096656432.1					
N1.HOG0000250	OG0000060	n1	WP_035149321.1	WP_096652471.1					
N1.HOG0000251	OG0000060	n8	WP_035148987.1						
N1.HOG0000252	OG0000060	n12	WP_035151245.1	WP_096661486.1					
N1.HOG0000253	OG0000061	n2	WP_035150197.1						
N1.HOG0000254	OG0000061	n6		WP_096660118.1					
N1.HOG0000255	OG0000061	n10		WP_096656010.1, WP_096660106.1					
N1.HOG0000256	OG0000061	n14	WP_035149530.1						
N1.HOG0000257	OG0000062	n0	WP_035150001.1	WP_096655439.1					
N1.HOG0000258	OG0000063	n1	WP_035153783.1	WP_096659607.1, WP_096654627.1, WP_096654625.1					
N1.HOG0000259	OG0000063	n14	WP_035153805.1						
N1.HOG0000260	OG0000064	n1	WP_035154594.1	WP_096659195.1					
N1.HOG0000261	OG0000064	n8	WP_035156922.1	WP_096658398.1					
N1.HOG0000262	OG0000065	n0	WP_035157313.1	WP_096656802.1					
N1.HOG0000263	OG0000066	n2	WP_035149937.1, WP_035148920.1	WP_096657598.1					
N1.HOG0000264	OG0000066	n11		WP_096658161.1					
N1.HOG0000265	OG0000066	n17		WP_096661192.1					
N1.HOG0000266	OG0000067	n2	WP_035150688.1	WP_096653265.1					
N1.HOG0000267	OG0000067	n9	WP_052754487.1, WP_035149708.1	WP_096655480.1					
N1.HOG0000268	OG0000067	n11	WP_238178349.1	WP_096656459.1					
N1.HOG0000269	OG0000067	n13	WP_035150689.1	WP_096653285.1					
N1.HOG0000270	OG0000068	n1	WP_035153600.1	WP_096657151.1, WP_096658603.1					
N1.HOG0000271	OG0000068	n8	WP_035150279.1						
N1.HOG0000272	OG0000069	n1	WP_035152728.1	WP_096658881.1					
N1.HOG0000273	OG0000069	n4		WP_096658869.1					
N1.HOG0000274	OG0000069	n6		WP_096658843.1					
N1.HOG0000275	OG0000069	n10		WP_096661035.1					
N1.HOG0000276	OG0000070	n1		WP_096655478.1					
N1.HOG0000277	OG0000070	n5		WP_096655151.1					
N1.HOG0000278	OG0000070	n16		WP_096655153.1					
N1.HOG0000279	OG0000071	n1		WP_096658062.1					
N1.HOG0000280	OG0000071	n6		WP_096659081.1					
N1.HOG0000281	OG0000072	n0	WP_035157023.1, WP_035150478.1	WP_096660182.1					
N1.HOG0000282	OG0000073	n1	WP_035154411.1	WP_096655875.1, WP_096655868.1					
N1.HOG0000283	OG0000073	n10	WP_035153422.1	WP_096660052.1					
N1.HOG0000284	OG0000073	n16	WP_035154226.1						
N1.HOG0000285	OG0000074	n1	WP_052754390.1	WP_096660868.1, WP_096661319.1, WP_096659818.1, WP_096659820.1, WP_096653517.1					
N1.HOG0000286	OG0000074	n9		WP_096659822.1, WP_096659509.1					
N1.HOG0000287	OG0000075	n6		WP_096655940.1					
N1.HOG0000288	OG0000075	n10		WP_096659751.1					
N1.HOG0000289	OG0000075	n11		WP_096658281.1					
N1.HOG0000290	OG0000076	n2	WP_035155848.1	WP_096653932.1					
N1.HOG0000291	OG0000076	n8	WP_035155851.1						
N1.HOG0000292	OG0000076	n9	WP_035149136.1	WP_096653664.1, WP_096653660.1, WP_096653662.1, WP_096656854.1					
N1.HOG0000293	OG0000077	n3	WP_035149506.1						
N1.HOG0000294	OG0000077	n7		WP_096657418.1					
N1.HOG0000295	OG0000077	n9		WP_096661511.1					
N1.HOG0000296	OG0000077	n11	WP_082127475.1	WP_096657286.1					
N1.HOG0000297	OG0000078	n1	WP_035149954.1	WP_096656165.1					
N1.HOG0000298	OG0000078	n7	WP_035153264.1	WP_096660375.1					
N1.HOG0000299	OG0000079	n1	WP_035150669.1	WP_096655917.1					
N1.HOG0000300	OG0000079	n8		WP_096657592.1					
N1.HOG0000301	OG0000079	n12		WP_096657496.1					
N1.HOG0000302	OG0000080	n1	WP_035153239.1	WP_096656443.1					
N1.HOG0000303	OG0000080	n6	WP_035154658.1						
N1.HOG0000304	OG0000080	n13	WP_035151153.1						
N1.HOG0000305	OG0000081	n1	WP_035151461.1						
N1.HOG0000306	OG0000081	n3	WP_035152370.1	WP_096661563.1					
N1.HOG0000307	OG0000082	n1	WP_201782641.1	WP_096656422.1					
N1.HOG0000308	OG0000082	n8		WP_096656662.1					
N1.HOG0000309	OG0000082	n13	WP_035152238.1	WP_096654111.1					
N1.HOG0000310	OG0000083	n1	WP_035152605.1	WP_096659747.1					
N1.HOG0000311	OG0000083	n12	WP_082127363.1	WP_096658331.1					
N1.HOG0000312	OG0000083	n14		WP_096652340.1					
N1.HOG0000313	OG0000084	n2	WP_035153058.1						
N1.HOG0000314	OG0000084	n8	WP_035157763.1						
N1.HOG0000315	OG0000084	n16	WP_035157520.1						
N1.HOG0000316	OG0000085	n0	WP_035153284.1	WP_096656789.1					
N1.HOG0000317	OG0000086	n1	WP_035155787.1	WP_096652877.1					
N1.HOG0000318	OG0000086	n8	WP_052754418.1						
N1.HOG0000319	OG0000086	n11	WP_035153465.1	WP_096658312.1					
N1.HOG0000320	OG0000087	n1	WP_035154367.1	WP_096654478.1					
N1.HOG0000321	OG0000087	n7		WP_096655577.1, WP_096657150.1, WP_096657129.1					
N1.HOG0000322	OG0000088	n1	WP_035157009.1	WP_096660002.1, WP_096660000.1					
N1.HOG0000323	OG0000088	n8		WP_096659185.1					
N1.HOG0000324	OG0000088	n11	WP_035157012.1	WP_096660004.1					
N1.HOG0000325	OG0000089	n1		WP_096660027.1					
N1.HOG0000326	OG0000089	n6		WP_096661166.1					
N1.HOG0000327	OG0000091	n2	WP_035148963.1	WP_096655404.1					
N1.HOG0000328	OG0000091	n9		WP_096657534.1, WP_096658671.1, WP_096657289.1					
N1.HOG0000329	OG0000091	n15		WP_096661523.1					
N1.HOG0000330	OG0000092	n0	WP_035149005.1	WP_096657568.1					
N1.HOG0000331	OG0000093	n1		WP_096653106.1, WP_096659853.1, WP_096661655.1, WP_096657440.1, WP_096659047.1					
N1.HOG0000332	OG0000093	n13	WP_035150490.1						
N1.HOG0000333	OG0000094	n1	WP_035150681.1	WP_096657013.1					
N1.HOG0000334	OG0000094	n9		WP_096657014.1					
N1.HOG0000335	OG0000094	n14		WP_096652739.1					
N1.HOG0000336	OG0000095	n1	WP_035150985.1	WP_096656284.1					
N1.HOG0000337	OG0000095	n7		WP_096660205.1					
N1.HOG0000338	OG0000095	n10		WP_096660174.1, WP_096656614.1					
N1.HOG0000339	OG0000096	n10		WP_096658202.1					
N1.HOG0000340	OG0000096	n14	WP_035151000.1						
N1.HOG0000341	OG0000096	n15	WP_082127304.1						
N1.HOG0000342	OG0000097	n1	WP_035155760.1, WP_052754507.1, WP_035155826.1, WP_035151292.1, WP_035154381.1, WP_035159250.1	WP_096659786.1					
N1.HOG0000343	OG0000097	n12	WP_035151589.1, WP_035155428.1						
N1.HOG0000344	OG0000098	n0	WP_035151405.1	WP_096655601.1, WP_096655602.1, WP_096655600.1					
N1.HOG0000345	OG0000099	n1	WP_035153732.1	WP_096660421.1					
N1.HOG0000346	OG0000099	n7	WP_035158040.1	WP_096652393.1					
N1.HOG0000347	OG0000100	n2	WP_035155005.1						
N1.HOG0000348	OG0000100	n5	WP_035153872.1						
N1.HOG0000349	OG0000101	n1	WP_035154607.1	WP_096655900.1					
N1.HOG0000350	OG0000101	n3	WP_035154609.1						
N1.HOG0000351	OG0000101	n9		WP_096655901.1					
N1.HOG0000352	OG0000102	n3	WP_035155478.1	WP_096658540.1, WP_096658550.1, WP_096658539.1, WP_096658583.1, WP_096658581.1, WP_096658547.1, WP_096658546.1					
N1.HOG0000353	OG0000102	n12		WP_096658580.1					
N1.HOG0000354	OG0000102	n15		WP_096658557.1					
N1.HOG0000355	OG0000103	n5		WP_096656066.1					
N1.HOG0000356	OG0000103	n6		WP_096655482.1, WP_096655698.1					
N1.HOG0000357	OG0000104	n0	WP_035156463.1	WP_096654343.1					
N1.HOG0000358	OG0000105	n1	WP_035157647.1	WP_096655117.1, WP_096656775.1, WP_096653807.1, WP_096657047.1					
N1.HOG0000359	OG0000105	n6		WP_096653405.1, WP_096661183.1					
N1.HOG0000360	OG0000106	n0	WP_046815063.1	WP_096652533.1					
N1.HOG0000361	OG0000107	n0	WP_052754568.1						
N1.HOG0000362	OG0000108	n1	WP_238178553.1	WP_096661661.1					
N1.HOG0000363	OG0000108	n5		WP_096661443.1, WP_096661621.1, WP_096661427.1					
N1.HOG0000364	OG0000109	n1		WP_096656210.1					
N1.HOG0000365	OG0000109	n4		WP_096659978.1, WP_096660658.1					
N1.HOG0000366	OG0000109	n7		WP_096660517.1, WP_096655663.1					
N1.HOG0000367	OG0000109	n9		WP_096656371.1					
N1.HOG0000368	OG0000109	n12		WP_096658300.1, WP_096653140.1, WP_096653211.1, WP_096653138.1					
N1.HOG0000369	OG0000110	n6		WP_096657255.1					
N1.HOG0000370	OG0000110	n8		WP_096654101.1, WP_096654067.1					
N1.HOG0000371	OG0000110	n12		WP_096657262.1, WP_096657263.1, WP_096657261.1, WP_096657264.1					
N1.HOG0000372	OG0000112	n0	WP_035149060.1, WP_035149058.1, WP_046814683.1						
N1.HOG0000373	OG0000113	n1	WP_035149694.1	WP_096656098.1					
N1.HOG0000374	OG0000113	n7	WP_035154492.1	WP_096657737.1, WP_096658278.1, WP_096660841.1					
N1.HOG0000375	OG0000114	n1	WP_035149828.1	WP_096653982.1					
N1.HOG0000376	OG0000114	n4		WP_096653446.1					
N1.HOG0000377	OG0000114	n13		WP_096657392.1, WP_096661410.1					
N1.HOG0000378	OG0000115	n1	WP_144415962.1	WP_096653484.1, WP_096658839.1					
N1.HOG0000379	OG0000115	n9	WP_035149852.1						
N1.HOG0000380	OG0000116	n1	WP_035150190.1						
N1.HOG0000381	OG0000116	n9	WP_035154121.1	WP_096659345.1					
N1.HOG0000382	OG0000117	n0	WP_035150309.1	WP_096661474.1, WP_096657746.1, WP_096659171.1					
N1.HOG0000383	OG0000118	n8	WP_082127397.1						
N1.HOG0000384	OG0000118	n9	WP_035153754.1						
N1.HOG0000385	OG0000118	n10	WP_035150560.1	WP_096652879.1					
