HOG	OG	Gene Tree Parent Clade	336-3	NIES-267	NIES-3974	NIES-4071	NIES-4105	PCC_6303	PCC_7716
N5.HOG0000086	OG0000007	n9				WP_096686951.1	WP_096686951.1		
N5.HOG0000087	OG0000007	n10				WP_096692008.1	WP_096692008.1		
N5.HOG0000088	OG0000007	n12				WP_096689422.1	WP_096689422.1		
N5.HOG0000089	OG0000007	n16				WP_096684672.1	WP_096684672.1		
N5.HOG0000090	OG0000007	n23				WP_096685975.1	WP_096685975.1		
N5.HOG0000091	OG0000007	n24				WP_096684018.1	WP_096684018.1		
N5.HOG0000092	OG0000007	n25				WP_096686176.1	WP_096686176.1		
N5.HOG0000093	OG0000007	n27				WP_096692203.1	WP_096692203.1		
N5.HOG0000094	OG0000007	n32				WP_096689501.1	WP_096689501.1		
N5.HOG0000095	OG0000007	n35				WP_096686146.1	WP_096686146.1		
N5.HOG0000096	OG0000007	n40				WP_096694206.1	WP_096694206.1		
N5.HOG0000097	OG0000007	n43				WP_096692192.1	WP_096692192.1		
N5.HOG0000098	OG0000007	n44				WP_096691919.1	WP_096691919.1		
N5.HOG0000099	OG0000008	n2				WP_096689183.1	WP_096689183.1		
N5.HOG0000100	OG0000008	n21				WP_096686702.1	WP_096686702.1		
N5.HOG0000101	OG0000008	n22				WP_096691783.1	WP_096691783.1		
N5.HOG0000102	OG0000008	n28				WP_096691039.1	WP_096691039.1		
N5.HOG0000103	OG0000008	n34				WP_096692911.1	WP_096692911.1		
N5.HOG0000104	OG0000008	n35				WP_096692912.1	WP_096692912.1		
N5.HOG0000105	OG0000008	n41				WP_096688693.1	WP_096688693.1		
N5.HOG0000106	OG0000008	n42				WP_096688683.1	WP_096688683.1		
N5.HOG0000107	OG0000009	n3				WP_096688202.1	WP_096688202.1		
N5.HOG0000108	OG0000009	n8				WP_096688203.1	WP_096688203.1		
N5.HOG0000109	OG0000009	n14				WP_096689823.1	WP_096689823.1		
N5.HOG0000110	OG0000009	n15				WP_096694298.1	WP_096694298.1		
N5.HOG0000111	OG0000009	n19				WP_096689785.1	WP_096689785.1		
N5.HOG0000112	OG0000009	n35				WP_096694550.1	WP_096694550.1		
N5.HOG0000113	OG0000009	n37				WP_096685165.1	WP_096685165.1		
N5.HOG0000114	OG0000009	n40				WP_096688208.1	WP_096688208.1		
N5.HOG0000115	OG0000009	n43				WP_096689492.1	WP_096689492.1		
N5.HOG0000116	OG0000010	n1				WP_096692129.1	WP_096692129.1		
N5.HOG0000117	OG0000010	n32				WP_096689933.1	WP_096689933.1		
N5.HOG0000118	OG0000011	n1				WP_096686164.1	WP_096686164.1		
N5.HOG0000119	OG0000011	n8				WP_096691772.1	WP_096691772.1		
N5.HOG0000120	OG0000011	n12				WP_096692042.1	WP_096692042.1		
N5.HOG0000121	OG0000011	n14				WP_096688605.1	WP_096688605.1		
N5.HOG0000122	OG0000011	n18				WP_096684252.1	WP_096684252.1		
N5.HOG0000123	OG0000011	n20				WP_096692402.1	WP_096692402.1		
N5.HOG0000124	OG0000011	n30				WP_096686129.1	WP_096686129.1		
N5.HOG0000125	OG0000011	n31				WP_096685800.1	WP_096685800.1		
N5.HOG0000126	OG0000011	n34				WP_096687837.1	WP_096687837.1		
N5.HOG0000127	OG0000011	n39				WP_096683929.1	WP_096683929.1		
N5.HOG0000128	OG0000011	n41				WP_096690206.1	WP_096690206.1		
N5.HOG0000129	OG0000011	n42				WP_096694373.1	WP_096694373.1		
N5.HOG0000130	OG0000012	n2				WP_096689097.1	WP_096689097.1		
N5.HOG0000131	OG0000012	n4				WP_096686306.1	WP_096686306.1		
N5.HOG0000132	OG0000012	n16				WP_096693399.1	WP_096693399.1		
N5.HOG0000133	OG0000012	n18				WP_096691075.1	WP_096691075.1		
N5.HOG0000134	OG0000012	n21				WP_096684837.1	WP_096684837.1		
N5.HOG0000135	OG0000012	n23				WP_096691452.1	WP_096691452.1		
N5.HOG0000136	OG0000012	n26				WP_096691685.1	WP_096691685.1		
N5.HOG0000137	OG0000012	n32				WP_096692276.1	WP_096692276.1		
N5.HOG0000138	OG0000012	n36				WP_096690930.1	WP_096690930.1		
N5.HOG0000139	OG0000012	n38				WP_096692866.1	WP_096692866.1		
N5.HOG0000140	OG0000013	n3				WP_096690359.1	WP_096690359.1		
N5.HOG0000141	OG0000013	n5				WP_096688618.1	WP_096688618.1		
N5.HOG0000142	OG0000013	n10				WP_096688603.1	WP_096688603.1		
N5.HOG0000143	OG0000013	n14				WP_096684600.1	WP_096684600.1		
N5.HOG0000144	OG0000013	n15				WP_096684867.1	WP_096684867.1		
N5.HOG0000145	OG0000013	n19				WP_096688279.1	WP_096688279.1		
N5.HOG0000146	OG0000013	n21				WP_096688278.1	WP_096688278.1		
N5.HOG0000147	OG0000013	n23				WP_096688280.1	WP_096688280.1		
N5.HOG0000148	OG0000013	n28				WP_096689643.1	WP_096689643.1		
N5.HOG0000149	OG0000013	n30				WP_096687407.1	WP_096687407.1		
N5.HOG0000150	OG0000013	n33				WP_096688657.1	WP_096688657.1		
N5.HOG0000151	OG0000014	n1				WP_096691235.1	WP_096691235.1		
N5.HOG0000152	OG0000014	n10				WP_096686410.1	WP_096686410.1		
N5.HOG0000153	OG0000014	n14				WP_096686394.1	WP_096686394.1		
N5.HOG0000154	OG0000014	n23				WP_096688443.1	WP_096688443.1		
N5.HOG0000155	OG0000014	n29				WP_096688150.1	WP_096688150.1		
N5.HOG0000156	OG0000015	n4				WP_096684727.1	WP_096684727.1		
N5.HOG0000157	OG0000015	n8				WP_096684729.1	WP_096684729.1		
N5.HOG0000158	OG0000015	n9				WP_096684731.1	WP_096684731.1		
N5.HOG0000159	OG0000015	n14				WP_096690481.1	WP_096690481.1		
N5.HOG0000160	OG0000015	n18				WP_096692766.1	WP_096692766.1		
N5.HOG0000161	OG0000015	n20				WP_096683728.1	WP_096683728.1		
N5.HOG0000162	OG0000015	n26				WP_096694254.1	WP_096694254.1		
N5.HOG0000163	OG0000015	n27				WP_096694872.1	WP_096694872.1		
N5.HOG0000164	OG0000016	n6				WP_096686993.1	WP_096686993.1		
N5.HOG0000165	OG0000016	n7				WP_096693706.1	WP_096693706.1		
N5.HOG0000166	OG0000016	n10				WP_096685008.1	WP_096685008.1		
N5.HOG0000167	OG0000016	n18				WP_096686371.1	WP_096686371.1		
N5.HOG0000168	OG0000016	n24				WP_096684976.1	WP_096684976.1		
N5.HOG0000169	OG0000016	n28				WP_096694139.1	WP_096694139.1		
N5.HOG0000170	OG0000017	n2				WP_096690249.1	WP_096690249.1		
N5.HOG0000171	OG0000017	n9				WP_096688606.1	WP_096688606.1		
N5.HOG0000172	OG0000017	n13				WP_096687838.1	WP_096687838.1		
N5.HOG0000173	OG0000017	n18				WP_096684251.1	WP_096684251.1		
N5.HOG0000174	OG0000017	n26				WP_096686127.1	WP_096686127.1		
N5.HOG0000175	OG0000017	n27				WP_096685802.1	WP_096685802.1		
N5.HOG0000176	OG0000017	n29				WP_096684130.1	WP_096684130.1		
N5.HOG0000177	OG0000017	n30				WP_096687569.1	WP_096687569.1		
N5.HOG0000178	OG0000018	n1				WP_096691938.1	WP_096691938.1		
N5.HOG0000179	OG0000018	n13				WP_096694074.1	WP_096694074.1		
N5.HOG0000180	OG0000018	n19				WP_096693862.1	WP_096693862.1		
N5.HOG0000181	OG0000018	n22				WP_096691355.1	WP_096691355.1		
N5.HOG0000182	OG0000018	n25				WP_096684086.1	WP_096684086.1		
N5.HOG0000183	OG0000018	n26				WP_096684774.1	WP_096684774.1		
N5.HOG0000184	OG0000018	n27				WP_096690829.1	WP_096690829.1		
N5.HOG0000185	OG0000018	n29				WP_096691016.1	WP_096691016.1		
N5.HOG0000186	OG0000019	n3				WP_096691522.1	WP_096691522.1		
N5.HOG0000187	OG0000019	n11				WP_096683961.1	WP_096683961.1		
N5.HOG0000188	OG0000019	n12				WP_096684364.1	WP_096684364.1		
N5.HOG0000189	OG0000019	n15				WP_096683944.1	WP_096683944.1		
N5.HOG0000190	OG0000019	n18				WP_096692214.1	WP_096692214.1		
N5.HOG0000191	OG0000019	n22				WP_096690012.1	WP_096690012.1		
N5.HOG0000192	OG0000019	n23				WP_096693074.1	WP_096693074.1		
N5.HOG0000193	OG0000019	n24				WP_096694258.1	WP_096694258.1		
N5.HOG0000194	OG0000019	n28				WP_096684432.1	WP_096684432.1		
N5.HOG0000195	OG0000019	n30				WP_096684403.1	WP_096684403.1		
N5.HOG0000196	OG0000020	n8				WP_096686005.1	WP_096686005.1		
N5.HOG0000197	OG0000020	n16				WP_096688467.1	WP_096688467.1		
N5.HOG0000198	OG0000020	n18				WP_096690925.1	WP_096690925.1		
N5.HOG0000199	OG0000020	n19				WP_096684220.1	WP_096684220.1		
N5.HOG0000200	OG0000020	n23				WP_096692263.1	WP_096692263.1		
N5.HOG0000201	OG0000020	n24				WP_096693397.1	WP_096693397.1		
N5.HOG0000202	OG0000020	n25				WP_096691508.1	WP_096691508.1		
N5.HOG0000203	OG0000020	n28				WP_096689208.1, WP_096729119.1	WP_096689208.1		
N5.HOG0000204	OG0000021	n3				WP_096685147.1	WP_096685147.1		
N5.HOG0000205	OG0000021	n14				WP_096688523.1	WP_096688523.1		
N5.HOG0000206	OG0000021	n15				WP_096685084.1	WP_096685084.1		
N5.HOG0000207	OG0000021	n19				WP_096683812.1	WP_096683812.1		
N5.HOG0000208	OG0000021	n20				WP_096684070.1	WP_096684070.1		
N5.HOG0000209	OG0000021	n23				WP_096685699.1	WP_096685699.1		
N5.HOG0000210	OG0000021	n24				WP_096685701.1	WP_096685701.1		
N5.HOG0000211	OG0000021	n25				WP_096688791.1	WP_096688791.1		
N5.HOG0000212	OG0000021	n27				WP_096683899.1	WP_096683899.1		
N5.HOG0000213	OG0000022	n1				WP_096694458.1	WP_096694458.1		
N5.HOG0000214	OG0000022	n21				WP_096685392.1	WP_096685392.1		
N5.HOG0000215	OG0000022	n26				WP_096688731.1	WP_096688731.1		
N5.HOG0000216	OG0000023	n2				WP_096688638.1	WP_096688638.1		
N5.HOG0000217	OG0000023	n4				WP_096689505.1	WP_096689505.1		
N5.HOG0000218	OG0000023	n13				WP_096691269.1	WP_096691269.1		
N5.HOG0000219	OG0000023	n15				WP_096692561.1	WP_096692561.1		
N5.HOG0000220	OG0000023	n17				WP_096691286.1	WP_096691286.1		
N5.HOG0000221	OG0000023	n24				WP_096689037.1	WP_096689037.1		
N5.HOG0000222	OG0000024	n1				WP_096683784.1	WP_096683784.1		
N5.HOG0000223	OG0000024	n17				WP_096690810.1	WP_096690810.1		
N5.HOG0000224	OG0000024	n18				WP_096683793.1	WP_096683793.1		
N5.HOG0000225	OG0000025	n3				WP_096684183.1	WP_096684183.1		
N5.HOG0000226	OG0000025	n15				WP_096695214.1	WP_096695214.1		
N5.HOG0000227	OG0000025	n21				WP_096694913.1	WP_096694913.1		
N5.HOG0000228	OG0000025	n25				WP_096691930.1	WP_096691930.1		
N5.HOG0000229	OG0000026	n7				WP_096694961.1	WP_096694961.1		
N5.HOG0000230	OG0000026	n8				WP_096692314.1	WP_096692314.1		
N5.HOG0000231	OG0000026	n9				WP_096690149.1	WP_096690149.1		
N5.HOG0000232	OG0000026	n15				WP_096690637.1	WP_096690637.1		
N5.HOG0000233	OG0000027	n7				WP_096686888.1	WP_096686888.1		
N5.HOG0000234	OG0000027	n19				WP_096694658.1	WP_096694658.1		
N5.HOG0000235	OG0000027	n23				WP_096691512.1	WP_096691512.1		
N5.HOG0000236	OG0000027	n25				WP_096694436.1	WP_096694436.1		
N5.HOG0000237	OG0000028	n2				WP_096691059.1	WP_096691059.1		
N5.HOG0000238	OG0000028	n13				WP_096688384.1	WP_096688384.1		
N5.HOG0000239	OG0000028	n15				WP_096686678.1	WP_096686678.1		
N5.HOG0000240	OG0000028	n18				WP_096689726.1	WP_096689726.1		
N5.HOG0000241	OG0000028	n23				WP_096684864.1	WP_096684864.1		
N5.HOG0000242	OG0000029	n3				WP_096684050.1	WP_096684050.1		
N5.HOG0000243	OG0000029	n10				WP_096685965.1	WP_096685965.1		
N5.HOG0000244	OG0000029	n11				WP_096683844.1	WP_096683844.1		
N5.HOG0000245	OG0000029	n22				WP_096687805.1	WP_096687805.1		
N5.HOG0000246	OG0000030	n9				WP_096690994.1	WP_096690994.1		
N5.HOG0000247	OG0000030	n11				WP_096690674.1	WP_096690674.1		
N5.HOG0000248	OG0000030	n16				WP_096689050.1	WP_096689050.1		
N5.HOG0000249	OG0000030	n21				WP_096691554.1	WP_096691554.1		
N5.HOG0000250	OG0000031	n7				WP_096688702.1	WP_096688702.1		
N5.HOG0000251	OG0000031	n10				WP_096684518.1	WP_096684518.1		
N5.HOG0000252	OG0000031	n14				WP_096686047.1	WP_096686047.1		
N5.HOG0000253	OG0000031	n20				WP_096691433.1	WP_096691433.1		
N5.HOG0000254	OG0000032	n7				WP_096689123.1	WP_096689123.1		
N5.HOG0000255	OG0000032	n10				WP_096692210.1	WP_096692210.1		
N5.HOG0000256	OG0000032	n12				WP_096694912.1	WP_096694912.1		
N5.HOG0000257	OG0000032	n16				WP_096693712.1	WP_096693712.1		
N5.HOG0000258	OG0000032	n22				WP_096689122.1	WP_096689122.1		
N5.HOG0000259	OG0000033	n4				WP_096689332.1	WP_096689332.1		
N5.HOG0000260	OG0000033	n6				WP_096689333.1	WP_096689333.1		
N5.HOG0000261	OG0000033	n7				WP_096689331.1	WP_096689331.1		
N5.HOG0000262	OG0000033	n9				WP_096690666.1	WP_096690666.1		
N5.HOG0000263	OG0000034	n2				WP_096693020.1	WP_096693020.1		
N5.HOG0000264	OG0000034	n18				WP_096695170.1	WP_096695170.1		
N5.HOG0000265	OG0000034	n20				WP_096683764.1	WP_096683764.1		
N5.HOG0000266	OG0000035	n1				WP_096689136.1	WP_096689136.1		
N5.HOG0000267	OG0000035	n12				WP_096686274.1	WP_096686274.1		
N5.HOG0000268	OG0000035	n17				WP_096689974.1	WP_096689974.1		
N5.HOG0000269	OG0000035	n19				WP_096689068.1	WP_096689068.1		
N5.HOG0000270	OG0000035	n20				WP_096689063.1	WP_096689063.1		
N5.HOG0000271	OG0000035	n23				WP_096683742.1	WP_096683742.1		
N5.HOG0000272	OG0000035	n24				WP_096689182.1	WP_096689182.1		
N5.HOG0000273	OG0000036	n1				WP_096684061.1	WP_096684061.1		
N5.HOG0000274	OG0000036	n16				WP_096689251.1	WP_096689251.1		
N5.HOG0000275	OG0000036	n18				WP_096693519.1	WP_096693519.1		
N5.HOG0000276	OG0000036	n23				WP_096684350.1	WP_096684350.1		
N5.HOG0000277	OG0000037	n5				WP_096689828.1	WP_096689828.1		
N5.HOG0000278	OG0000037	n10				WP_096690445.1	WP_096690445.1		
N5.HOG0000279	OG0000037	n16				WP_096686575.1	WP_096686575.1		
N5.HOG0000280	OG0000038	n6				WP_096687180.1	WP_096687180.1		
N5.HOG0000281	OG0000038	n8				WP_096689831.1	WP_096689831.1		
N5.HOG0000282	OG0000038	n10				WP_096685000.1	WP_096685000.1		
N5.HOG0000283	OG0000038	n15				WP_096686989.1	WP_096686989.1		
N5.HOG0000284	OG0000038	n18				WP_096694576.1	WP_096694576.1		
N5.HOG0000285	OG0000038	n21				WP_096684229.1	WP_096684229.1		
N5.HOG0000286	OG0000039	n5				WP_096686045.1	WP_096686045.1		
N5.HOG0000287	OG0000039	n7				WP_096691438.1	WP_096691438.1		
N5.HOG0000288	OG0000039	n11				WP_096689937.1	WP_096689937.1		
N5.HOG0000289	OG0000039	n20				WP_096695304.1	WP_096695304.1		
N5.HOG0000290	OG0000039	n21				WP_096695257.1	WP_096695257.1		
N5.HOG0000291	OG0000040	n6				WP_096683938.1	WP_096683938.1		
N5.HOG0000292	OG0000040	n8				WP_096691251.1	WP_096691251.1		
N5.HOG0000293	OG0000040	n10				WP_096689312.1	WP_096689312.1		
N5.HOG0000294	OG0000040	n15				WP_096689104.1	WP_096689104.1		
N5.HOG0000295	OG0000040	n16				WP_096692792.1	WP_096692792.1		
N5.HOG0000296	OG0000041	n9				WP_096684128.1	WP_096684128.1		
N5.HOG0000297	OG0000041	n10				WP_096689003.1	WP_096689003.1		
N5.HOG0000298	OG0000041	n11				WP_096686338.1	WP_096686338.1		
N5.HOG0000299	OG0000041	n14				WP_096693688.1	WP_096693688.1		
N5.HOG0000300	OG0000041	n19				WP_096689477.1	WP_096689477.1		
N5.HOG0000301	OG0000041	n21				WP_096693652.1	WP_096693652.1		
N5.HOG0000302	OG0000042	n6				WP_096689244.1	WP_096689244.1		
N5.HOG0000303	OG0000042	n7				WP_096688178.1	WP_096688178.1		
N5.HOG0000304	OG0000042	n9				WP_096690528.1	WP_096690528.1		
N5.HOG0000305	OG0000042	n10				WP_096692172.1	WP_096692172.1		
N5.HOG0000306	OG0000042	n11				WP_096684126.1	WP_096684126.1		
N5.HOG0000307	OG0000042	n21				WP_096691555.1	WP_096691555.1		
N5.HOG0000308	OG0000042	n22				WP_096683799.1	WP_096683799.1		
N5.HOG0000309	OG0000043	n2				WP_096688360.1	WP_096688360.1		
N5.HOG0000310	OG0000043	n8				WP_096691852.1	WP_096691852.1		
N5.HOG0000311	OG0000043	n14				WP_096686671.1	WP_096686671.1		
N5.HOG0000312	OG0000043	n18				WP_096694572.1	WP_096694572.1		
N5.HOG0000313	OG0000044	n2				WP_096689017.1	WP_096689017.1		
N5.HOG0000314	OG0000044	n8				WP_096688179.1	WP_096688179.1		
N5.HOG0000315	OG0000044	n19				WP_096689018.1	WP_096689018.1		
N5.HOG0000316	OG0000045	n9				WP_096689840.1	WP_096689840.1		
N5.HOG0000317	OG0000045	n10				WP_096690762.1	WP_096690762.1		
N5.HOG0000318	OG0000045	n11				WP_096690430.1	WP_096690430.1		
N5.HOG0000319	OG0000045	n15				WP_096694068.1	WP_096694068.1		
N5.HOG0000320	OG0000045	n17				WP_096692344.1	WP_096692344.1		
N5.HOG0000321	OG0000045	n19				WP_096692269.1	WP_096692269.1		
N5.HOG0000322	OG0000045	n20				WP_096690361.1	WP_096690361.1		
N5.HOG0000323	OG0000045	n21				WP_096690567.1	WP_096690567.1		
N5.HOG0000324	OG0000046	n13				WP_096695068.1	WP_096695068.1		
N5.HOG0000325	OG0000046	n15				WP_096695177.1	WP_096695177.1		
N5.HOG0000326	OG0000046	n17				WP_096695227.1	WP_096695227.1		
N5.HOG0000327	OG0000047	n5				WP_096689515.1	WP_096689515.1		
N5.HOG0000328	OG0000047	n12				WP_096689516.1	WP_096689516.1		
N5.HOG0000329	OG0000047	n13				WP_096689517.1	WP_096689517.1		
N5.HOG0000330	OG0000047	n18				WP_096688636.1	WP_096688636.1		
N5.HOG0000331	OG0000047	n20				WP_096688634.1	WP_096688634.1		
N5.HOG0000332	OG0000047	n21				WP_096688635.1	WP_096688635.1		
N5.HOG0000333	OG0000048	n1				WP_096686066.1	WP_096686066.1		
N5.HOG0000334	OG0000048	n9				WP_096687766.1	WP_096687766.1		
N5.HOG0000335	OG0000048	n18				WP_096693169.1	WP_096693169.1		
N5.HOG0000336	OG0000048	n20				WP_096693327.1	WP_096693327.1		
N5.HOG0000337	OG0000049	n13				WP_096691395.1	WP_096691395.1		
N5.HOG0000338	OG0000049	n18				WP_096691043.1	WP_096691043.1		
N5.HOG0000339	OG0000050	n1				WP_096686174.1	WP_096686174.1		
N5.HOG0000340	OG0000050	n11				WP_096694076.1	WP_096694076.1		
N5.HOG0000341	OG0000050	n13				WP_096694292.1	WP_096694292.1		
N5.HOG0000342	OG0000050	n18				WP_096689762.1	WP_096689762.1		
N5.HOG0000343	OG0000050	n20				WP_096694536.1	WP_096694536.1		
N5.HOG0000344	OG0000051	n11				WP_096689114.1	WP_096689114.1		
N5.HOG0000345	OG0000051	n16				WP_096688875.1	WP_096688875.1		
N5.HOG0000346	OG0000051	n19				WP_096691897.1	WP_096691897.1		
N5.HOG0000347	OG0000051	n20				WP_096692010.1	WP_096692010.1		
N5.HOG0000348	OG0000051	n21				WP_096687583.1	WP_096687583.1		
N5.HOG0000349	OG0000052	n8				WP_096686043.1	WP_096686043.1		
N5.HOG0000350	OG0000052	n10				WP_096691439.1	WP_096691439.1		
N5.HOG0000351	OG0000052	n17				WP_096695256.1	WP_096695256.1		
N5.HOG0000352	OG0000052	n19				WP_096695303.1	WP_096695303.1		
N5.HOG0000353	OG0000053	n6				WP_096689506.1	WP_096689506.1		
N5.HOG0000354	OG0000053	n8				WP_096691270.1	WP_096691270.1		
N5.HOG0000355	OG0000053	n10				WP_096692560.1	WP_096692560.1		
N5.HOG0000356	OG0000053	n12				WP_096691287.1	WP_096691287.1		
N5.HOG0000357	OG0000053	n15				WP_096694202.1	WP_096694202.1		
N5.HOG0000358	OG0000054	n2				WP_096690896.1	WP_096690896.1		
N5.HOG0000359	OG0000054	n6				WP_096692270.1	WP_096692270.1		
N5.HOG0000360	OG0000054	n13				WP_096691663.1	WP_096691663.1		
N5.HOG0000361	OG0000054	n15				WP_096691408.1	WP_096691408.1		
N5.HOG0000362	OG0000055	n4				WP_096692943.1	WP_096692943.1		
N5.HOG0000363	OG0000055	n6				WP_096683822.1	WP_096683822.1		
