HOG	OG	Gene Tree Parent Clade	336-3	NIES-267	NIES-3974	NIES-4071	NIES-4105	PCC_6303	PCC_7716
N3.HOG0000046	OG0000003	n41				WP_096686959.1	WP_096686959.1		
N3.HOG0000047	OG0000003	n45				WP_096686158.1	WP_096686158.1		WP_223978358.1
N3.HOG0000048	OG0000003	n48				WP_096689518.1	WP_096689518.1		WP_224179529.1
N3.HOG0000049	OG0000003	n51				WP_096692197.1	WP_096692197.1		WP_224179201.1
N3.HOG0000050	OG0000003	n53				WP_096688649.1, WP_096685969.1	WP_096688649.1, WP_096685969.1		WP_224179053.1
N3.HOG0000051	OG0000003	n58							WP_223978311.1
N3.HOG0000052	OG0000004	n2				WP_096684087.1	WP_096684087.1		
N3.HOG0000053	OG0000004	n4						WP_015199106.1	WP_224179043.1
N3.HOG0000054	OG0000004	n12							WP_224179645.1
N3.HOG0000055	OG0000004	n19						WP_015197258.1	
N3.HOG0000056	OG0000004	n20						WP_015200354.1	WP_255667719.1
N3.HOG0000057	OG0000004	n22							WP_224179607.1
N3.HOG0000058	OG0000004	n25				WP_096692752.1, WP_096686836.1	WP_096692752.1, WP_096686836.1		WP_223977677.1, WP_224175591.1, WP_224176524.1, WP_224178506.1
N3.HOG0000059	OG0000004	n33				WP_096684612.1	WP_096684612.1		
N3.HOG0000060	OG0000004	n35				WP_096688735.1	WP_096688735.1		WP_223983838.1
N3.HOG0000061	OG0000004	n41				WP_096691937.1	WP_096691937.1	WP_015198912.1	WP_224177416.1
N3.HOG0000062	OG0000004	n47				WP_096689080.1	WP_096689080.1	WP_015199222.1	WP_223986442.1, WP_223978756.1
N3.HOG0000063	OG0000004	n53				WP_096691356.1	WP_096691356.1		WP_224177273.1
N3.HOG0000064	OG0000005	n4				WP_096687819.1	WP_096687819.1	WP_015198212.1	WP_224178267.1
N3.HOG0000065	OG0000005	n7						WP_015198216.1	WP_224178281.1
N3.HOG0000066	OG0000005	n8				WP_096690199.1, WP_096690182.1, WP_096685034.1, WP_096690189.1, WP_096690190.1	WP_096690199.1, WP_096690182.1, WP_096685034.1, WP_096690189.1, WP_096690190.1		WP_224178312.1, WP_224178319.1, WP_224178285.1
N3.HOG0000067	OG0000005	n22				WP_096690194.1	WP_096690194.1		
N3.HOG0000068	OG0000005	n24						WP_015198215.1	WP_224178279.1
N3.HOG0000069	OG0000005	n27				WP_096685039.1, WP_096687816.1	WP_096685039.1, WP_096687816.1	WP_015198217.1	
N3.HOG0000070	OG0000005	n36				WP_096684329.1, WP_096685047.1	WP_096684329.1, WP_096685047.1		WP_224176033.1, WP_224174967.1, WP_224178275.1
N3.HOG0000071	OG0000005	n45				WP_096729084.1	WP_096687815.1	WP_015198218.1	
N3.HOG0000072	OG0000005	n47				WP_096685037.1	WP_096685037.1		
N3.HOG0000073	OG0000005	n50				WP_096687817.1	WP_096687817.1	WP_015198221.1	
N3.HOG0000074	OG0000005	n52				WP_096685036.1, WP_096685046.1	WP_096685036.1, WP_096685046.1		
N3.HOG0000075	OG0000006	n5						WP_015197967.1, WP_015197966.1, WP_083866368.1, WP_015197962.1	
N3.HOG0000076	OG0000006	n10				WP_096692265.1	WP_096692265.1		
N3.HOG0000077	OG0000006	n12				WP_096695216.1	WP_096695216.1		
N3.HOG0000078	OG0000006	n17				WP_096687971.1	WP_096687971.1		WP_224177698.1, WP_224174196.1
N3.HOG0000079	OG0000006	n21				WP_096688995.1	WP_096688995.1		
N3.HOG0000080	OG0000006	n25							WP_224177583.1
N3.HOG0000081	OG0000006	n27							WP_224177589.1
N3.HOG0000082	OG0000006	n28							WP_224178326.1, WP_224178857.1
N3.HOG0000083	OG0000006	n29				WP_096684079.1, WP_096694259.1	WP_096684079.1, WP_096694259.1		
N3.HOG0000084	OG0000006	n35				WP_096689394.1, WP_096689393.1	WP_096689394.1, WP_096689393.1	WP_015195855.1	
N3.HOG0000085	OG0000006	n40						WP_015197438.1, WP_015196927.1, WP_015199014.1, WP_015198729.1	
N3.HOG0000086	OG0000006	n45						WP_015197198.1	
N3.HOG0000087	OG0000006	n46				WP_096693503.1	WP_096693503.1	WP_015199356.1	WP_223978743.1
N3.HOG0000088	OG0000007	n3				WP_096692877.1	WP_096692877.1	WP_015199497.1	WP_224176367.1
N3.HOG0000089	OG0000007	n8				WP_096686951.1, WP_096692008.1	WP_096686951.1, WP_096692008.1		
N3.HOG0000090	OG0000007	n12				WP_096689422.1	WP_096689422.1		
N3.HOG0000091	OG0000007	n16				WP_096684672.1	WP_096684672.1		WP_223978130.1
N3.HOG0000092	OG0000007	n19							WP_224179550.1
N3.HOG0000093	OG0000007	n21				WP_096685975.1, WP_096684018.1, WP_096686176.1	WP_096685975.1, WP_096684018.1, WP_096686176.1		
N3.HOG0000094	OG0000007	n27				WP_096692203.1	WP_096692203.1		WP_224179202.1
N3.HOG0000095	OG0000007	n32				WP_096689501.1	WP_096689501.1		WP_224177822.1
N3.HOG0000096	OG0000007	n35				WP_096686146.1	WP_096686146.1		WP_223987989.1, WP_224175616.1
N3.HOG0000097	OG0000007	n39				WP_096694206.1, WP_096692192.1	WP_096694206.1, WP_096692192.1		WP_224179050.1
N3.HOG0000098	OG0000007	n44				WP_096691919.1	WP_096691919.1		
N3.HOG0000099	OG0000008	n2				WP_096689183.1	WP_096689183.1	WP_015199589.1	
N3.HOG0000100	OG0000008	n8						WP_015195874.1	
N3.HOG0000101	OG0000008	n12						WP_015196050.1	
N3.HOG0000102	OG0000008	n16				WP_096686702.1, WP_096691783.1	WP_096686702.1, WP_096691783.1	WP_015196367.1, WP_015197278.1	
N3.HOG0000103	OG0000008	n23						WP_015196884.1	
N3.HOG0000104	OG0000008	n28				WP_096691039.1	WP_096691039.1	WP_015197137.1	
N3.HOG0000105	OG0000008	n31				WP_096692911.1, WP_096692912.1	WP_096692911.1, WP_096692912.1	WP_015199368.1	
N3.HOG0000106	OG0000008	n38				WP_096688693.1, WP_096688683.1	WP_096688693.1, WP_096688683.1	WP_015196926.1	
N3.HOG0000107	OG0000008	n43						WP_015199688.1, WP_015199687.1	
N3.HOG0000108	OG0000009	n3				WP_096688202.1	WP_096688202.1		WP_224179109.1
N3.HOG0000109	OG0000009	n7				WP_096688203.1, WP_096689823.1, WP_096694298.1	WP_096688203.1, WP_096689823.1, WP_096694298.1	WP_015200536.1	WP_224179110.1, WP_223973838.1
N3.HOG0000110	OG0000009	n19				WP_096689785.1	WP_096689785.1	WP_015196938.1	WP_224176495.1
N3.HOG0000111	OG0000009	n23							WP_223984504.1
N3.HOG0000112	OG0000009	n24							WP_224178286.1
N3.HOG0000113	OG0000009	n32							WP_224175243.1
N3.HOG0000114	OG0000009	n33				WP_096694550.1, WP_096685165.1	WP_096694550.1, WP_096685165.1		WP_223990086.1, WP_224175585.1
N3.HOG0000115	OG0000009	n40				WP_096688208.1	WP_096688208.1		WP_224179146.1
N3.HOG0000116	OG0000009	n43				WP_096689492.1	WP_096689492.1		WP_224177788.1
N3.HOG0000117	OG0000010	n1				WP_096692129.1	WP_096692129.1	WP_015199610.1	WP_223979110.1
N3.HOG0000118	OG0000010	n9						WP_015199413.1	WP_224179037.1
N3.HOG0000119	OG0000010	n11						WP_015198738.1	
N3.HOG0000120	OG0000010	n18						WP_015196471.1	
N3.HOG0000121	OG0000010	n20						WP_015200344.1	
N3.HOG0000122	OG0000010	n26						WP_015196502.1	
N3.HOG0000123	OG0000010	n31							WP_224174742.1
N3.HOG0000124	OG0000010	n32				WP_096689933.1	WP_096689933.1		WP_223972461.1
N3.HOG0000125	OG0000010	n39						WP_015199648.1	WP_224179683.1
N3.HOG0000126	OG0000010	n42							WP_255667717.1
N3.HOG0000127	OG0000011	n1				WP_096686164.1	WP_096686164.1	WP_015198485.1	
N3.HOG0000128	OG0000011	n8				WP_096691772.1	WP_096691772.1		WP_224177193.1
N3.HOG0000129	OG0000011	n12				WP_096692042.1	WP_096692042.1	WP_015195952.1	
N3.HOG0000130	OG0000011	n14				WP_096688605.1	WP_096688605.1	WP_015199293.1	
N3.HOG0000131	OG0000011	n18				WP_096684252.1	WP_096684252.1		
N3.HOG0000132	OG0000011	n20				WP_096692402.1	WP_096692402.1		
N3.HOG0000133	OG0000011	n24							WP_223989828.1
N3.HOG0000134	OG0000011	n26				WP_096686129.1, WP_096685800.1	WP_096686129.1, WP_096685800.1		WP_223978339.1
N3.HOG0000135	OG0000011	n34				WP_096687837.1	WP_096687837.1		
N3.HOG0000136	OG0000011	n36				WP_096683929.1, WP_096690206.1, WP_096694373.1	WP_096683929.1, WP_096690206.1, WP_096694373.1		
N3.HOG0000137	OG0000012	n1				WP_096689097.1, WP_096686306.1	WP_096689097.1, WP_096686306.1	WP_015200439.1	WP_224179180.1, WP_224178707.1, WP_224175090.1
N3.HOG0000138	OG0000012	n13				WP_096693399.1, WP_096691075.1, WP_096684837.1, WP_096691452.1	WP_096693399.1, WP_096691075.1, WP_096684837.1, WP_096691452.1		WP_223977655.1, WP_224176219.1, WP_224175542.1, WP_224176058.1, WP_224178765.1
N3.HOG0000139	OG0000012	n26				WP_096691685.1	WP_096691685.1	WP_015200231.1	WP_224178764.1, WP_223981015.1
N3.HOG0000140	OG0000012	n31				WP_096692276.1	WP_096692276.1		WP_223990858.1, WP_224178997.1
N3.HOG0000141	OG0000012	n35				WP_096690930.1, WP_096692866.1	WP_096690930.1, WP_096692866.1		WP_224176210.1, WP_224176440.1
N3.HOG0000142	OG0000013	n2				WP_096690359.1, WP_096688618.1	WP_096690359.1, WP_096688618.1		WP_223975095.1, WP_223987783.1
N3.HOG0000143	OG0000013	n9				WP_096688603.1, WP_096684600.1, WP_096684867.1	WP_096688603.1, WP_096684600.1, WP_096684867.1		WP_224174825.1, WP_223978663.1
N3.HOG0000144	OG0000013	n17				WP_096688279.1, WP_096688278.1, WP_096688280.1	WP_096688279.1, WP_096688278.1, WP_096688280.1		WP_223972559.1, WP_223973592.1, WP_223972557.1
N3.HOG0000145	OG0000013	n27				WP_096689643.1, WP_096687407.1	WP_096689643.1, WP_096687407.1		WP_224177880.1, WP_224174644.1
N3.HOG0000146	OG0000013	n33				WP_096688657.1	WP_096688657.1		WP_224174709.1
N3.HOG0000147	OG0000013	n36							WP_224179543.1
N3.HOG0000148	OG0000014	n1				WP_096691235.1	WP_096691235.1	WP_015200405.1	WP_224177340.1
N3.HOG0000149	OG0000014	n10				WP_096686410.1	WP_096686410.1	WP_015201036.1	
N3.HOG0000150	OG0000014	n14				WP_096686394.1	WP_096686394.1		WP_224174008.1
N3.HOG0000151	OG0000014	n17						WP_015199250.1	WP_224174473.1
N3.HOG0000152	OG0000014	n20							WP_224179687.1, WP_224177655.1
N3.HOG0000153	OG0000014	n23				WP_096688443.1	WP_096688443.1	WP_015200537.1	WP_224178487.1, WP_224177143.1, WP_223987736.1
N3.HOG0000154	OG0000014	n29				WP_096688150.1	WP_096688150.1		WP_224176458.1, WP_224176457.1, WP_224176456.1, WP_224179778.1
N3.HOG0000155	OG0000015	n2				WP_096684727.1, WP_096684729.1, WP_096684731.1, WP_096690481.1, WP_096692766.1, WP_096683728.1, WP_096694254.1, WP_096694872.1	WP_096684727.1, WP_096684729.1, WP_096684731.1, WP_096690481.1, WP_096692766.1, WP_096683728.1, WP_096694254.1, WP_096694872.1		WP_223978162.1, WP_223973125.1, WP_223976951.1, WP_224174592.1, WP_224177283.1, WP_224180364.1, WP_223978684.1, WP_223986040.1, WP_255667734.1, WP_224175646.1
N3.HOG0000156	OG0000015	n32							WP_255667735.1
N3.HOG0000157	OG0000016	n2				WP_096686993.1, WP_096693706.1	WP_096686993.1, WP_096693706.1	WP_015198501.1	WP_224179691.1
N3.HOG0000158	OG0000016	n10				WP_096685008.1	WP_096685008.1	WP_015199431.1	WP_223972021.1, WP_223973158.1
N3.HOG0000159	OG0000016	n18				WP_096686371.1	WP_096686371.1	WP_015196780.1	WP_073624137.1
N3.HOG0000160	OG0000016	n24				WP_096684976.1	WP_096684976.1		WP_224175277.1
N3.HOG0000161	OG0000016	n28				WP_096694139.1	WP_096694139.1		WP_224175789.1, WP_224175028.1
N3.HOG0000162	OG0000017	n2				WP_096690249.1	WP_096690249.1	WP_015195951.1	WP_223974161.1, WP_224177192.1
N3.HOG0000163	OG0000017	n9				WP_096688606.1	WP_096688606.1	WP_015199294.1	
N3.HOG0000164	OG0000017	n13				WP_096687838.1	WP_096687838.1		
N3.HOG0000165	OG0000017	n18				WP_096684251.1	WP_096684251.1	WP_015198486.1	
N3.HOG0000166	OG0000017	n21				WP_096686127.1, WP_096685802.1	WP_096686127.1, WP_096685802.1	WP_015196930.1	WP_223978338.1
N3.HOG0000167	OG0000017	n28				WP_096684130.1, WP_096687569.1	WP_096684130.1, WP_096687569.1	WP_015197990.1	
N3.HOG0000168	OG0000018	n1				WP_096691938.1	WP_096691938.1	WP_015198913.1	WP_224177415.1
N3.HOG0000169	OG0000018	n8						WP_015199223.1	WP_224176031.1
N3.HOG0000170	OG0000018	n13				WP_096694074.1	WP_096694074.1		WP_223978299.1, WP_224176526.1
N3.HOG0000171	OG0000018	n17				WP_096693862.1, WP_096691355.1, WP_096684086.1, WP_096684774.1	WP_096693862.1, WP_096691355.1, WP_096684086.1, WP_096684774.1		WP_223974056.1, WP_224177274.1
N3.HOG0000172	OG0000018	n27				WP_096690829.1	WP_096690829.1		
N3.HOG0000173	OG0000018	n29				WP_096691016.1	WP_096691016.1		WP_223983760.1
N3.HOG0000174	OG0000019	n3				WP_096691522.1	WP_096691522.1		WP_223989441.1
N3.HOG0000175	OG0000019	n6				WP_096683961.1, WP_096684364.1, WP_096683944.1, WP_096692214.1, WP_096690012.1, WP_096693074.1, WP_096694258.1	WP_096683961.1, WP_096684364.1, WP_096683944.1, WP_096692214.1, WP_096690012.1, WP_096693074.1, WP_096694258.1	WP_015197299.1	WP_224176689.1, WP_224178911.1, WP_224178766.1, WP_224176469.1, WP_223987281.1
N3.HOG0000176	OG0000019	n26				WP_096684432.1, WP_096684403.1	WP_096684432.1, WP_096684403.1		WP_224176703.1, WP_224176732.1
N3.HOG0000177	OG0000020	n2						WP_015173915.1	WP_224176405.1
N3.HOG0000178	OG0000020	n4				WP_096686005.1	WP_096686005.1	WP_015198096.1	WP_223973082.1, WP_224178468.1, WP_224175399.1
N3.HOG0000179	OG0000020	n13				WP_096688467.1, WP_096690925.1, WP_096684220.1	WP_096688467.1, WP_096690925.1, WP_096684220.1		WP_224177271.1
N3.HOG0000180	OG0000020	n20				WP_096692263.1, WP_096693397.1, WP_096691508.1	WP_096692263.1, WP_096693397.1, WP_096691508.1		
N3.HOG0000181	OG0000020	n28				WP_096689208.1, WP_096729119.1	WP_096689208.1	WP_015195792.1	
N3.HOG0000182	OG0000021	n1							WP_224175594.1
N3.HOG0000183	OG0000021	n3				WP_096685147.1	WP_096685147.1		WP_224176013.1
N3.HOG0000184	OG0000021	n10				WP_096688523.1, WP_096685084.1, WP_096683812.1, WP_096684070.1, WP_096685699.1, WP_096685701.1	WP_096688523.1, WP_096685084.1, WP_096683812.1, WP_096684070.1, WP_096685699.1, WP_096685701.1		WP_224175360.1, WP_224176022.1, WP_223973359.1
N3.HOG0000185	OG0000021	n25				WP_096688791.1	WP_096688791.1		
N3.HOG0000186	OG0000021	n27				WP_096683899.1	WP_096683899.1		WP_223984191.1
N3.HOG0000187	OG0000022	n1				WP_096694458.1	WP_096694458.1	WP_238993725.1	WP_224177161.1
N3.HOG0000188	OG0000022	n10						WP_015197771.1	WP_224176488.1, WP_223987490.1, WP_223987492.1, WP_224177818.1, WP_223987485.1, WP_224177813.1, WP_224175883.1
N3.HOG0000189	OG0000022	n19							WP_223973428.1, WP_224177811.1
N3.HOG0000190	OG0000022	n21				WP_096685392.1	WP_096685392.1	WP_041739801.1	WP_223973380.1
N3.HOG0000191	OG0000022	n26				WP_096688731.1	WP_096688731.1		WP_223983823.1
N3.HOG0000192	OG0000023	n2				WP_096688638.1	WP_096688638.1		
N3.HOG0000193	OG0000023	n4				WP_096689505.1	WP_096689505.1	WP_144051023.1	
N3.HOG0000194	OG0000023	n10				WP_096691269.1, WP_096692561.1	WP_096691269.1, WP_096692561.1		WP_223982408.1, WP_224176745.1
N3.HOG0000195	OG0000023	n17				WP_096691286.1	WP_096691286.1		
N3.HOG0000196	OG0000023	n24				WP_096689037.1	WP_096689037.1		WP_224178875.1
N3.HOG0000197	OG0000023	n29							WP_224176333.1
N3.HOG0000198	OG0000024	n1				WP_096683784.1	WP_096683784.1	WP_015199117.1, WP_015199112.1	WP_224179039.1
N3.HOG0000199	OG0000024	n11						WP_015199114.1	
N3.HOG0000200	OG0000024	n12						WP_015199116.1	
N3.HOG0000201	OG0000024	n13						WP_015199115.1	
N3.HOG0000202	OG0000024	n15				WP_096690810.1, WP_096683793.1	WP_096690810.1, WP_096683793.1		WP_224176218.1
N3.HOG0000203	OG0000024	n19						WP_015200452.1, WP_041739807.1	WP_224179033.1
N3.HOG0000204	OG0000025	n3				WP_096684183.1	WP_096684183.1	WP_015197074.1	WP_223987500.1
N3.HOG0000205	OG0000025	n7							WP_224178098.1
N3.HOG0000206	OG0000025	n15				WP_096695214.1	WP_096695214.1		WP_224174281.1
N3.HOG0000207	OG0000025	n20							WP_224174279.1
N3.HOG0000208	OG0000025	n21				WP_096694913.1	WP_096694913.1		
N3.HOG0000209	OG0000025	n23							WP_223985174.1, WP_224177582.1
N3.HOG0000210	OG0000025	n25				WP_096691930.1	WP_096691930.1		
N3.HOG0000211	OG0000026	n1				WP_096694961.1, WP_096692314.1, WP_096690149.1	WP_096694961.1, WP_096692314.1, WP_096690149.1	WP_015196354.1	WP_223988249.1, WP_127080584.1, WP_019495472.1, WP_224180391.1
N3.HOG0000212	OG0000026	n15				WP_096690637.1	WP_096690637.1		WP_224178091.1
N3.HOG0000213	OG0000026	n23							WP_223972639.1
N3.HOG0000214	OG0000026	n25							WP_224175050.1
N3.HOG0000215	OG0000027	n5						WP_015197730.1	
N3.HOG0000216	OG0000027	n7				WP_096686888.1	WP_096686888.1	WP_158333141.1	WP_224179256.1, WP_224176249.1
N3.HOG0000217	OG0000027	n13				WP_096694658.1, WP_096691512.1, WP_096694436.1	WP_096694658.1, WP_096691512.1, WP_096694436.1	WP_015197311.1	WP_224179961.1, WP_224175791.1, WP_223989462.1, WP_224179521.1
N3.HOG0000218	OG0000028	n2				WP_096691059.1	WP_096691059.1	WP_015199894.1	WP_224177556.1
N3.HOG0000219	OG0000028	n7				WP_096688384.1, WP_096686678.1	WP_096688384.1, WP_096686678.1		WP_224175219.1, WP_224178739.1, WP_223987816.1, WP_224179387.1
N3.HOG0000220	OG0000028	n18				WP_096689726.1	WP_096689726.1		WP_223973706.1
N3.HOG0000221	OG0000028	n23				WP_096684864.1	WP_096684864.1	WP_041740272.1	WP_223978362.1
N3.HOG0000222	OG0000029	n3				WP_096684050.1	WP_096684050.1	WP_015197911.1	
N3.HOG0000223	OG0000029	n7				WP_096685965.1, WP_096683844.1	WP_096685965.1, WP_096683844.1		WP_224179308.1
N3.HOG0000224	OG0000029	n16						WP_015197910.1	WP_224174365.1
N3.HOG0000225	OG0000029	n21							WP_224179592.1
N3.HOG0000226	OG0000029	n22				WP_096687805.1	WP_096687805.1	WP_015197913.1, WP_015197908.1	WP_224174203.1
N3.HOG0000227	OG0000030	n6				WP_096690994.1, WP_096690674.1	WP_096690994.1, WP_096690674.1	WP_015196647.1, WP_015198124.1	WP_224177621.1, WP_224177613.1, WP_224177612.1, WP_224178064.1
N3.HOG0000228	OG0000030	n16				WP_096689050.1	WP_096689050.1	WP_015196590.1	WP_223984123.1
N3.HOG0000229	OG0000030	n21				WP_096691554.1	WP_096691554.1	WP_041741282.1, WP_041741280.1	WP_223984088.1, WP_223978659.1, WP_224177476.1
N3.HOG0000230	OG0000031	n7				WP_096688702.1	WP_096688702.1		
N3.HOG0000231	OG0000031	n10				WP_096684518.1	WP_096684518.1		
N3.HOG0000232	OG0000031	n14				WP_096686047.1	WP_096686047.1	WP_015198432.1	WP_224175116.1, WP_224179100.1
N3.HOG0000233	OG0000031	n20				WP_096691433.1	WP_096691433.1	WP_015198431.1, WP_015198430.1	WP_224176862.1
N3.HOG0000234	OG0000032	n1				WP_096689123.1, WP_096692210.1, WP_096694912.1	WP_096689123.1, WP_096692210.1, WP_096694912.1	WP_015199990.1	WP_223972372.1, WP_224180152.1, WP_223972362.1, WP_224180315.1
N3.HOG0000235	OG0000032	n16				WP_096693712.1	WP_096693712.1	WP_015196231.1	WP_223978974.1
N3.HOG0000236	OG0000032	n22				WP_096689122.1	WP_096689122.1	WP_015199992.1, WP_015199991.1	WP_223972373.1
N3.HOG0000237	OG0000033	n1				WP_096689332.1, WP_096689333.1, WP_096689331.1	WP_096689332.1, WP_096689333.1, WP_096689331.1		WP_224176048.1
N3.HOG0000238	OG0000033	n9				WP_096690666.1	WP_096690666.1		
N3.HOG0000239	OG0000033	n12							WP_223990715.1, WP_224176740.1
N3.HOG0000240	OG0000033	n19						WP_015198883.1	WP_224178067.1, WP_224178066.1
N3.HOG0000241	OG0000033	n25							WP_224178075.1
N3.HOG0000242	OG0000034	n2				WP_096693020.1	WP_096693020.1		WP_224176584.1
N3.HOG0000243	OG0000034	n5						WP_015198141.1	
N3.HOG0000244	OG0000034	n9						WP_015197024.1, WP_015198586.1, WP_015198472.1, WP_051036718.1	WP_224178055.1, WP_224178054.1, WP_224178996.1
N3.HOG0000245	OG0000034	n16				WP_096695170.1, WP_096683764.1	WP_096695170.1, WP_096683764.1	WP_015197662.1, WP_015199305.1	WP_224174596.1, WP_224177860.1
N3.HOG0000246	OG0000034	n23						WP_015197064.1	WP_224179334.1, WP_224179682.1
N3.HOG0000247	OG0000035	n1				WP_096689136.1	WP_096689136.1		WP_224179196.1, WP_223973339.1
N3.HOG0000248	OG0000035	n7				WP_096686274.1, WP_096689974.1, WP_096689068.1, WP_096689063.1, WP_096683742.1, WP_096689182.1	WP_096686274.1, WP_096689974.1, WP_096689068.1, WP_096689063.1, WP_096683742.1, WP_096689182.1	WP_015200178.1	WP_223973602.1, WP_223984083.1, WP_224180316.1
N3.HOG0000249	OG0000036	n1				WP_096684061.1	WP_096684061.1	WP_051036612.1	WP_224174534.1, WP_224177828.1, WP_224176348.1
N3.HOG0000250	OG0000036	n12							WP_224175973.1
N3.HOG0000251	OG0000036	n13						WP_238993778.1	
N3.HOG0000252	OG0000036	n16				WP_096689251.1	WP_096689251.1	WP_015198341.1	
N3.HOG0000253	OG0000036	n18				WP_096693519.1	WP_096693519.1	WP_015198344.1	WP_224179056.1, WP_224177719.1, WP_224177112.1
N3.HOG0000254	OG0000036	n23				WP_096684350.1	WP_096684350.1		WP_224180301.1
N3.HOG0000255	OG0000037	n5				WP_096689828.1	WP_096689828.1		WP_073623750.1
