Orthogroup	336-3	NIES-3974
OG0000040	WP_035156937.1	WP_096622902.1, WP_096621351.1, WP_096621446.1, WP_096622659.1, WP_255408815.1
OG0000041	WP_035149561.1	WP_096621846.1, WP_096620723.1
OG0000042	WP_035159927.1	WP_096621395.1
OG0000042	WP_238178558.1, WP_035150760.1	WP_096621392.1
OG0000043	WP_035155361.1	WP_096625205.1
OG0000043	WP_035155289.1	WP_096621522.1
OG0000044	WP_035153674.1	WP_096625420.1
OG0000044	WP_035154543.1	WP_096620625.1
OG0000045	WP_035158023.1	WP_096620277.1
OG0000048	WP_035151117.1	WP_096625544.1
OG0000048	WP_035150264.1	WP_096620244.1
OG0000049	WP_046814807.1	WP_096626595.1
OG0000049	WP_035150949.1	WP_096626095.1
OG0000050	WP_082127255.1, WP_035154646.1	WP_096622068.1
OG0000051	WP_035156582.1	WP_096623543.1
OG0000052	WP_035148992.1	WP_096624554.1
OG0000053	WP_035149528.1	WP_096620062.1
OG0000054	WP_035151456.1	WP_096624463.1
OG0000054	WP_035152967.1	WP_096620296.1, WP_096620297.1
OG0000055	WP_035152364.1, WP_256388868.1	WP_096624987.1
OG0000059	WP_035156446.1	WP_096623487.1
OG0000059	WP_035150710.1	WP_096620831.1
OG0000059	WP_035148922.1	WP_096622598.1
OG0000060	WP_035149321.1	WP_096624551.1
OG0000061	WP_035149530.1	WP_096620063.1
OG0000062	WP_035150001.1	WP_096621760.1, WP_096621105.1, WP_096620300.1, WP_096622223.1
OG0000063	WP_035153783.1	WP_096620481.1
OG0000064	WP_035154594.1	WP_096622204.1
OG0000064	WP_035156922.1	WP_096622709.1
OG0000065	WP_035157313.1	WP_096621406.1, WP_096622532.1
OG0000066	WP_035149937.1, WP_035148920.1	WP_096620160.1
OG0000067	WP_035150688.1	WP_096621952.1
OG0000067	WP_052754487.1, WP_035149708.1, WP_238178349.1	WP_172892767.1
OG0000067	WP_035150689.1	WP_096621262.1
OG0000068	WP_035153600.1	WP_096620794.1
OG0000068	WP_035150279.1	WP_096620919.1
OG0000073	WP_035154411.1	WP_096623186.1, WP_096621235.1
OG0000073	WP_035153422.1	WP_096620618.1
OG0000073	WP_035154226.1	WP_096620627.1
OG0000074	WP_052754390.1	WP_096624606.1
OG0000075	WP_238178536.1	WP_096620367.1, WP_096622487.1, WP_096624438.1, WP_096622962.1
OG0000077	WP_035149506.1	WP_096623940.1
OG0000078	WP_035149954.1	WP_096625284.1
OG0000078	WP_035153264.1	WP_096624003.1
OG0000079	WP_035150669.1	WP_096624660.1
OG0000081	WP_035152370.1	WP_096625434.1
OG0000082	WP_201782641.1	WP_096621331.1
OG0000083	WP_035152605.1	WP_096626463.1
OG0000084	WP_035153058.1	WP_096622486.1
OG0000085	WP_035153284.1	WP_096620210.1, WP_255408806.1
OG0000086	WP_035155787.1	WP_096620239.1
OG0000086	WP_035153465.1	WP_096620606.1
OG0000087	WP_035154367.1	WP_096622822.1
OG0000088	WP_035157012.1	WP_096625817.1
OG0000091	WP_035148963.1	WP_096625097.1
OG0000092	WP_035149005.1	WP_096620037.1
OG0000094	WP_035150681.1	WP_096620254.1
OG0000095	WP_035150985.1	WP_096623830.1
OG0000097	WP_035155760.1, WP_052754507.1, WP_035155826.1, WP_035151292.1, WP_035154381.1, WP_035159250.1	WP_096621423.1
OG0000098	WP_035151405.1	WP_096622242.1
OG0000099	WP_035153732.1	WP_096621280.1
OG0000099	WP_035158040.1	WP_096621192.1
OG0000103	WP_035156385.1	WP_096621375.1, WP_096626441.1
OG0000104	WP_035156463.1	WP_096626371.1
OG0000106	WP_046815063.1	WP_096621683.1, WP_096622509.1
OG0000113	WP_035149694.1	WP_096622352.1
OG0000113	WP_035154492.1	WP_096621772.1
OG0000115	WP_035149852.1	WP_096623858.1
OG0000116	WP_035150190.1	WP_096620064.1
OG0000116	WP_035154121.1	WP_096620836.1
OG0000117	WP_035150309.1	WP_197707058.1
OG0000118	WP_082127397.1, WP_035153754.1, WP_082127279.1	WP_096623711.1
OG0000118	WP_035150560.1	WP_096622402.1, WP_096623048.1
OG0000119	WP_035151079.1	WP_096620089.1
OG0000119	WP_035154725.1, WP_035154730.1	WP_096625843.1
OG0000121	WP_035152024.1	WP_096620834.1
OG0000122	WP_035152324.1, WP_035153693.1, WP_035153894.1, WP_035153886.1	WP_096625124.1
OG0000123	WP_035152576.1	WP_231943094.1
OG0000123	WP_035155825.1	WP_096620817.1
OG0000124	WP_035153186.1	WP_096624286.1
OG0000125	WP_035153391.1	WP_096622022.1, WP_096626572.1
OG0000126	WP_035154162.1	WP_096621256.1, WP_096621975.1
OG0000127	WP_035154415.1	WP_096621233.1
OG0000129	WP_035158140.1	WP_096623246.1
OG0000129	WP_035155060.1	WP_096621197.1
OG0000130	WP_035155062.1	WP_096621196.1
OG0000130	WP_035156030.1	WP_096624781.1
OG0000131	WP_035155567.1	WP_096623581.1
OG0000132	WP_035156053.1	WP_096624165.1
OG0000133	WP_035157032.1	WP_096624083.1, WP_096622409.1, WP_096622745.1, WP_096625757.1, WP_096622603.1
OG0000137	WP_082127243.1	WP_096623860.1
OG0000143	WP_035148954.1	WP_096620893.1
OG0000144	WP_035149691.1	WP_096622350.1
OG0000144	WP_035154490.1	WP_096621774.1
OG0000148	WP_035150527.1	WP_096625565.1
OG0000153	WP_035153883.1	WP_096625122.1
OG0000154	WP_035152465.1	WP_096621068.1
OG0000155	WP_035153896.1, WP_035153694.1, WP_035158986.1	WP_096625126.1
OG0000155	WP_035153898.1, WP_035153696.1	WP_096625128.1
OG0000156	WP_035153929.1	WP_096625073.1
OG0000157	WP_035154188.1	WP_096621540.1
OG0000158	WP_035154368.1	WP_231943138.1
OG0000160	WP_035156214.1	WP_096621387.1
OG0000161	WP_035156474.1	WP_096623100.1
OG0000163	WP_035159330.1	WP_231943091.1, WP_231943211.1
OG0000164	WP_046814697.1	WP_231943175.1
OG0000164	WP_238178357.1	WP_231943165.1
OG0000165	WP_052754461.1	WP_096620302.1
OG0000166	WP_238178417.1	WP_096626077.1
OG0000166	WP_082127347.1	WP_096619833.1
OG0000176	WP_035148903.1	WP_096622892.1
OG0000176	WP_035153450.1	WP_096620468.1
OG0000178	WP_035150072.1	WP_096620278.1
OG0000179	WP_035150416.1	WP_096620474.1
OG0000180	WP_035150451.1	WP_096621558.1
OG0000180	WP_238178533.1	WP_096626337.1
OG0000181	WP_035150568.1	WP_096622291.1
OG0000182	WP_035154485.1	WP_096624805.1
OG0000183	WP_035150723.1, WP_035152191.1	WP_096624562.1
OG0000185	WP_035151497.1	WP_096625193.1
OG0000185	WP_035154853.1	WP_096620328.1
OG0000186	WP_035151527.1	WP_096620944.1
OG0000188	WP_035157558.1	WP_096624103.1
OG0000188	WP_035153623.1	WP_096621579.1
OG0000191	WP_035156226.1	WP_096620643.1
OG0000191	WP_035154311.1	WP_096621000.1
OG0000193	WP_035155142.1	WP_096621107.1
OG0000193	WP_035155140.1	WP_096621806.1
OG0000194	WP_035155345.1	WP_231943212.1
OG0000195	WP_035155586.1	WP_096620971.1
OG0000196	WP_035156157.1	WP_096624644.1
OG0000196	WP_035156154.1	WP_096620750.1
OG0000197	WP_035157311.1	WP_096622533.1, WP_096624487.1
OG0000198	WP_035158024.1	WP_096619837.1
OG0000200	WP_035158413.1	WP_096620602.1
OG0000204	WP_046814911.1	WP_096623418.1, WP_096623828.1
OG0000207	WP_256388803.1	WP_096620344.1
OG0000215	WP_035149182.1	WP_096621946.1
OG0000216	WP_035151145.1	WP_096622565.1
OG0000217	WP_035156431.1	WP_096622537.1
OG0000219	WP_035149676.1	WP_096625615.1
OG0000220	WP_035149787.1	WP_231943190.1, WP_231943197.1, WP_231943171.1
OG0000220	WP_035152108.1	WP_231943083.1
OG0000223	WP_046814742.1	WP_096620479.1
OG0000224	WP_035151005.1	WP_096621358.1
OG0000225	WP_035151227.1	WP_096626193.1
OG0000225	WP_035151223.1	WP_096622468.1
OG0000226	WP_035151609.1, WP_046814768.1	WP_096621732.1
OG0000230	WP_035152915.1, WP_035158039.1	WP_096625166.1, WP_096621283.1, WP_231943284.1
OG0000231	WP_035153103.1	WP_096620045.1
OG0000233	WP_035153631.1	WP_096623565.1
OG0000235	WP_035154014.1	WP_096625232.1, WP_096620950.1
OG0000236	WP_035154616.1	WP_096621907.1
OG0000238	WP_201782636.1	WP_096626532.1
OG0000238	WP_035155286.1	WP_096621524.1
OG0000239	WP_035156163.1	WP_096626289.1
OG0000239	WP_035155774.1	WP_096620494.1
OG0000240	WP_035156391.1	WP_096626189.1
OG0000242	WP_035156842.1	WP_096623794.1
OG0000243	WP_046814889.1	WP_096623665.1
OG0000243	WP_035157939.1	WP_096625448.1
OG0000244	WP_035158786.1	WP_096624652.1
OG0000246	WP_046814841.1	WP_096621239.1
OG0000262	WP_035148910.1	WP_096621998.1
OG0000263	WP_238178537.1	WP_096620003.1
OG0000264	WP_035159156.1	WP_096622030.1
OG0000265	WP_035149199.1	WP_096621268.1
OG0000266	WP_035149508.1	WP_096620560.1
OG0000267	WP_035149731.1	WP_096624434.1
OG0000268	WP_035153383.1	WP_231943408.1
OG0000269	WP_035157644.1	WP_096623637.1
OG0000270	WP_035150782.1	WP_096624049.1
OG0000271	WP_035149993.1	WP_096621418.1
OG0000272	WP_035149994.1	WP_096626263.1, WP_096621417.1
OG0000275	WP_035150682.1	WP_231943261.1
OG0000276	WP_035151492.1	WP_096622102.1
OG0000277	WP_035150947.1	WP_096621935.1
OG0000279	WP_035151512.1	WP_096625181.1
OG0000279	WP_035151071.1	WP_231943296.1
OG0000280	WP_035151083.1	WP_096620319.1
OG0000280	WP_035157622.1	WP_096620088.1
OG0000281	WP_035151107.1	WP_096624710.1
OG0000282	WP_035151131.1	WP_096620129.1
OG0000283	WP_035154578.1, WP_035151403.1	WP_096622721.1
OG0000285	WP_035155543.1	WP_096626270.1
OG0000287	WP_035153243.1	WP_096621708.1
OG0000288	WP_035153583.1	WP_096621603.1
OG0000289	WP_035154488.1	WP_096621385.1
OG0000290	WP_035154532.1	WP_096624219.1
OG0000291	WP_035154538.1	WP_096621973.1, WP_096620551.1
OG0000292	WP_035154597.1	WP_096620736.1
OG0000292	WP_035156623.1	WP_096623180.1
OG0000294	WP_035154637.1	WP_096626187.1
OG0000295	WP_035154857.1	WP_096619907.1
OG0000296	WP_035154862.1	WP_096619905.1
OG0000297	WP_035154867.1	WP_096619903.1
OG0000298	WP_035155069.1	WP_096621193.1
OG0000298	WP_082127275.1	WP_096621224.1
OG0000299	WP_035155163.1	WP_096620072.1, WP_096621448.1
OG0000300	WP_035155288.1	WP_096621523.1
OG0000300	WP_035155359.1	WP_096625203.1
OG0000303	WP_035156864.1	WP_096626155.1
OG0000304	WP_035157560.1	WP_096621852.1
OG0000305	WP_035157705.1	WP_096622836.1
OG0000306	WP_035157942.1	WP_096621877.1, WP_096624161.1
OG0000307	WP_035158176.1	WP_096621099.1
OG0000308	WP_035158217.1	WP_096620508.1
OG0000311	WP_201782640.1	WP_157780683.1
OG0000313	WP_082127348.1	WP_096622517.1
OG0000314	WP_144416079.1	WP_096625783.1
OG0000315	WP_201782678.1	WP_096622326.1, WP_157780797.1
OG0000329	WP_035156776.1	WP_096620916.1
OG0000330	WP_035157642.1	WP_231943103.1
OG0000332	WP_035149387.1	WP_096624460.1
OG0000333	WP_035149487.1	WP_096624057.1
OG0000334	WP_035149678.1	WP_096622306.1
OG0000335	WP_035154365.1, WP_035149810.1	WP_096621116.1
OG0000336	WP_046814844.1	WP_096625531.1
OG0000337	WP_035150529.1	WP_096625563.1
OG0000341	WP_035151098.1	WP_096624724.1
OG0000342	WP_035151495.1	WP_096619893.1
OG0000349	WP_256388860.1	WP_255408813.1
OG0000349	WP_035153468.1	WP_096621641.1
OG0000352	WP_035153772.1	WP_231943044.1, WP_096625689.1
OG0000353	WP_035154000.1	WP_096624370.1
OG0000355	WP_035154692.1	WP_096619889.1
OG0000356	WP_035154775.1	WP_096620534.1
OG0000357	WP_035154880.1	WP_096620531.1
OG0000358	WP_035157656.1	WP_096622793.1
OG0000358	WP_035154937.1	WP_096621284.1
OG0000359	WP_035158155.1	WP_096622055.1
OG0000360	WP_035155909.1	WP_096621857.1
OG0000361	WP_035155929.1	WP_096621397.1, WP_096621015.1, WP_096624975.1
OG0000362	WP_035156013.1	WP_096622504.1, WP_157780746.1
OG0000363	WP_035156394.1	WP_096622453.1
OG0000364	WP_035157026.1	WP_157780741.1, WP_157780652.1
OG0000365	WP_035157393.1, WP_035159127.1	WP_096621022.1
OG0000366	WP_035158055.1, WP_035158054.1	WP_096623878.1
OG0000367	WP_035158218.1	WP_096620784.1
OG0000367	WP_035158095.1	WP_096620130.1
OG0000368	WP_035158206.1	WP_096622220.1
OG0000369	WP_035158306.1	WP_096625617.1
OG0000374	WP_035159130.1	WP_096623989.1
OG0000375	WP_035159393.1	WP_096626291.1
OG0000376	WP_035159438.1	WP_096621257.1
OG0000379	WP_046814744.1	WP_096619891.1
OG0000380	WP_046814825.1	WP_231943049.1, WP_096623936.1, WP_096624959.1
OG0000381	WP_046814904.1	WP_096621689.1
OG0000382	WP_046814916.1	WP_255408924.1, WP_231943349.1, WP_231943351.1, WP_096620634.1
OG0000383	WP_052754475.1	WP_096619935.1
OG0000384	WP_052754481.1, WP_144416053.1	WP_096619831.1
OG0000385	WP_052754505.1	WP_096620813.1
OG0000387	WP_082127229.1	WP_096620039.1
OG0000389	WP_082127368.1	WP_096623008.1
OG0000408	WP_035148869.1	WP_231943277.1
OG0000410	WP_035149079.1	WP_096620200.1, WP_096623784.1
OG0000411	WP_035158320.1, WP_035151384.1, WP_035149152.1	WP_096620898.1
OG0000412	WP_035149438.1, WP_144416039.1	WP_096622646.1
OG0000413	WP_035149445.1	WP_096622338.1, WP_096620042.1, WP_096621875.1
OG0000414	WP_035149524.1, WP_035150205.1	WP_157780610.1
OG0000415	WP_035149538.1	WP_096622255.1
OG0000416	WP_035149656.1	WP_096623641.1
OG0000417	WP_035149703.1	WP_096620265.1
OG0000418	WP_035149753.1	WP_096624428.1
OG0000419	WP_035149847.1, WP_046814864.1	WP_096623862.1
OG0000422	WP_035149965.1	WP_231943217.1
OG0000426	WP_035150944.1, WP_035150341.1	WP_096622285.1
OG0000427	WP_035150351.1	WP_096620316.1, WP_096624991.1
OG0000428	WP_035150376.1	WP_096624179.1
OG0000430	WP_035150772.1	WP_096622272.1
OG0000431	WP_035150834.1	WP_096624491.1, WP_096621294.1
OG0000432	WP_035150957.1	WP_096622735.1
OG0000434	WP_035151064.1	WP_096623408.1
OG0000435	WP_035154672.1	WP_096621653.1
OG0000438	WP_035151677.1, WP_035157267.1	WP_096620521.1
OG0000443	WP_035158062.1	WP_096623630.1
OG0000445	WP_035153006.1	WP_096625519.1
OG0000446	WP_035154241.1	WP_096623715.1
OG0000447	WP_035153233.1	WP_096626601.1
OG0000448	WP_035158111.1, WP_035153357.1	WP_096626607.1
OG0000449	WP_035153429.1	WP_096620620.1
OG0000450	WP_035153724.1	WP_096621007.1
OG0000453	WP_035153901.1	WP_096625075.1
OG0000454	WP_035153924.1	WP_096622586.1
OG0000455	WP_035153980.1	WP_096620482.1
OG0000457	WP_035157017.1	WP_096620865.1
OG0000458	WP_035154037.1	WP_096621181.1
OG0000459	WP_035154110.1	WP_096626457.1
OG0000460	WP_035154203.1	WP_096620575.1, WP_096620623.1
OG0000461	WP_035154206.1	WP_096620574.1
OG0000462	WP_035154211.1	WP_096625353.1
OG0000463	WP_035154404.1	WP_096623192.1
OG0000464	WP_035154407.1	WP_096621237.1, WP_096623190.1
OG0000465	WP_035154409.1	WP_096623188.1
OG0000466	WP_035154413.1	WP_096623184.1
OG0000467	WP_035154473.1	WP_096622177.1
OG0000468	WP_035154554.1	WP_096623621.1
OG0000469	WP_035154566.1	WP_096623816.1
OG0000470	WP_035154595.1	WP_096622202.1
OG0000472	WP_035154663.1	WP_096622556.1
OG0000473	WP_035154823.1	WP_096624937.1
OG0000474	WP_035155037.1	WP_096620966.1
OG0000475	WP_035155390.1	WP_096623254.1, WP_096623298.1
OG0000476	WP_035155391.1	WP_096623294.1
OG0000477	WP_035155407.1	WP_096622648.1
OG0000478	WP_035157481.1	WP_096624109.1
OG0000479	WP_035155635.1	WP_096623342.1
OG0000480	WP_035155665.1	WP_096623316.1
OG0000481	WP_035155690.1	WP_096621275.1
OG0000482	WP_035156003.1	WP_096624382.1, WP_096625195.1
OG0000483	WP_035156345.1	WP_096625952.1
OG0000484	WP_035156588.1	WP_255408906.1
OG0000485	WP_035157290.1	WP_096620803.1
OG0000486	WP_035157784.1	WP_231943142.1, WP_096621117.1
OG0000487	WP_035157850.1	WP_096622564.1
OG0000488	WP_035157988.1	WP_096623034.1
OG0000489	WP_035158015.1	WP_096624887.1
OG0000491	WP_035158124.1	WP_096623280.1
OG0000492	WP_035158799.1	WP_096625296.1
OG0000493	WP_035159065.1	WP_096624115.1
OG0000494	WP_035159108.1	WP_096625880.1
OG0000495	WP_035159514.1	WP_096621502.1
OG0000497	WP_046814816.1	WP_231943320.1
OG0000497	WP_046814808.1	WP_096625077.1
OG0000498	WP_046814866.1	WP_096620392.1
OG0000503	WP_144415985.1	WP_197707018.1
OG0000504	WP_144416036.1	WP_096620491.1, WP_096619923.1, WP_096619812.1
OG0000505	WP_144416084.1	WP_096625966.1
OG0000505	WP_201782715.1	WP_096620329.1
OG0000506	WP_168163516.1	WP_096623402.1
OG0000507	WP_238178441.1	WP_009457224.1
OG0000554	WP_008226419.1	WP_096622127.1
OG0000555	WP_035148948.1	WP_096623288.1
OG0000556	WP_035149096.1	WP_096624634.1
OG0000557	WP_035153602.1	WP_096622880.1
OG0000558	WP_035149463.1	WP_096621328.1
OG0000560	WP_035149611.1	WP_096620937.1
OG0000563	WP_035149766.1	WP_096620914.1
OG0000564	WP_035149799.1	WP_096620033.1
OG0000565	WP_035149802.1	WP_096620032.1
OG0000566	WP_035149962.1, WP_035150649.1	WP_096621518.1
OG0000567	WP_035150155.1	WP_096621126.1
OG0000568	WP_035150187.1	WP_096620065.1
OG0000569	WP_035150386.1	WP_096622442.1
OG0000570	WP_035150492.1, WP_144416014.1	WP_096621776.1
OG0000571	WP_035151249.1, WP_082127345.1, WP_035150548.1	WP_096621850.1
OG0000573	WP_035150656.1	WP_096620988.1
OG0000574	WP_035150701.1	WP_096621817.1
OG0000575	WP_035150804.1	WP_096626381.1
OG0000576	WP_035150903.1	WP_096624241.1
OG0000577	WP_035151014.1	WP_231943507.1
OG0000578	WP_052754404.1	WP_096620325.1
OG0000580	WP_035151202.1, WP_035152749.1, WP_238178369.1	WP_096624612.1
OG0000581	WP_035151337.1	WP_096622717.1
OG0000582	WP_035151606.1, WP_035151692.1	WP_096621734.1
OG0000583	WP_035153948.1, WP_035156166.1, WP_035151701.1	WP_096625697.1
OG0000589	WP_035158892.1, WP_035152154.1	WP_096622489.1
OG0000590	WP_035153266.1	WP_096624005.1
OG0000594	WP_035152723.1, WP_035155175.1	WP_096619975.1
OG0000595	WP_035152838.1, WP_238178421.1	WP_096622536.1
OG0000596	WP_035157036.1	WP_096624131.1
OG0000597	WP_035153235.1	WP_096625687.1
OG0000598	WP_035153298.1	WP_231943268.1
OG0000599	WP_035153361.1	WP_096625707.1, WP_231943120.1
OG0000600	WP_035153411.1	WP_096623368.1
OG0000602	WP_035153651.1	WP_096625312.1
OG0000603	WP_035153742.1	WP_096620230.1
OG0000605	WP_035153856.1	WP_096624813.1
OG0000606	WP_035154062.1	WP_096624127.1
OG0000607	WP_035154063.1	WP_096624121.1
OG0000608	WP_035154081.1	WP_096622543.1
OG0000609	WP_035154156.1	WP_096624708.1
OG0000610	WP_035154636.1, WP_035154208.1	WP_096626185.1
OG0000611	WP_035154257.1	WP_096623400.1
OG0000612	WP_035154266.1	WP_231943052.1
OG0000613	WP_035154393.1	WP_096623382.1
OG0000614	WP_035154527.1	WP_096624680.1
OG0000615	WP_035154531.1	WP_096624221.1
OG0000616	WP_035154557.1	WP_096620060.1
OG0000617	WP_035154643.1	WP_096624344.1
OG0000618	WP_201782714.1, WP_035154649.1	WP_096622974.1
OG0000619	WP_035154664.1	WP_096621047.1
OG0000620	WP_035154928.1	WP_096625653.1
OG0000621	WP_035155031.1	WP_096621176.1
OG0000622	WP_052754539.1, WP_035155064.1	WP_096621195.1
OG0000623	WP_035155158.1	WP_096624223.1
OG0000624	WP_035155276.1	WP_096621490.1
OG0000625	WP_035156986.1	WP_231943070.1
OG0000625	WP_035155293.1	WP_096620333.1
OG0000626	WP_035155501.1	WP_096624517.1
OG0000628	WP_035155564.1	WP_096622862.1
OG0000629	WP_035155734.1	WP_096621295.1
OG0000629	WP_046814827.1	WP_096619861.1
OG0000630	WP_035155861.1	WP_096621465.1
OG0000631	WP_035156007.1	WP_096624827.1
OG0000632	WP_035156017.1	WP_096624825.1
OG0000633	WP_035156056.1	WP_096624163.1
OG0000634	WP_035156064.1	WP_096622918.1
OG0000635	WP_035156128.1, WP_035159375.1	WP_096624167.1
OG0000636	WP_035156263.1	WP_096625171.1
OG0000637	WP_035156361.1	WP_096621147.1
OG0000638	WP_035156380.1	WP_096623523.1
OG0000639	WP_035156498.1	WP_096620171.1
OG0000640	WP_035156619.1	WP_096620989.1
OG0000641	WP_035156660.1	WP_096621771.1
OG0000642	WP_035156682.1	WP_096621843.1
OG0000643	WP_035156796.1	WP_096622561.1
OG0000644	WP_035156811.1	WP_197707050.1
OG0000646	WP_035157119.1	WP_096622773.1
OG0000647	WP_035157204.1	WP_096621220.1
OG0000648	WP_035157310.1	WP_096623284.1
OG0000650	WP_035157721.1	WP_096621166.1, WP_096621317.1
OG0000651	WP_035157725.1, WP_046814955.1	WP_096621171.1
OG0000652	WP_035157744.1	WP_096621919.1
OG0000653	WP_035157975.1	WP_096626424.1
OG0000654	WP_035158171.1	WP_096623445.1
OG0000656	WP_035158427.1	WP_096623539.1
OG0000657	WP_035158471.1	WP_231943306.1
OG0000658	WP_035158886.1	WP_096624111.1
OG0000659	WP_035159183.1	WP_096623910.1
OG0000663	WP_201782634.1	WP_096621909.1
OG0000665	WP_082127264.1	WP_096623832.1
OG0000666	WP_082127292.1	WP_096619817.1
OG0000668	WP_144416044.1	WP_096624678.1
OG0000669	WP_144416120.1	WP_096626428.1
OG0000670	WP_168163489.1	WP_096620663.1
OG0000671	WP_201782683.1	WP_197707036.1
OG0000672	WP_238178384.1	WP_096624169.1
OG0000673	WP_238178432.1	WP_157780668.1
OG0000676	WP_238178540.1	WP_096620370.1, WP_096625936.1
OG0000677	WP_238178546.1	WP_172892734.1
OG0000740	WP_035148859.1	WP_096620778.1
OG0000741	WP_035148871.1	WP_096621187.1
OG0000742	WP_035148894.1	WP_096622775.1, WP_096620821.1
OG0000743	WP_035148951.1	WP_096622606.1
OG0000744	WP_035148965.1	WP_096625099.1
OG0000745	WP_035148967.1	WP_231943513.1
OG0000746	WP_035148968.1	WP_096625103.1
OG0000747	WP_035148971.1	WP_096625105.1
OG0000749	WP_035149038.1	WP_096622014.1
OG0000750	WP_035149061.1	WP_096625597.1
OG0000751	WP_035149090.1	WP_096625432.1
OG0000752	WP_035149115.1	WP_096623264.1
OG0000753	WP_035149116.1	WP_096621316.1
OG0000754	WP_035149160.1	WP_096621944.1
OG0000755	WP_035149179.1	WP_096620812.1
OG0000756	WP_035149269.1	WP_096625087.1
OG0000757	WP_035149294.1	WP_096620886.1
OG0000758	WP_035149310.1, WP_035155249.1	WP_096620345.1
OG0000759	WP_035149312.1	WP_096621987.1
OG0000760	WP_035149372.1	WP_096621355.1
OG0000761	WP_035149382.1	WP_096622576.1
OG0000762	WP_035149425.1	WP_096623208.1
OG0000763	WP_035149451.1	WP_096625310.1
OG0000764	WP_035149460.1	WP_096621329.1
OG0000765	WP_035149496.1	WP_096626311.1
OG0000766	WP_035149613.1	WP_096624861.1
OG0000768	WP_035149652.1	WP_096623374.1, WP_096623290.1
OG0000769	WP_035149685.1	WP_096624965.1
OG0000770	WP_035149750.1	WP_096620730.1
OG0000771	WP_035149756.1	WP_096621110.1, WP_096620164.1
OG0000772	WP_035149774.1	WP_096620913.1
OG0000773	WP_035149878.1, WP_035157793.1	WP_096621214.1
OG0000774	WP_035149991.1	WP_096621420.1
OG0000775	WP_035150139.1	WP_096623467.1
OG0000776	WP_035150229.1	WP_096625823.1, WP_096620820.1
OG0000777	WP_035150346.1	WP_096621887.1
OG0000778	WP_035150354.1	WP_096620632.1
OG0000779	WP_035151120.1, WP_035150401.1	WP_096625546.1
OG0000780	WP_035150455.1	WP_096622928.1
OG0000781	WP_035150482.1	WP_096624151.1
OG0000782	WP_035150517.1	WP_096621174.1
OG0000783	WP_035150521.1	WP_096620240.1
OG0000784	WP_035150535.1	WP_096624791.1
OG0000785	WP_035150562.1	WP_096621940.1
OG0000786	WP_035150588.1	WP_096623770.1
OG0000787	WP_035152241.1	WP_096625892.1
