Orthogroup	336-3	PCC_7716
OG0000094	WP_035150681.1	WP_224174217.1, WP_224179016.1
OG0000096	WP_035151000.1, WP_082127304.1	WP_224176947.1
OG0000097	WP_035155760.1, WP_052754507.1, WP_035155826.1, WP_035151292.1, WP_035154381.1, WP_035159250.1	WP_224175129.1
OG0000098	WP_035151405.1	WP_223977965.1, WP_223984341.1, WP_223984344.1, WP_223977551.1
OG0000099	WP_035153732.1	WP_019492617.1
OG0000099	WP_035158040.1	WP_223977250.1
OG0000100	WP_035155005.1	WP_224177735.1
OG0000100	WP_035153872.1	WP_224176183.1, WP_224176805.1, WP_224177308.1, WP_224179511.1
OG0000101	WP_035154609.1	WP_224175326.1, WP_224175534.1
OG0000103	WP_035156385.1	WP_224175390.1, WP_224175783.1, WP_224176238.1, WP_223979153.1, WP_224175511.1
OG0000104	WP_035156463.1	WP_224177397.1
OG0000105	WP_035157647.1	WP_224179332.1
OG0000106	WP_046815063.1	WP_223972896.1, WP_223979896.1, WP_224178817.1
OG0000107	WP_052754568.1	WP_224174252.1, WP_224174247.1, WP_224174486.1, WP_224174922.1
OG0000108	WP_238178553.1	WP_224175588.1
OG0000113	WP_035149694.1	WP_223985252.1
OG0000113	WP_035154492.1	WP_224177188.1
OG0000115	WP_144415962.1	WP_224179057.1, WP_223988232.1
OG0000115	WP_035149852.1	WP_224175980.1
OG0000116	WP_035154121.1	WP_224177328.1
OG0000117	WP_035150309.1	WP_224175063.1
OG0000118	WP_082127397.1, WP_035153754.1	WP_224177062.1
OG0000119	WP_035151079.1	WP_224175102.1
OG0000119	WP_035154725.1, WP_035154730.1	WP_224179173.1
OG0000119	WP_035157620.1	WP_224174225.1
OG0000120	WP_035151973.1	WP_224175693.1, WP_224175925.1, WP_224178961.1, WP_224174935.1, WP_224174936.1, WP_224180050.1
OG0000121	WP_035152024.1	WP_223980800.1
OG0000122	WP_035152324.1	WP_223979269.1
OG0000122	WP_035153894.1, WP_035153886.1	WP_223976655.1
OG0000123	WP_035152576.1	WP_224177833.1
OG0000123	WP_052754360.1	WP_224179025.1
OG0000123	WP_035155825.1	WP_224176912.1
OG0000124	WP_035153186.1	WP_223989773.1
OG0000125	WP_035153391.1	WP_224179105.1
OG0000126	WP_035154162.1	WP_224175147.1, WP_224179720.1, WP_223978658.1
OG0000127	WP_035155529.1	WP_223972420.1
OG0000127	WP_035158269.1	WP_224174855.1, WP_224176632.1, WP_223977360.1
OG0000127	WP_035154415.1	WP_224175285.1
OG0000129	WP_035158140.1	WP_224174658.1
OG0000129	WP_035155060.1	WP_223990056.1
OG0000130	WP_035155062.1	WP_223990054.1
OG0000130	WP_035156030.1	WP_127080712.1
OG0000131	WP_035155567.1	WP_224174714.1, WP_224175788.1, WP_224175463.1
OG0000132	WP_035156053.1	WP_223976445.1
OG0000132	WP_035156132.1	WP_224176839.1
OG0000133	WP_035157032.1	WP_224180444.1, WP_224179443.1
OG0000135	WP_052754340.1	WP_223987993.1
OG0000136	WP_046815075.1, WP_238178468.1	WP_224179835.1
OG0000136	WP_238178469.1	WP_224179669.1
OG0000137	WP_082127243.1	WP_223978632.1
OG0000143	WP_035148954.1	WP_224175011.1
OG0000144	WP_035149691.1	WP_224179420.1
OG0000144	WP_035154490.1	WP_224177189.1
OG0000145	WP_238178445.1	WP_224174977.1, WP_224175706.1, WP_224174308.1, WP_224174305.1, WP_224178096.1
OG0000146	WP_238178549.1	WP_224174149.1, WP_224180122.1
OG0000146	WP_035149977.1	WP_224179803.1, WP_224179814.1
OG0000147	WP_035150325.1	WP_224175871.1, WP_224175877.1, WP_224175811.1, WP_224174050.1
OG0000148	WP_035150527.1	WP_223978113.1
OG0000149	WP_035151196.1, WP_035151195.1	WP_224176792.1, WP_223973608.1
OG0000149	WP_035151197.1	WP_223972789.1
OG0000150	WP_035151317.1	WP_224179287.1
OG0000151	WP_035151908.1	WP_224175819.1
OG0000151	WP_035158776.1, WP_035151648.1	WP_224175641.1
OG0000152	WP_035151980.1	WP_224178959.1
OG0000153	WP_035153883.1	WP_223976657.1
OG0000153	WP_035152326.1, WP_035153692.1, WP_035153892.1	WP_223979267.1
OG0000154	WP_035152465.1	WP_224178820.1, WP_224177132.1
OG0000155	WP_035153896.1, WP_035153694.1, WP_035158986.1	WP_223976653.1
OG0000155	WP_035153898.1, WP_035153696.1	WP_223976651.1
OG0000156	WP_035153929.1	WP_019495073.1, WP_223972235.1
OG0000157	WP_035154188.1	WP_223986868.1
OG0000157	WP_238178389.1, WP_082127374.1	WP_224176484.1, WP_223978134.1
OG0000158	WP_035154368.1	WP_223987781.1
OG0000159	WP_256388870.1, WP_035155480.1, WP_046814686.1, WP_035156635.1	WP_224175416.1
OG0000160	WP_035156214.1	WP_224176927.1, WP_224177879.1, WP_224177802.1
OG0000161	WP_035156474.1	WP_224174192.1, WP_223977304.1, WP_224175808.1, WP_224179966.1, WP_224179207.1
OG0000162	WP_035159299.1	WP_224179060.1, WP_224175869.1, WP_224175863.1
OG0000163	WP_035159330.1	WP_224178051.1, WP_223977014.1
OG0000164	WP_046814697.1	WP_224176177.1, WP_224175423.1
OG0000164	WP_238178357.1	WP_224177636.1
OG0000165	WP_052754461.1	WP_223972738.1, WP_224175741.1, WP_224179955.1
OG0000166	WP_238178417.1	WP_224175422.1, WP_224177144.1
OG0000166	WP_082127347.1	WP_224177637.1
OG0000167	WP_238178455.1, WP_238178470.1	WP_224175653.1, WP_224179826.1, WP_224180248.1
OG0000168	WP_256388866.1	WP_224177664.1
OG0000176	WP_035148903.1	WP_255666525.1
OG0000176	WP_035153450.1	WP_223988207.1
OG0000177	WP_035149974.1	WP_224180014.1, WP_224174598.1, WP_224179347.1, WP_224175833.1, WP_224179346.1, WP_224178235.1
OG0000179	WP_035150416.1	WP_224176284.1, WP_223991183.1
OG0000179	WP_035150414.1	WP_223979635.1
OG0000180	WP_035150451.1	WP_223983820.1
OG0000180	WP_238178533.1	WP_224179717.1
OG0000181	WP_035158135.1	WP_224179563.1
OG0000181	WP_035150568.1	WP_223978294.1
OG0000182	WP_035150570.1	WP_223990677.1
OG0000182	WP_035154485.1	WP_223975632.1, WP_223971023.1
OG0000183	WP_035150723.1	WP_223973684.1
OG0000183	WP_035152191.1	WP_223986890.1
OG0000184	WP_035151238.1	WP_224177835.1
OG0000185	WP_035154853.1	WP_223971187.1, WP_224179157.1, WP_223986919.1, WP_224176053.1
OG0000186	WP_035151527.1	WP_224177014.1
OG0000187	WP_035151970.1	WP_224175694.1, WP_224175924.1, WP_224178962.1
OG0000188	WP_035157558.1	WP_223975012.1
OG0000188	WP_035153623.1	WP_223991283.1
OG0000189	WP_035157046.1	WP_224180311.1
OG0000189	WP_035153785.1, WP_052754443.1, WP_035158161.1	WP_223986132.1
OG0000190	WP_035153989.1	WP_223989718.1, WP_223989716.1
OG0000190	WP_035159035.1	WP_223983301.1
OG0000191	WP_035156226.1	WP_223990842.1
OG0000191	WP_035154311.1	WP_224179498.1
OG0000192	WP_035154423.1	WP_224179601.1, WP_224179700.1, WP_224179629.1, WP_224177060.1, WP_224174070.1, WP_224180233.1, WP_224176981.1, WP_223971455.1
OG0000193	WP_035155140.1	WP_224176462.1, WP_224177212.1
OG0000194	WP_035155345.1	WP_224177277.1, WP_224178910.1, WP_224179628.1
OG0000195	WP_035155586.1	WP_255666550.1, WP_223977840.1, WP_223978868.1
OG0000196	WP_035156157.1	WP_224178065.1, WP_224178074.1
OG0000196	WP_035156154.1	WP_224178073.1
OG0000197	WP_035157311.1	WP_224177011.1
OG0000198	WP_035158024.1	WP_223976255.1, WP_223989373.1
OG0000199	WP_035158137.1	WP_223978968.1
OG0000200	WP_035158413.1	WP_223978775.1
OG0000201	WP_035158762.1	WP_224175942.1
OG0000201	WP_238178467.1	WP_224175675.1, WP_224180223.1
OG0000202	WP_035159851.1	WP_224175589.1
OG0000203	WP_046814732.1	WP_224176841.1, WP_224177401.1, WP_223977804.1, WP_224174661.1
OG0000204	WP_046814911.1	WP_223990833.1, WP_224179259.1, WP_224179258.1
OG0000205	WP_052754436.1	WP_224175992.1, WP_223978679.1
OG0000206	WP_052754503.1	WP_224179167.1
OG0000207	WP_256388803.1	WP_224175683.1
OG0000215	WP_035149181.1	WP_223974393.1
OG0000215	WP_035149182.1	WP_223977116.1
OG0000216	WP_035149190.1	WP_223989944.1
OG0000217	WP_035149273.1	WP_223985893.1
OG0000217	WP_035156431.1	WP_223981824.1
OG0000218	WP_035149618.1	WP_224177823.1
OG0000219	WP_035149676.1	WP_224178325.1
OG0000220	WP_035149787.1, WP_035152108.1	WP_223987025.1
OG0000221	WP_035149831.1	WP_224175479.1
OG0000222	WP_035150080.1	WP_223990522.1
OG0000223	WP_046814742.1	WP_224177607.1
OG0000224	WP_035151005.1	WP_223971838.1
OG0000224	WP_035151093.1	WP_224176243.1, WP_223979255.1
OG0000225	WP_035151227.1	WP_224177438.1
OG0000225	WP_035151223.1	WP_223976806.1
OG0000226	WP_035151609.1	WP_224179534.1
OG0000226	WP_046814768.1	WP_224176319.1
OG0000227	WP_035151674.1, WP_046814778.1	WP_223989948.1, WP_224179020.1, WP_223990385.1
OG0000228	WP_035151966.1	WP_224175688.1, WP_224175919.1, WP_224178964.1
OG0000229	WP_035152349.1	WP_224176248.1
OG0000229	WP_035152216.1	WP_223979312.1
OG0000229	WP_035152254.1, WP_035152207.1	WP_223979467.1
OG0000229	WP_035152303.1	WP_224176245.1, WP_255666558.1, WP_224176254.1
OG0000230	WP_035152915.1, WP_035158039.1	WP_224176329.1, WP_223979898.1
OG0000231	WP_035153103.1	WP_223972732.1, WP_224176820.1, WP_224177675.1, WP_224178239.1
OG0000233	WP_035153631.1	WP_224178852.1, WP_223975317.1, WP_223975319.1
OG0000234	WP_035154629.1	WP_224180522.1
OG0000234	WP_035153684.1	WP_224177104.1
OG0000235	WP_035154014.1	WP_223989321.1, WP_224177481.1
OG0000236	WP_035154616.1	WP_223975137.1
OG0000237	WP_035154679.1	WP_223979947.1, WP_223990711.1, WP_224178705.1, WP_223990713.1, WP_224179570.1
OG0000238	WP_201782636.1	WP_223986124.1
OG0000238	WP_035155286.1	WP_223976586.1
OG0000239	WP_035156163.1	WP_224174164.1
OG0000239	WP_035155774.1	WP_223983681.1
OG0000240	WP_035156391.1	WP_223973627.1
OG0000241	WP_238178383.1	WP_224177088.1
OG0000242	WP_082127449.1	WP_224176848.1
OG0000242	WP_035156842.1	WP_223987035.1
OG0000243	WP_052754399.1	WP_223978075.1
OG0000243	WP_046814889.1	WP_224177334.1
OG0000243	WP_035157939.1	WP_223981437.1
OG0000244	WP_035158786.1	WP_019495095.1, WP_224179673.1, WP_224180131.1
OG0000245	WP_035159822.1	WP_224174262.1, WP_224179620.1
OG0000246	WP_046814841.1	WP_223980084.1, WP_224177016.1, WP_224177017.1
OG0000247	WP_052754421.1	WP_224175661.1, WP_224179834.1, WP_224180240.1
OG0000248	WP_082127248.1	WP_224174036.1, WP_224176919.1
OG0000262	WP_035148910.1	WP_224175260.1, WP_224178605.1, WP_223975392.1
OG0000263	WP_035149049.1, WP_046814698.1	WP_224174004.1
OG0000263	WP_238178537.1	WP_223978256.1
OG0000264	WP_035159156.1	WP_224177046.1
OG0000264	WP_035149072.1	WP_224177988.1
OG0000265	WP_035149199.1	WP_223987342.1
OG0000266	WP_035149508.1	WP_223989798.1
OG0000267	WP_035149731.1	WP_224179041.1
OG0000268	WP_035153383.1	WP_224179114.1, WP_224180115.1
OG0000269	WP_035157644.1	WP_127080768.1
OG0000269	WP_035149841.1	WP_223977721.1
OG0000270	WP_035150782.1	WP_223989688.1
OG0000270	WP_035149903.1	WP_223989690.1
OG0000271	WP_035149993.1	WP_224178107.1
OG0000272	WP_035149994.1	WP_223985650.1, WP_255667702.1
OG0000273	WP_035150267.1	WP_224179965.1, WP_224175809.1
OG0000274	WP_035150269.1	WP_224179964.1, WP_224175810.1
OG0000275	WP_035150682.1	WP_224175762.1, WP_223970817.1, WP_224175135.1, WP_255666798.1, WP_224179013.1, WP_224174218.1, WP_224179014.1
OG0000276	WP_035151492.1	WP_223986147.1
OG0000277	WP_035150947.1	WP_224174178.1
OG0000277	WP_035157019.1	WP_224175886.1, WP_223973692.1, WP_224178685.1
OG0000278	WP_035151068.1	WP_223971684.1
OG0000279	WP_035151512.1	WP_223971235.1
OG0000279	WP_035151517.1, WP_035151071.1	WP_224179164.1
OG0000280	WP_035151083.1	WP_223972787.1, WP_224179174.1
OG0000280	WP_035157622.1	WP_223970897.1
OG0000281	WP_035151107.1	WP_224173941.1
OG0000281	WP_035152038.1	WP_224174236.1
OG0000282	WP_035151131.1	WP_019489143.1, WP_127082743.1
OG0000283	WP_035154578.1	WP_223970687.1
OG0000283	WP_035151403.1	WP_224177671.1
OG0000284	WP_035151962.1	WP_127085653.1, WP_224179671.1, WP_224178950.1, WP_224175929.1
OG0000285	WP_035151998.1	WP_224175275.1
OG0000285	WP_035155543.1	WP_224174816.1
OG0000286	WP_168163444.1	WP_224174351.1
OG0000286	WP_046814761.1, WP_035152400.1	WP_224178955.1, WP_224175860.1
OG0000287	WP_035153243.1	WP_224175096.1, WP_223980676.1, WP_224177378.1, WP_224178099.1
OG0000288	WP_035153583.1	WP_224175173.1, WP_224179988.1
OG0000289	WP_035154488.1	WP_223975620.1
OG0000290	WP_035154532.1	WP_223976565.1, WP_223976558.1, WP_224175334.1
OG0000291	WP_035154538.1	WP_127079227.1, WP_223977871.1
OG0000292	WP_035154597.1	WP_224179255.1
OG0000292	WP_035156623.1	WP_224176941.1
OG0000293	WP_035154630.1	WP_224180494.1
OG0000293	WP_082127321.1	WP_224175246.1
OG0000294	WP_035154637.1	WP_224178035.1
OG0000295	WP_035154857.1	WP_224177022.1
OG0000296	WP_035154862.1	WP_223980095.1
OG0000297	WP_035154867.1	WP_223980093.1
OG0000298	WP_035155069.1	WP_224176357.1
OG0000298	WP_082127275.1	WP_224177953.1
OG0000299	WP_035155163.1	WP_223973758.1, WP_224175092.1, WP_223986137.1
OG0000300	WP_035155288.1	WP_224177493.1
OG0000300	WP_035155359.1	WP_223991197.1
OG0000301	WP_035155601.1	WP_223977016.1
OG0000302	WP_035155891.1	WP_223985821.1
OG0000303	WP_035156864.1	WP_223987749.1, WP_019492657.1, WP_127080273.1
OG0000304	WP_035157560.1	WP_223986091.1
OG0000305	WP_035157705.1	WP_223983133.1
OG0000306	WP_035157942.1	WP_255667736.1, WP_223990005.1
OG0000307	WP_035158176.1	WP_223975188.1, WP_224175378.1
OG0000308	WP_035158217.1	WP_224175753.1, WP_223970254.1
OG0000309	WP_035158744.1	WP_224178936.1, WP_224175723.1
OG0000310	WP_035160005.1	WP_224178644.1
OG0000310	WP_035158990.1	WP_224173980.1
OG0000312	WP_052754540.1	WP_224174287.1, WP_224180019.1
OG0000313	WP_082127348.1	WP_224177020.1
OG0000314	WP_144416079.1	WP_223970887.1, WP_224175201.1
OG0000315	WP_201782678.1	WP_224177739.1, WP_224176198.1, WP_223985550.1
OG0000329	WP_035156776.1	WP_223977312.1
OG0000329	WP_035148999.1	WP_224179681.1, WP_223977342.1
OG0000330	WP_035157642.1	WP_224176581.1
OG0000330	WP_035149338.1	WP_223984867.1
OG0000331	WP_035149370.1	WP_223977372.1, WP_224178697.1
OG0000332	WP_035149387.1	WP_223989487.1
OG0000333	WP_035149487.1	WP_224175093.1
OG0000334	WP_035149678.1	WP_224175273.1, WP_224179416.1
OG0000335	WP_035154365.1	WP_223975435.1
OG0000335	WP_035149810.1	WP_224174096.1
OG0000336	WP_035150431.1	WP_223985712.1
OG0000336	WP_046814844.1	WP_223974063.1
OG0000337	WP_035150529.1	WP_224178315.1, WP_224175513.1
OG0000338	WP_052754371.1, WP_035150556.1	WP_224178157.1, WP_224175917.1
OG0000340	WP_035151049.1	WP_223971596.1, WP_223971566.1
OG0000341	WP_035151098.1	WP_224176193.1
OG0000342	WP_035151495.1	WP_223983829.1
OG0000343	WP_035151823.1, WP_035152422.1, WP_035153158.1	WP_224179805.1, WP_224174391.1
OG0000344	WP_035153038.1	WP_224175258.1
OG0000345	WP_035151946.1	WP_224175858.1
OG0000346	WP_035152065.1, WP_238178454.1	WP_224175656.1
OG0000347	WP_035155854.1	WP_224177219.1
OG0000348	WP_035153178.1	WP_224177087.1, WP_224177554.1, WP_224175875.1, WP_223983298.1
OG0000350	WP_035153655.1	WP_224176324.1
OG0000351	WP_035153770.1	WP_224177470.1
OG0000352	WP_035153772.1	WP_223978314.1, WP_223979201.1
OG0000353	WP_035154000.1	WP_223974719.1, WP_223976669.1
OG0000354	WP_035154504.1	WP_224177184.1
OG0000355	WP_035154692.1	WP_223977223.1, WP_223976667.1, WP_223974721.1
OG0000356	WP_035154775.1	WP_224176963.1
OG0000357	WP_035154880.1	WP_223989937.1
OG0000358	WP_035154937.1	WP_223981134.1
OG0000360	WP_035155909.1	WP_224175799.1, WP_224178902.1
OG0000361	WP_035155929.1	WP_255667709.1
OG0000362	WP_035156011.1	WP_224176552.1
OG0000363	WP_035156394.1	WP_223973134.1, WP_223979877.1
OG0000364	WP_035157026.1	WP_223987727.1, WP_223987729.1
OG0000365	WP_035157393.1	WP_224177728.1
OG0000366	WP_035158055.1, WP_035158054.1	WP_223971085.1
OG0000367	WP_035158218.1	WP_224175046.1
