Orthogroup	NIES-4105	336-3
OG0000044	WP_096689017.1	WP_035153674.1
OG0000045	WP_096689840.1, WP_096690762.1, WP_096690430.1, WP_096694068.1, WP_096692344.1, WP_096692269.1, WP_096690361.1, WP_096690567.1	WP_035158023.1
OG0000046	WP_096695068.1, WP_096695177.1, WP_096695227.1	WP_238178519.1
OG0000047	WP_096689515.1	WP_035150182.1
OG0000047	WP_096689516.1, WP_096689517.1	WP_035150177.1, WP_035150174.1
OG0000048	WP_096686066.1	WP_035151117.1
OG0000048	WP_096687766.1	WP_035150264.1
OG0000048	WP_096693169.1, WP_096693327.1	WP_046814715.1
OG0000050	WP_096694076.1, WP_096694292.1, WP_096689762.1, WP_096694536.1	WP_082127255.1, WP_035154646.1
OG0000051	WP_096688875.1, WP_096691897.1, WP_096692010.1, WP_096687583.1	WP_035156582.1
OG0000052	WP_096695256.1, WP_096695303.1	WP_035151240.1
OG0000053	WP_096689506.1, WP_096691270.1, WP_096692560.1, WP_096691287.1	WP_035150200.1
OG0000053	WP_096694202.1	WP_035149528.1
OG0000054	WP_096691663.1, WP_096691408.1	WP_035152967.1
OG0000055	WP_096683822.1	WP_035152364.1
OG0000056	WP_096683823.1	WP_035152367.1
OG0000056	WP_096692944.1	WP_035159297.1
OG0000057	WP_096687898.1, WP_096687945.1, WP_096688625.1	WP_052754395.1
OG0000057	WP_096689835.1	WP_035152844.1
OG0000059	WP_096691483.1	WP_035156446.1
OG0000059	WP_096692996.1	WP_035150710.1
OG0000059	WP_096692259.1	WP_035148922.1
OG0000060	WP_096692611.1	WP_035149321.1
OG0000060	WP_096689936.1	WP_035148987.1
OG0000060	WP_096695258.1, WP_096695305.1	WP_035151245.1
OG0000061	WP_096689507.1	WP_035150197.1
OG0000061	WP_096688639.1	WP_035149530.1
OG0000062	WP_096688870.1, WP_096687312.1, WP_096683775.1, WP_096690053.1, WP_096684564.1	WP_035150001.1
OG0000063	WP_096684896.1, WP_096686396.1	WP_035153783.1
OG0000063	WP_096686404.1, WP_096686406.1	WP_035153805.1
OG0000064	WP_096690144.1	WP_035154594.1
OG0000064	WP_096692294.1	WP_035156922.1
OG0000065	WP_096690381.1, WP_096689324.1, WP_096692037.1, WP_096688804.1, WP_096693082.1, WP_096690942.1	WP_035157313.1
OG0000066	WP_096688812.1	WP_035149937.1, WP_035148920.1
OG0000067	WP_096688480.1	WP_035150688.1
OG0000067	WP_096688477.1	WP_035150689.1
OG0000068	WP_096686704.1	WP_035153600.1
OG0000068	WP_096690990.1	WP_035150279.1
OG0000072	WP_096690524.1, WP_096690508.1, WP_096686209.1, WP_096689354.1	WP_035157023.1, WP_035150478.1
OG0000073	WP_096689987.1	WP_035154411.1
OG0000073	WP_096690366.1	WP_035153422.1
OG0000075	WP_096691848.1, WP_096691751.1, WP_096688883.1	WP_238178536.1
OG0000076	WP_096691809.1	WP_035155848.1
OG0000076	WP_096690183.1	WP_035149136.1
OG0000077	WP_096693555.1	WP_035149506.1
OG0000077	WP_096694954.1	WP_082127475.1
OG0000078	WP_096685348.1	WP_035149954.1
OG0000078	WP_096694317.1	WP_035153264.1
OG0000079	WP_096690838.1	WP_035150669.1
OG0000080	WP_096685241.1, WP_096692222.1	WP_035154658.1
OG0000080	WP_096693064.1	WP_035151153.1
OG0000081	WP_096692950.1	WP_035151461.1
OG0000081	WP_096688521.1, WP_096691082.1, WP_096690051.1, WP_096689527.1	WP_035152370.1
OG0000082	WP_096692229.1	WP_201782641.1
OG0000082	WP_096684468.1	WP_035152238.1
OG0000083	WP_096686791.1	WP_035152605.1
OG0000084	WP_096692804.1	WP_035153058.1
OG0000084	WP_096689751.1	WP_035157763.1
OG0000085	WP_096687586.1, WP_096683979.1, WP_096691171.1, WP_096694553.1, WP_096689325.1	WP_035153284.1
OG0000086	WP_096687704.1	WP_035155787.1
OG0000086	WP_096690120.1	WP_035153465.1
OG0000087	WP_096688405.1	WP_035154367.1
OG0000088	WP_096693944.1	WP_035157009.1
OG0000088	WP_096685322.1	WP_035157012.1
OG0000091	WP_096685936.1	WP_035148963.1
OG0000092	WP_073623405.1, WP_096694656.1, WP_096694659.1, WP_096694653.1	WP_035149005.1
OG0000095	WP_096688757.1	WP_035150985.1
OG0000096	WP_096692119.1	WP_035151000.1, WP_082127304.1
OG0000097	WP_096685429.1	WP_035155760.1, WP_052754507.1, WP_035155826.1, WP_035151292.1, WP_035154381.1, WP_035159250.1
OG0000097	WP_096684145.1	WP_035155428.1
OG0000098	WP_096692886.1, WP_096689203.1, WP_096689204.1, WP_096692885.1	WP_035151405.1
OG0000099	WP_096690458.1	WP_035153732.1
OG0000099	WP_096692603.1	WP_035158040.1
OG0000100	WP_096689418.1	WP_035155005.1
OG0000100	WP_096689056.1, WP_096693615.1, WP_096692494.1	WP_035153872.1
OG0000101	WP_096684009.1, WP_096684008.1	WP_035154609.1
OG0000103	WP_096693987.1, WP_096684526.1, WP_096684570.1	WP_035156385.1
OG0000104	WP_096689845.1, WP_096694384.1, WP_096692307.1	WP_035156463.1
OG0000106	WP_096686003.1, WP_096690981.1, WP_096693965.1, WP_096693547.1	WP_046815063.1
OG0000107	WP_096694948.1, WP_096694952.1, WP_096695045.1, WP_096695012.1, WP_096694226.1, WP_096693951.1	WP_052754568.1
OG0000108	WP_096684735.1	WP_238178553.1
OG0000112	WP_096692005.1, WP_096692001.1, WP_096692004.1, WP_096692002.1, WP_096692003.1	WP_035149060.1, WP_035149058.1, WP_046814683.1
OG0000113	WP_096686930.1	WP_035149694.1
OG0000113	WP_096691770.1	WP_035154492.1
OG0000115	WP_096686318.1, WP_096686316.1	WP_144415962.1
OG0000115	WP_096687830.1	WP_035149852.1
OG0000116	WP_096689510.1	WP_035150190.1
OG0000116	WP_096694413.1	WP_035154121.1
OG0000117	WP_096692162.1, WP_096690423.1, WP_096690422.1, WP_096686669.1, WP_096687887.1	WP_035150309.1
OG0000118	WP_096689873.1	WP_082127397.1, WP_035153754.1, WP_082127279.1, WP_035150560.1
OG0000119	WP_096692778.1, WP_096686097.1	WP_035151079.1
OG0000119	WP_096685918.1	WP_035154725.1, WP_035154730.1
OG0000120	WP_096694599.1	WP_035151973.1
OG0000121	WP_026093300.1	WP_035152024.1
OG0000122	WP_096685630.1	WP_035152324.1
OG0000122	WP_096691879.1	WP_035153894.1, WP_035153886.1
OG0000123	WP_096689519.1	WP_035152576.1
OG0000123	WP_096692184.1	WP_035155825.1
OG0000124	WP_096694507.1	WP_035153186.1
OG0000125	WP_096691748.1	WP_035153391.1
OG0000126	WP_096685474.1, WP_096684420.1, WP_096684119.1, WP_096688878.1	WP_035154162.1
OG0000127	WP_096688585.1	WP_035155529.1
OG0000128	WP_096685195.1, WP_096683891.1	WP_035154869.1
OG0000129	WP_096687448.1	WP_035158140.1
OG0000129	WP_096693249.1	WP_035155060.1
OG0000130	WP_096693247.1	WP_035155062.1
OG0000130	WP_096692703.1	WP_035156030.1
OG0000131	WP_096684148.1	WP_035155567.1
OG0000132	WP_096691013.1	WP_035156053.1
OG0000132	WP_096688510.1	WP_035156132.1
OG0000133	WP_096689558.1	WP_035157032.1
OG0000135	WP_096686870.1	WP_052754340.1, WP_035157565.1
OG0000136	WP_096694809.1	WP_046815075.1, WP_238178468.1
OG0000137	WP_096687829.1	WP_082127243.1
OG0000143	WP_096688298.1	WP_035148954.1
OG0000144	WP_096686932.1	WP_035149691.1
OG0000144	WP_096694464.1	WP_035154490.1
OG0000146	WP_096690433.1, WP_096694169.1	WP_035149977.1
OG0000147	WP_096684304.1, WP_096690531.1, WP_096688127.1	WP_035150325.1
OG0000148	WP_096685293.1	WP_035150527.1
OG0000149	WP_096686088.1	WP_035151196.1, WP_035151195.1
OG0000149	WP_096686092.1	WP_035151197.1
OG0000151	WP_096684210.1	WP_238178472.1, WP_035151908.1, WP_035158776.1, WP_035151648.1
OG0000152	WP_096687894.1, WP_096691628.1, WP_096683736.1	WP_035151980.1
OG0000153	WP_096691880.1	WP_035153883.1
OG0000153	WP_096685632.1	WP_035152326.1, WP_035153692.1, WP_035153892.1
OG0000154	WP_096691627.1	WP_035152465.1
OG0000155	WP_096691878.1	WP_035153898.1, WP_035153696.1
OG0000156	WP_096684427.1	WP_035153929.1
OG0000157	WP_096689024.1	WP_035154188.1
OG0000157	WP_096684132.1	WP_238178389.1, WP_082127374.1
OG0000158	WP_096694188.1	WP_035154368.1
OG0000160	WP_096692149.1, WP_096694274.1	WP_035156214.1
OG0000161	WP_096687978.1, WP_096694663.1, WP_096688503.1	WP_035156474.1
OG0000162	WP_096684301.1, WP_096694103.1, WP_096684289.1, WP_096687124.1, WP_096694154.1	WP_035159299.1
OG0000163	WP_096694367.1, WP_096690924.1, WP_096694404.1	WP_035159330.1
OG0000165	WP_096686290.1, WP_096694896.1, WP_096694699.1, WP_096683991.1	WP_052754461.1
OG0000166	WP_096694454.1	WP_238178417.1
OG0000166	WP_096690958.1	WP_082127347.1
OG0000167	WP_096694817.1	WP_238178455.1, WP_238178470.1
OG0000168	WP_096691447.1, WP_096685458.1, WP_096684994.1	WP_256388866.1
OG0000176	WP_096685993.1	WP_035148903.1
OG0000176	WP_096690127.1	WP_035153450.1
OG0000177	WP_096691333.1, WP_096684491.1, WP_096694967.1	WP_035149974.1
OG0000178	WP_096693800.1, WP_096693806.1, WP_096693802.1	WP_035150072.1
OG0000179	WP_096685675.1	WP_035150416.1
OG0000179	WP_096693334.1	WP_035150414.1
OG0000180	WP_096688730.1	WP_035150451.1
OG0000180	WP_096692924.1	WP_238178533.1
OG0000181	WP_096688747.1	WP_035158135.1
OG0000181	WP_096684176.1, WP_096684740.1	WP_035150568.1
OG0000182	WP_096692793.1	WP_035150570.1
OG0000182	WP_096690854.1	WP_035154485.1
OG0000183	WP_096688378.1	WP_035150723.1
OG0000183	WP_096689000.1	WP_035152191.1
OG0000184	WP_096689520.1	WP_035151238.1
OG0000185	WP_096683887.1	WP_035154853.1
OG0000186	WP_096683889.1	WP_035154873.1
OG0000186	WP_096692026.1	WP_035151527.1
OG0000188	WP_096690688.1	WP_035157558.1
OG0000188	WP_096693499.1	WP_035153623.1
OG0000189	WP_096686408.1	WP_035157046.1
OG0000189	WP_096686400.1	WP_035153785.1, WP_052754443.1, WP_035158161.1
OG0000190	WP_096692490.1	WP_035153989.1
OG0000190	WP_096694275.1, WP_096689655.1	WP_035159035.1
OG0000191	WP_096688751.1	WP_035156226.1
OG0000191	WP_096694400.1	WP_035154311.1
OG0000193	WP_096691802.1, WP_096693067.1	WP_035155140.1
OG0000194	WP_096691334.1, WP_096683945.1, WP_096688370.1	WP_035155345.1
OG0000195	WP_096694660.1, WP_096694519.1, WP_096693639.1	WP_035155586.1
OG0000196	WP_096690667.1	WP_035156157.1
OG0000196	WP_096690665.1	WP_035156154.1
OG0000197	WP_096686243.1, WP_096692036.1, WP_096689323.1	WP_035157311.1
OG0000198	WP_096690961.1	WP_035158024.1
OG0000199	WP_096693708.1	WP_035158137.1
OG0000200	WP_096685243.1	WP_035158413.1
OG0000202	WP_096684733.1	WP_035159851.1
OG0000203	WP_096687458.1, WP_096687467.1	WP_046814732.1
OG0000204	WP_096688758.1, WP_096686892.1, WP_096686890.1	WP_046814911.1
OG0000205	WP_096686653.1, WP_096692169.1	WP_052754436.1
OG0000206	WP_096692053.1, WP_096692054.1	WP_052754503.1
OG0000207	WP_096687308.1	WP_256388803.1
OG0000215	WP_096684417.1	WP_035149181.1
OG0000215	WP_096693845.1	WP_035149182.1
OG0000216	WP_096684869.1	WP_035151145.1
OG0000216	WP_096693766.1, WP_096694903.1	WP_035149190.1
OG0000217	WP_096686342.1, WP_096691584.1	WP_035149273.1
OG0000217	WP_096684830.1	WP_035156431.1
OG0000218	WP_096689502.1	WP_035149618.1
OG0000219	WP_096689152.1	WP_035149676.1
OG0000220	WP_096692302.1	WP_035152108.1
OG0000221	WP_096685287.1	WP_035149831.1
OG0000222	WP_096692143.1, WP_096693810.1, WP_096693812.1	WP_035150080.1
OG0000223	WP_096691492.1	WP_046814742.1
OG0000223	WP_096690250.1	WP_168163423.1, WP_035150289.1
OG0000224	WP_096686884.1	WP_035151005.1
OG0000224	WP_096685643.1	WP_035151093.1
OG0000225	WP_096692350.1	WP_035151227.1
OG0000225	WP_096692351.1	WP_035151223.1
OG0000226	WP_096684463.1	WP_035151609.1
OG0000227	WP_096684966.1	WP_035151674.1, WP_046814778.1
OG0000230	WP_096694761.1, WP_096694753.1	WP_035152915.1, WP_035158039.1
OG0000231	WP_096692452.1, WP_096690293.1, WP_096690292.1	WP_035153103.1
OG0000232	WP_096689863.1, WP_096689864.1, WP_096687036.1	WP_035153569.1
OG0000233	WP_096692567.1, WP_096688915.1	WP_035153631.1
OG0000234	WP_096694729.1	WP_035153684.1
OG0000234	WP_096691418.1	WP_035154095.1
OG0000235	WP_096690934.1, WP_096691886.1	WP_035154014.1
OG0000236	WP_096694351.1	WP_035154616.1
OG0000237	WP_096694253.1, WP_096689337.1	WP_035154679.1
OG0000238	WP_096688361.1	WP_201782636.1
OG0000238	WP_096691854.1	WP_035155286.1
OG0000239	WP_096688221.1	WP_035155774.1
OG0000240	WP_096684990.1	WP_035156391.1
OG0000241	WP_096691477.1	WP_035156448.1
OG0000241	WP_096688149.1	WP_238178383.1
OG0000242	WP_096692312.1	WP_082127449.1
OG0000242	WP_096694359.1	WP_035156842.1
OG0000243	WP_096691786.1	WP_035157939.1
OG0000244	WP_096692593.1, WP_096694898.1	WP_035158786.1
OG0000245	WP_096694934.1, WP_096694932.1	WP_035159822.1
OG0000246	WP_096692023.1, WP_096692019.1, WP_096688642.1	WP_046814841.1
OG0000247	WP_096694810.1	WP_052754421.1
OG0000248	WP_096688113.1, WP_096684186.1, WP_096692176.1	WP_082127248.1
OG0000262	WP_096686001.1, WP_096688939.1	WP_035148910.1
OG0000263	WP_096685372.1	WP_238178537.1
OG0000264	WP_096691603.1	WP_035159156.1
OG0000264	WP_096688888.1	WP_035149072.1
OG0000265	WP_096694261.1	WP_035149199.1
OG0000266	WP_096692441.1	WP_035149508.1
OG0000267	WP_096683789.1	WP_035149731.1
OG0000268	WP_096694264.1	WP_035153383.1
OG0000268	WP_096693419.1	WP_035149836.1
OG0000269	WP_096693013.1	WP_035157644.1
OG0000269	WP_096692728.1	WP_035149841.1
OG0000270	WP_096692505.1	WP_035150782.1
OG0000270	WP_096692504.1	WP_035149903.1
OG0000271	WP_096689649.1	WP_035149993.1
OG0000272	WP_096687666.1, WP_096689650.1	WP_035149994.1
OG0000273	WP_096694662.1, WP_096690542.1	WP_035150267.1
OG0000274	WP_096694661.1, WP_096690543.1	WP_035150269.1
OG0000275	WP_096684608.1	WP_035150682.1
OG0000276	WP_096688462.1	WP_035151492.1
OG0000277	WP_096689713.1, WP_096691394.1	WP_035157019.1
OG0000278	WP_096687482.1	WP_035151068.1
OG0000280	WP_096686096.1	WP_035151083.1
OG0000280	WP_096685920.1	WP_035157622.1
OG0000281	WP_096686627.1	WP_035151107.1
OG0000281	WP_096689396.1	WP_035152038.1
OG0000282	WP_096686060.1	WP_035151131.1
OG0000283	WP_096687990.1	WP_035154578.1
OG0000283	WP_096690304.1	WP_035151403.1
OG0000284	WP_096693901.1, WP_096684602.1	WP_035151962.1
OG0000285	WP_096684972.1	WP_035151998.1
OG0000285	WP_096688594.1	WP_035155543.1
OG0000286	WP_096695116.1	WP_168163444.1
OG0000287	WP_096689048.1, WP_096690629.1	WP_035153243.1
OG0000288	WP_096685545.1, WP_096694678.1, WP_096694695.1	WP_035153583.1
OG0000289	WP_096690856.1	WP_035154488.1
OG0000290	WP_096691569.1, WP_096691566.1	WP_035154532.1
OG0000291	WP_096683809.1, WP_096692994.1	WP_035154538.1
OG0000292	WP_096694186.1	WP_035154597.1
OG0000292	WP_096692126.1	WP_035156623.1
OG0000293	WP_096694730.1	WP_082127321.1
OG0000294	WP_096690341.1	WP_035154637.1
OG0000295	WP_096692013.1, WP_096685209.1, WP_096683897.1	WP_035154857.1
OG0000296	WP_096692014.1, WP_096683896.1, WP_096685205.1	WP_035154862.1
OG0000297	WP_096692015.1	WP_035154867.1
OG0000298	WP_096693240.1	WP_035155069.1
OG0000299	WP_096688829.1, WP_096686850.1	WP_035155163.1
OG0000300	WP_096691853.1	WP_035155288.1
OG0000300	WP_096694185.1	WP_035155359.1
OG0000301	WP_096691183.1	WP_035155601.1
OG0000302	WP_096686547.1	WP_035155891.1
OG0000303	WP_096688432.1, WP_096690580.1, WP_096691622.1	WP_035156864.1
OG0000304	WP_096686690.1	WP_035157560.1
OG0000305	WP_096686966.1, WP_096689807.1, WP_096689676.1	WP_035157705.1
OG0000306	WP_096690936.1, WP_096693490.1	WP_035157942.1
OG0000307	WP_096688849.1, WP_096685386.1	WP_035158176.1
OG0000309	WP_096684268.1	WP_035158744.1
OG0000313	WP_096692018.1, WP_096683892.1, WP_096685197.1	WP_082127348.1
OG0000314	WP_096685922.1	WP_144416079.1
OG0000315	WP_096687612.1	WP_201782678.1
OG0000329	WP_096692649.1	WP_035156776.1
OG0000330	WP_096693014.1	WP_035157642.1
OG0000330	WP_096689749.1	WP_035149338.1
OG0000331	WP_096692966.1, WP_096692762.1	WP_035149370.1
OG0000332	WP_096692035.1, WP_096691500.1, WP_096693035.1	WP_035149387.1
OG0000333	WP_096686842.1	WP_035149487.1
OG0000334	WP_096688542.1, WP_096692961.1	WP_035149678.1
OG0000335	WP_096688946.1	WP_035154365.1
OG0000336	WP_096690256.1	WP_046814844.1
OG0000337	WP_096690185.1, WP_096693940.1	WP_035150529.1
OG0000338	WP_096689161.1, WP_096689162.1, WP_096689160.1	WP_052754371.1, WP_035150556.1
OG0000340	WP_096687462.1, WP_096687455.1	WP_035151049.1
OG0000341	WP_096693629.1	WP_035151098.1
OG0000341	WP_096688207.1	WP_035158963.1
OG0000342	WP_096688732.1	WP_035151495.1
OG0000344	WP_096694022.1	WP_035153038.1
OG0000344	WP_096686803.1	WP_035151944.1
OG0000347	WP_096691810.1	WP_035155854.1
OG0000348	WP_096691115.1, WP_096691052.1	WP_035153178.1
OG0000349	WP_096689859.1	WP_035153468.1
OG0000350	WP_096693569.1	WP_035153655.1
OG0000352	WP_096694005.1, WP_096694705.1	WP_035153772.1
OG0000353	WP_096690598.1, WP_096691887.1	WP_035154000.1
OG0000354	WP_096694463.1	WP_035154504.1
OG0000355	WP_096691885.1, WP_096690599.1	WP_035154692.1
OG0000356	WP_096692101.1	WP_035154775.1
OG0000357	WP_096694905.1, WP_096683992.1, WP_096694764.1	WP_035154880.1
OG0000358	WP_096691727.1	WP_035154937.1
OG0000359	WP_096689443.1	WP_035155435.1
OG0000360	WP_096690538.1, WP_096687082.1	WP_035155909.1
OG0000361	WP_096690923.1	WP_035155929.1
OG0000362	WP_096692926.1	WP_035156013.1
OG0000362	WP_096692694.1	WP_035156011.1
OG0000363	WP_096684991.1, WP_096694568.1	WP_035156394.1
OG0000364	WP_096688447.1, WP_096688446.1	WP_035157026.1
OG0000365	WP_096694681.1	WP_035157393.1
OG0000366	WP_096687290.1	WP_035158055.1, WP_035158054.1
OG0000367	WP_096691229.1	WP_035158095.1
OG0000369	WP_096690417.1, WP_096688543.1	WP_035158306.1
OG0000371	WP_096688046.1, WP_096688429.1, WP_096688002.1, WP_096688043.1	WP_035158847.1
OG0000372	WP_096694696.1, WP_096690530.1	WP_035158896.1
OG0000373	WP_096689826.1	WP_035159052.1
OG0000374	WP_096693597.1, WP_096692965.1	WP_035159130.1
OG0000376	WP_096689694.1, WP_096683829.1	WP_035159438.1
OG0000377	WP_096689259.1	WP_035159894.1
OG0000378	WP_096695249.1, WP_096695299.1	WP_035159995.1
OG0000379	WP_096691884.1	WP_046814744.1
OG0000380	WP_096689720.1	WP_046814825.1
OG0000381	WP_096684393.1	WP_046814904.1
OG0000382	WP_096689642.1	WP_046814916.1
OG0000383	WP_096694080.1, WP_096694741.1, WP_096690807.1	WP_052754475.1
OG0000384	WP_096690956.1, WP_096690957.1	WP_052754481.1, WP_144416053.1
OG0000385	WP_096686330.1	WP_052754505.1
OG0000386	WP_096695235.1, WP_096695290.1	WP_052754563.1, WP_052754564.1
OG0000387	WP_096694651.1, WP_096694357.1	WP_082127229.1
OG0000388	WP_096694382.1, WP_096687741.1	WP_082127242.1
OG0000408	WP_096687602.1	WP_035148869.1
OG0000410	WP_096688226.1	WP_035149079.1
OG0000411	WP_096689075.1	WP_035158320.1, WP_035151384.1, WP_035149152.1
OG0000412	WP_096691653.1	WP_035149438.1
OG0000412	WP_096688205.1	WP_144416039.1
OG0000413	WP_096690720.1	WP_035149445.1
OG0000414	WP_096688637.1	WP_035149524.1
OG0000414	WP_096689504.1	WP_035150205.1
OG0000415	WP_096689634.1	WP_035149538.1
OG0000416	WP_096686304.1	WP_035149656.1
OG0000418	WP_096693217.1, WP_096685161.1	WP_035149753.1
OG0000419	WP_096687828.1	WP_035149847.1, WP_046814864.1
OG0000420	WP_096688124.1	WP_035149942.1
OG0000421	WP_096690382.1	WP_035152784.1
OG0000422	WP_096683765.1, WP_096693018.1	WP_035149965.1
OG0000423	WP_096689673.1	WP_035150027.1
OG0000424	WP_096690469.1	WP_035150042.1
OG0000424	WP_096689163.1	WP_035150558.1
OG0000425	WP_096688975.1	WP_035152361.1, WP_035150065.1
OG0000425	WP_096693062.1	WP_035155231.1
OG0000427	WP_096684636.1	WP_035150351.1
OG0000428	WP_096684522.1	WP_035150376.1
OG0000430	WP_096692472.1, WP_096692437.1	WP_035150772.1
OG0000431	WP_096694401.1, WP_096693277.1	WP_035150834.1
OG0000432	WP_096693307.1, WP_096684488.1	WP_035150957.1
OG0000433	WP_096687460.1, WP_096687453.1	WP_035151044.1
OG0000434	WP_096687479.1	WP_035151064.1, WP_035151501.1
OG0000435	WP_096690611.1	WP_035154672.1
OG0000436	WP_096691046.1, WP_096691089.1	WP_035151650.1
OG0000438	WP_096688771.1	WP_035151677.1, WP_035157267.1
OG0000442	WP_096684266.1	WP_035152397.1, WP_035152082.1
OG0000443	WP_096687435.1	WP_035158062.1
OG0000445	WP_096684028.1, WP_096687821.1	WP_035153006.1
OG0000446	WP_096693501.1	WP_035153051.1
