Orthogroup	336-3	NIES-267	NIES-3974	NIES-4071	NIES-4105	PCC_6303	PCC_7716
OG0009997	WP_082127239.1						
OG0009998	WP_082127274.1						
OG0009999	WP_082127282.1						
OG0010000	WP_144415966.1						
OG0010001	WP_144415967.1						
OG0010002	WP_144415969.1						
OG0010003	WP_144415976.1						
OG0010004	WP_144415983.1						
OG0010005	WP_144415988.1						
OG0010006	WP_144415994.1						
OG0010007	WP_144415995.1						
OG0010008	WP_144415996.1						
OG0010009	WP_144416001.1						
OG0010010	WP_144416003.1						
OG0010011	WP_144416011.1						
OG0010012	WP_144416013.1						
OG0010013	WP_144416020.1						
OG0010014	WP_144416027.1						
OG0010015	WP_144416031.1						
OG0010016	WP_144416033.1						
OG0010017	WP_144416035.1						
OG0010018	WP_144416040.1						
OG0010019	WP_144416051.1						
OG0010020	WP_144416052.1						
OG0010021	WP_144416057.1						
OG0010022	WP_144416061.1						
OG0010023	WP_144416062.1						
OG0010024	WP_144416063.1						
OG0010025	WP_144416064.1						
OG0010026	WP_144416065.1						
OG0010027	WP_144416067.1						
OG0010028	WP_144416077.1						
OG0010029	WP_144416081.1						
OG0010030	WP_144416083.1						
OG0010031	WP_144416119.1						
OG0010032	WP_144416131.1						
OG0010033	WP_144416132.1						
OG0010034	WP_144416135.1						
OG0010035	WP_144416137.1						
OG0010036	WP_144416140.1						
OG0010037	WP_144416144.1						
OG0010038	WP_168163390.1						
OG0010039	WP_168163391.1						
OG0010040	WP_168163392.1						
OG0010041	WP_168163393.1						
OG0010042	WP_168163394.1						
OG0010043	WP_168163396.1						
OG0010044	WP_168163397.1						
OG0010045	WP_168163398.1						
OG0010046	WP_168163400.1						
OG0010047	WP_168163401.1						
OG0010048	WP_168163403.1						
OG0010049	WP_168163405.1						
OG0010050	WP_168163407.1						
OG0010051	WP_168163408.1						
OG0010052	WP_168163409.1						
OG0010053	WP_168163410.1						
OG0010054	WP_168163413.1						
OG0010055	WP_168163416.1						
OG0010056	WP_168163418.1						
OG0010057	WP_168163421.1						
OG0010058	WP_168163422.1						
OG0010059	WP_168163424.1						
OG0010060	WP_168163425.1						
OG0010061	WP_168163426.1						
OG0010062	WP_168163428.1						
OG0010063	WP_168163429.1						
OG0010064	WP_168163432.1						
OG0010065	WP_168163433.1						
OG0010066	WP_168163434.1						
OG0010067	WP_168163435.1						
OG0010068	WP_168163436.1						
OG0010069	WP_168163438.1						
OG0010070	WP_168163442.1						
OG0010071	WP_168163443.1						
OG0010072	WP_168163447.1						
OG0010073	WP_168163448.1						
OG0010074	WP_168163449.1						
OG0010075	WP_168163450.1						
OG0010076	WP_168163451.1						
OG0010077	WP_168163452.1						
OG0010078	WP_168163454.1						
OG0010079	WP_168163455.1						
OG0010080	WP_168163456.1						
OG0010081	WP_168163459.1						
OG0010082	WP_168163460.1						
OG0010083	WP_168163461.1						
OG0010084	WP_168163462.1						
OG0010085	WP_168163463.1						
OG0010086	WP_168163465.1						
OG0010087	WP_168163466.1						
OG0010088	WP_168163467.1						
OG0010089	WP_168163468.1						
OG0010090	WP_168163469.1						
OG0010091	WP_168163470.1						
OG0010092	WP_168163471.1						
OG0010093	WP_168163472.1						
OG0010094	WP_168163473.1						
OG0010095	WP_168163474.1						
OG0010096	WP_168163475.1						
OG0010097	WP_168163476.1						
OG0010098	WP_168163477.1						
OG0010099	WP_168163481.1						
OG0010100	WP_168163482.1						
OG0010101	WP_168163483.1						
OG0010102	WP_168163484.1						
OG0010103	WP_168163485.1						
OG0010104	WP_168163486.1						
OG0010105	WP_168163488.1						
OG0010106	WP_168163490.1						
OG0010107	WP_168163492.1						
OG0010108	WP_168163494.1						
OG0010109	WP_168163496.1						
OG0010110	WP_168163498.1						
OG0010111	WP_168163499.1						
OG0010112	WP_168163501.1						
OG0010113	WP_168163503.1						
OG0010114	WP_168163504.1						
OG0010115	WP_168163506.1						
OG0010116	WP_168163508.1						
OG0010117	WP_168163509.1						
OG0010118	WP_168163510.1						
OG0010119	WP_168163512.1						
OG0010120	WP_168163513.1						
OG0010121	WP_168163517.1						
OG0010122	WP_168163518.1						
OG0010123	WP_168163520.1						
OG0010124	WP_168163521.1						
OG0010125	WP_168163522.1						
OG0010126	WP_168163523.1						
OG0010127	WP_168163524.1						
OG0010128	WP_168163525.1						
OG0010129	WP_168163526.1						
OG0010130	WP_168163527.1						
OG0010131	WP_168163528.1						
OG0010132	WP_168163529.1						
OG0010133	WP_168163530.1						
OG0010134	WP_168163541.1						
OG0010135	WP_168163543.1						
OG0010136	WP_168163545.1						
OG0010137	WP_168163547.1						
OG0010138	WP_168163550.1						
OG0010139	WP_168163551.1						
OG0010140	WP_168163552.1						
OG0010141	WP_168163553.1						
OG0010142	WP_201782638.1						
OG0010143	WP_201782660.1						
OG0010144	WP_201782666.1						
OG0010145	WP_201782669.1						
OG0010146	WP_201782672.1						
OG0010147	WP_201782673.1						
OG0010148	WP_201782675.1						
OG0010149	WP_201782677.1						
OG0010150	WP_201782681.1						
OG0010151	WP_201782685.1						
OG0010152	WP_238178362.1						
OG0010153	WP_238178374.1						
OG0010154	WP_238178387.1						
OG0010155	WP_238178426.1						
OG0010156	WP_238178437.1						
OG0010157	WP_238178449.1						
OG0010158	WP_238178497.1						
OG0010159	WP_238178499.1						
OG0010160	WP_238178509.1						
OG0010161	WP_238178518.1						
OG0010162	WP_238178527.1						
OG0010163	WP_238178550.1						
OG0010164	WP_238178552.1						
OG0010165	WP_238178556.1						
OG0010166	WP_256388797.1						
OG0010167	WP_256388798.1						
OG0010168	WP_256388799.1						
OG0010169	WP_256388800.1						
OG0010170	WP_256388801.1						
OG0010171	WP_256388805.1						
OG0010172	WP_256388810.1						
OG0010173	WP_256388817.1						
OG0010174	WP_256388820.1						
OG0010175	WP_256388824.1						
OG0010176	WP_256388825.1						
OG0010177	WP_256388826.1						
OG0010178	WP_256388827.1						
OG0010179	WP_256388828.1						
OG0010180	WP_256388831.1						
OG0010181	WP_256388834.1						
OG0010182	WP_256388835.1						
OG0010183	WP_256388836.1						
OG0010184	WP_256388840.1						
OG0010185	WP_256388841.1						
OG0010186	WP_256388842.1						
OG0010187	WP_256388843.1						
OG0010188	WP_256388846.1						
OG0010189	WP_256388847.1						
OG0010190	WP_256388849.1						
OG0010191	WP_256388859.1						
OG0010192	WP_256388861.1						
OG0010193	WP_256388862.1						
OG0010194	WP_256388873.1						
OG0010195		WP_096652097.1					
OG0010196		WP_096652113.1					
OG0010197		WP_096652142.1					
OG0010198		WP_096652161.1					
OG0010199		WP_096652164.1					
OG0010200		WP_096652180.1					
OG0010201		WP_096652215.1					
OG0010202		WP_096652218.1					
OG0010203		WP_096652403.1					
OG0010204		WP_096652422.1					
OG0010205		WP_096652440.1					
OG0010206		WP_096652461.1					
OG0010207		WP_096652464.1					
OG0010208		WP_096652526.1					
OG0010209		WP_096652535.1					
OG0010210		WP_096652553.1					
OG0010211		WP_096652557.1					
OG0010212		WP_096652577.1					
OG0010213		WP_096652583.1					
OG0010214		WP_096652619.1					
OG0010215		WP_096652666.1					
OG0010216		WP_096652698.1					
OG0010217		WP_096652700.1					
OG0010218		WP_096652706.1					
OG0010219		WP_096652708.1					
OG0010220		WP_096652723.1					
OG0010221		WP_096652759.1					
OG0010222		WP_096652767.1					
OG0010223		WP_096652791.1					
OG0010224		WP_096652813.1					
OG0010225		WP_096652829.1					
OG0010226		WP_096652852.1					
OG0010227		WP_096652854.1					
OG0010228		WP_096652881.1					
OG0010229		WP_096652897.1					
OG0010230		WP_096652899.1					
OG0010231		WP_096652921.1					
OG0010232		WP_096652934.1					
OG0010233		WP_096652941.1					
OG0010234		WP_096652974.1					
OG0010235		WP_096652976.1					
OG0010236		WP_096652986.1					
OG0010237		WP_096652988.1					
OG0010238		WP_096652997.1					
OG0010239		WP_096652999.1					
OG0010240		WP_096653001.1					
OG0010241		WP_096653003.1					
OG0010242		WP_096653005.1					
OG0010243		WP_096653009.1					
OG0010244		WP_096653011.1					
OG0010245		WP_096653055.1					
OG0010246		WP_096653092.1					
OG0010247		WP_096653118.1					
OG0010248		WP_096653162.1					
OG0010249		WP_096653166.1					
OG0010250		WP_096653172.1					
OG0010251		WP_096653186.1					
OG0010252		WP_096653197.1					
OG0010253		WP_096653201.1					
OG0010254		WP_096653232.1					
OG0010255		WP_096653253.1					
OG0010256		WP_096653263.1					
OG0010257		WP_096653311.1					
OG0010258		WP_096653351.1					
OG0010259		WP_096653418.1					
OG0010260		WP_096653490.1					
OG0010261		WP_096653504.1					
OG0010262		WP_096653537.1					
OG0010263		WP_096653547.1					
OG0010264		WP_096653562.1					
OG0010265		WP_096653606.1					
OG0010266		WP_096653616.1					
OG0010267		WP_096653618.1					
OG0010268		WP_096653638.1					
OG0010269		WP_096653642.1					
OG0010270		WP_096653680.1					
OG0010271		WP_096653688.1					
OG0010272		WP_096653698.1					
OG0010273		WP_096653747.1					
OG0010274		WP_096653751.1					
OG0010275		WP_096653785.1					
OG0010276		WP_096653829.1					
OG0010277		WP_096653833.1					
OG0010278		WP_096653837.1					
OG0010279		WP_096653839.1					
OG0010280		WP_096653849.1					
OG0010281		WP_096653857.1					
OG0010282		WP_096653863.1					
OG0010283		WP_096653882.1					
OG0010284		WP_096653888.1					
OG0010285		WP_096653904.1					
OG0010286		WP_096653910.1					
OG0010287		WP_096653993.1					
OG0010288		WP_096654005.1					
OG0010289		WP_096654015.1					
OG0010290		WP_096654021.1					
OG0010291		WP_096654043.1					
OG0010292		WP_096654045.1					
OG0010293		WP_096654055.1					
OG0010294		WP_096654069.1					
OG0010295		WP_096654071.1					
OG0010296		WP_096654109.1					
OG0010297		WP_096654172.1					
OG0010298		WP_096654174.1					
OG0010299		WP_096654180.1					
OG0010300		WP_096654190.1					
OG0010301		WP_096654208.1					
OG0010302		WP_096654229.1					
OG0010303		WP_096654233.1					
OG0010304		WP_096654237.1					
OG0010305		WP_096654279.1					
OG0010306		WP_096654301.1					
OG0010307		WP_096654305.1					
OG0010308		WP_096654329.1					
OG0010309		WP_096654341.1					
OG0010310		WP_096654402.1					
OG0010311		WP_096654408.1					
OG0010312		WP_096654448.1					
OG0010313		WP_096654458.1					
OG0010314		WP_096654524.1					
OG0010315		WP_096654573.1					
OG0010316		WP_096654577.1					
OG0010317		WP_096654595.1					
OG0010318		WP_096654597.1					
OG0010319		WP_096654611.1					
OG0010320		WP_096654619.1					
OG0010321		WP_096654667.1					
OG0010322		WP_096654677.1					
OG0010323		WP_096654679.1					
OG0010324		WP_096654683.1					
OG0010325		WP_096654700.1					
OG0010326		WP_096654853.1					
OG0010327		WP_096654875.1					
OG0010328		WP_096654918.1					
OG0010329		WP_096654954.1					
OG0010330		WP_096654985.1					
OG0010331		WP_096654991.1					
OG0010332		WP_096655024.1					
OG0010333		WP_096655026.1					
OG0010334		WP_096655044.1					
OG0010335		WP_096655062.1					
OG0010336		WP_096655066.1					
OG0010337		WP_096655072.1					
OG0010338		WP_096655105.1					
OG0010339		WP_096655137.1					
OG0010340		WP_096655165.1					
OG0010341		WP_096655265.1					
OG0010342		WP_096655267.1					
OG0010343		WP_096655304.1					
OG0010344		WP_096655313.1					
OG0010345		WP_096655323.1					
OG0010346		WP_096655325.1					
OG0010347		WP_096655346.1					
OG0010348		WP_096655359.1					
OG0010349		WP_096655396.1					
OG0010350		WP_096655418.1					
OG0010351		WP_096655427.1					
OG0010352		WP_096655437.1					
OG0010353		WP_096655470.1					
OG0010354		WP_096655474.1					
OG0010355		WP_096655484.1					
OG0010356		WP_096655488.1					
OG0010357		WP_096655492.1					
OG0010358		WP_096655496.1					
OG0010359		WP_096655502.1					
OG0010360		WP_096655535.1					
OG0010361		WP_096655538.1					
OG0010362		WP_096655541.1					
OG0010363		WP_096655543.1					
OG0010364		WP_096655584.1					
OG0010365		WP_096655592.1					
OG0010366		WP_096655605.1					
OG0010367		WP_096655611.1					
OG0010368		WP_096655623.1					
OG0010369		WP_096655627.1					
OG0010370		WP_096655628.1					
OG0010371		WP_096655634.1					
OG0010372		WP_096655654.1					
OG0010373		WP_096655676.1					
OG0010374		WP_096655680.1					
OG0010375		WP_096655686.1					
OG0010376		WP_096655694.1					
OG0010377		WP_096655699.1					
OG0010378		WP_096655704.1					
OG0010379		WP_096655706.1					
OG0010380		WP_096655711.1					
OG0010381		WP_096655712.1					
OG0010382		WP_096655713.1					
OG0010383		WP_096655721.1					
OG0010384		WP_096655725.1					
OG0010385		WP_096655728.1					
OG0010386		WP_096655729.1					
OG0010387		WP_096655736.1					
OG0010388		WP_096655739.1					
OG0010389		WP_096655740.1					
OG0010390		WP_096655742.1					
OG0010391		WP_096655745.1					
OG0010392		WP_096655750.1					
OG0010393		WP_096655753.1					
OG0010394		WP_096655755.1					
OG0010395		WP_096655759.1					
OG0010396		WP_096655763.1					
OG0010397		WP_096655771.1					
OG0010398		WP_096655772.1					
OG0010399		WP_096655788.1					
OG0010400		WP_096655790.1					
OG0010401		WP_096655798.1					
OG0010402		WP_096655799.1					
OG0010403		WP_096655815.1					
OG0010404		WP_096655825.1					
OG0010405		WP_096655831.1					
OG0010406		WP_096655836.1					
OG0010407		WP_096655839.1					
OG0010408		WP_096655842.1					
OG0010409		WP_096655854.1					
OG0010410		WP_096655855.1					
OG0010411		WP_096655891.1					
OG0010412		WP_096655913.1					
OG0010413		WP_096655920.1					
OG0010414		WP_096655921.1					
OG0010415		WP_096655949.1					
OG0010416		WP_096655950.1					
OG0010417		WP_096655961.1					
OG0010418		WP_096655966.1					
OG0010419		WP_096655968.1					
OG0010420		WP_096656001.1					
OG0010421		WP_096656003.1					
OG0010422		WP_096656007.1					
OG0010423		WP_096656008.1					
OG0010424		WP_096656014.1					
OG0010425		WP_096656016.1					
OG0010426		WP_096656026.1					
OG0010427		WP_096656058.1					
OG0010428		WP_096656060.1					
OG0010429		WP_096656064.1					
OG0010430		WP_096656072.1					
OG0010431		WP_096656077.1					
OG0010432		WP_096656086.1					
OG0010433		WP_096656105.1					
OG0010434		WP_096656106.1					
OG0010435		WP_096656112.1					
OG0010436		WP_096656113.1					
OG0010437		WP_096656114.1					
OG0010438		WP_096656116.1					
OG0010439		WP_096656117.1					
OG0010440		WP_096656147.1					
OG0010441		WP_096656163.1					
OG0010442		WP_096656184.1					
OG0010443		WP_096656187.1					
OG0010444		WP_096656189.1					
OG0010445		WP_096656204.1					
OG0010446		WP_096656207.1					
OG0010447		WP_096656212.1					
OG0010448		WP_096656214.1					
OG0010449		WP_096656220.1					
OG0010450		WP_096656232.1					
OG0010451		WP_096656249.1					
OG0010452		WP_096656261.1					
OG0010453		WP_096656265.1					
OG0010454		WP_096656273.1					
OG0010455		WP_096656274.1					
OG0010456		WP_096656278.1					
OG0010457		WP_096656289.1					
OG0010458		WP_096656306.1					
OG0010459		WP_096656333.1					
OG0010460		WP_096656360.1					
OG0010461		WP_096656366.1					
OG0010462		WP_096656410.1					
OG0010463		WP_096656412.1					
OG0010464		WP_096656414.1					
OG0010465		WP_096656486.1					
OG0010466		WP_096656487.1					
OG0010467		WP_096656511.1					
OG0010468		WP_096656529.1					
OG0010469		WP_096656533.1					
OG0010470		WP_096656543.1					
OG0010471		WP_096656544.1					
OG0010472		WP_096656546.1					
OG0010473		WP_096656547.1					
OG0010474		WP_096656564.1					
OG0010475		WP_096656586.1					
OG0010476		WP_096656595.1					
OG0010477		WP_096656625.1					
OG0010478		WP_096656634.1					
OG0010479		WP_096656638.1					
OG0010480		WP_096656656.1					
OG0010481		WP_096656669.1					
OG0010482		WP_096656670.1					
OG0010483		WP_096656683.1					
OG0010484		WP_096656686.1					
OG0010485		WP_096656690.1					
OG0010486		WP_096656692.1					
OG0010487		WP_096656693.1					
OG0010488		WP_096656706.1					
OG0010489		WP_096656708.1					
OG0010490		WP_096656724.1					
OG0010491		WP_096656736.1					
OG0010492		WP_096656756.1					
OG0010493		WP_096656758.1					
OG0010494		WP_096656764.1					
OG0010495		WP_096656790.1					
OG0010496		WP_096656792.1					
OG0010497		WP_096656793.1					
OG0010498		WP_096656797.1					
OG0010499		WP_096656800.1					
OG0010500		WP_096656801.1					
OG0010501		WP_096656815.1					
OG0010502		WP_096656817.1					
OG0010503		WP_096656819.1					
OG0010504		WP_096656830.1					
OG0010505		WP_096656834.1					
OG0010506		WP_096656842.1					
OG0010507		WP_096656843.1					
OG0010508		WP_096656860.1					
OG0010509		WP_096656863.1					
OG0010510		WP_096656864.1					
OG0010511		WP_096656872.1					
OG0010512		WP_096656876.1					
OG0010513		WP_096656890.1					
OG0010514		WP_096656902.1					
OG0010515		WP_096656916.1					
OG0010516		WP_096656949.1					
OG0010517		WP_096656952.1					
OG0010518		WP_096656955.1					
OG0010519		WP_096656966.1					
OG0010520		WP_096656972.1					
OG0010521		WP_096656973.1					
OG0010522		WP_096656974.1					
OG0010523		WP_096656978.1					
OG0010524		WP_096656979.1					
OG0010525		WP_096656980.1					
OG0010526		WP_096657015.1					
OG0010527		WP_096657029.1					
OG0010528		WP_096657032.1					
OG0010529		WP_096657043.1					
OG0010530		WP_096657048.1					
OG0010531		WP_096657049.1					
OG0010532		WP_096657060.1					
OG0010533		WP_096657080.1					
OG0010534		WP_096657094.1					
OG0010535		WP_096657104.1					
OG0010536		WP_096657106.1					
OG0010537		WP_096657109.1					
OG0010538		WP_096657112.1					
OG0010539		WP_096657145.1					
OG0010540		WP_096657156.1					
OG0010541		WP_096657158.1					
OG0010542		WP_096657166.1					
OG0010543		WP_096657179.1					
OG0010544		WP_096657182.1					
OG0010545		WP_096657183.1					
OG0010546		WP_096657184.1					
OG0010547		WP_096657187.1					
OG0010548		WP_096657195.1					
OG0010549		WP_096657204.1					
OG0010550		WP_096657206.1					
OG0010551		WP_096657215.1					
OG0010552		WP_096657224.1					
OG0010553		WP_096657225.1					
OG0010554		WP_096657226.1					
OG0010555		WP_096657228.1					
OG0010556		WP_096657245.1					
OG0010557		WP_096657266.1					
OG0010558		WP_096657318.1					
OG0010559		WP_096657320.1					
OG0010560		WP_096657330.1					
OG0010561		WP_096657367.1					
OG0010562		WP_096657379.1					
OG0010563		WP_096657381.1					
OG0010564		WP_096657398.1					
OG0010565		WP_096657403.1					
OG0010566		WP_096657404.1					
OG0010567		WP_096657443.1					
OG0010568		WP_096657445.1					
OG0010569		WP_096657447.1					
OG0010570		WP_096657448.1					
OG0010571		WP_096657449.1					
OG0010572		WP_096657453.1					
OG0010573		WP_096657475.1					
OG0010574		WP_096657477.1					
OG0010575		WP_096657478.1					
OG0010576		WP_096657479.1					
OG0010577		WP_096657481.1					
OG0010578		WP_096657490.1					
OG0010579		WP_096657491.1					
OG0010580		WP_096657493.1					
OG0010581		WP_096657499.1					
OG0010582		WP_096657509.1					
OG0010583		WP_096657537.1					
OG0010584		WP_096657546.1					
OG0010585		WP_096657550.1					
OG0010586		WP_096657559.1					
OG0010587		WP_096657564.1					
OG0010588		WP_096657571.1					
OG0010589		WP_096657573.1					
OG0010590		WP_096657582.1					
OG0010591		WP_096657586.1					
OG0010592		WP_096657589.1					
OG0010593		WP_096657590.1					
OG0010594		WP_096657593.1					
OG0010595		WP_096657600.1					
OG0010596		WP_096657610.1					
OG0010597		WP_096657628.1					
OG0010598		WP_096657651.1					
OG0010599		WP_096657657.1					
OG0010600		WP_096657682.1					
OG0010601		WP_096657697.1					
OG0010602		WP_096657698.1					
OG0010603		WP_096657699.1					
OG0010604		WP_096657756.1					
OG0010605		WP_096657778.1					
OG0010606		WP_096657781.1					
OG0010607		WP_096657806.1					
OG0010608		WP_096657820.1					
OG0010609		WP_096657829.1					
OG0010610		WP_096657832.1					
OG0010611		WP_096657833.1					
OG0010612		WP_096657837.1					
OG0010613		WP_096657847.1					
OG0010614		WP_096657869.1					
OG0010615		WP_096657874.1					
OG0010616		WP_096657881.1					
OG0010617		WP_096657882.1					
OG0010618		WP_096657883.1					
OG0010619		WP_096657908.1					
OG0010620		WP_096657947.1					
OG0010621		WP_096657948.1					
OG0010622		WP_096657984.1					
OG0010623		WP_096657987.1					
